Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE91187,"Transcriptional profiling by next generation sequencing of the spleen and splenic macrophages in the hamster model of visceral leishmaniasis","Expression profiling by high throughput sequencing","Mesocricetus auratus",16,,"FA;XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE91nnn/GSE91187/suppl",28141856,SRP094841,"Peter C Melby","Jan 11, 2017"
GSE93350,"Genome-wide small RNAs analysis of simian virus 40 infected cells","Non-coding RNA profiling by high throughput sequencing","Chlorocebus aethiops",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93350/suppl",29228714,SRP096348,"Jiandong Shi","Jan 11, 2017"
GSE93351,"Expression data from human embryonic stem cells, progenitors, and differentiated neurons","Expression profiling by array","Homo sapiens",18,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93351/suppl",,,"Jason Weick","Jan 11, 2017"
GSE93352,"Gene expression profile of T-DM1 resistant and parental cell lines","Expression profiling by high throughput sequencing;Expression profiling by array","Homo sapiens",9,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93352/suppl",,,"Juliette Sauveur","Jan 11, 2017"
GSE93361,"The effect of c-Abl inhibitor AMN on the induce expression profile of IFN response genes from MEFs","Expression profiling by array","Mus musculus",12,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93361/suppl",,,"yan cui","Jan 11, 2017"
GSE93373,"Epigenome analysis of B cell and  B cells infected with Epstein-Barr virus (EBV)","Methylation profiling by array","Homo sapiens",16,,"IDAT;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93373/suppl",,,"Rui Zhang","Jan 11, 2017"
GSE93375,"Dissecting tumor/stroma pretreatment endoscopic biopsies and posttreatment surgical specimen in rectal cancer","Expression profiling by array","Homo sapiens",42,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93375/suppl",,,"DAVID G MOLLEVI","Jan 11, 2017"
GSE93376,"Astrocytic calcium waves signal brain injury to neural stem and progenitor cells","Expression profiling by array","Mus musculus",6,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93376/suppl",28216142,,"Stefan Momma","Jan 11, 2017"
GSE93378,"809094 Biomarker Identification in Fracture Healing (experiment #5200-5203 Jun 2015)","Non-coding RNA profiling by array","Homo sapiens;synthetic construct",51,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93378/suppl",,,"Annamarie D Horan","Jan 11, 2017"
GSE93384,"Expression data from 17-AAG resistance cell line","Expression profiling by array","Homo sapiens",2,,"CEL;XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93384/suppl",,,"Seung Hyun Oh","Jan 11, 2017"
GSE93387,"809094 Biomarker Identification in Fracture Healing (experiment #5201-5202 Jun 2015)","Expression profiling by array","Homo sapiens",51,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93387/suppl",,,"Annamarie D Horan","Jan 11, 2017"
GSE93390,"809094 Biomarker Identification in Fracture Healing (experiment #4068 performed)","Non-coding RNA profiling by array","Homo sapiens;synthetic construct",21,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93390/suppl",,,"Annamarie D Horan","Jan 11, 2017"
