Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE69121,"Mastermind-like 3 controls proliferation and differentiation in neuroblastoma (RNA-seq)","Expression profiling by high throughput sequencing","Homo sapiens",8,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69121/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA284759",26785999,SRP058647,"Prashanth Kumar Bajpe","Jan 31, 2016"
GSE69183,"Mastermind-like 3 controls proliferation and differentiation in neuroblastoma","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",18,,"BED","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69183/suppl",26785999,,"Prashanth Kumar Bajpe","Jan 31, 2016"
GSE70120,"Inhibition of class I histone deacetylases 1 and 2 promotes urothelial carcinoma cell death by various mechanisms (HDAC inhibitor treatments)","Expression profiling by array","Homo sapiens",36,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70120/suppl",26772204,,"Karl Koehrer","Jan 31, 2016"
GSE70962,"Analysis of Junctional zone in murine placenta upon loss of Tfap2c","Expression profiling by array","Mus musculus",2,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70962/suppl",26811378,,"Neha Sharma","Jan 31, 2016"
GSE71743,"Expression profiling in the human sclera","Expression profiling by array","Homo sapiens",7,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE71nnn/GSE71743/suppl",,,"Akihiro Umezawa","Jan 31, 2016"
GSE71951,"Adaptive Evolution and Regulation of a Stress-Activated Transposon in Arabidopsis","Expression profiling by array","Arabidopsis thaliana",24,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE71nnn/GSE71951/suppl",26976262,,"Akihiro Matsui","Jan 31, 2016"
GSE72163,"HSPA6 is an ulcerative colitis susceptibility factor that is induced by cigarette smoke and protects intestinal epithelial cells by stabilizing anti-apoptotic Bcl-XL","Expression profiling by array","Homo sapiens",36,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72163/suppl",26826017,,"vincent bloks","Jan 31, 2016"
GSE72188,"Genome-wide analysis identifies Bcl6 repression of the IL-7R/STAT5 axis during T follicular helper (Tfh) cell differentiation","Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",3,,"WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72188/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA293278",26876184,SRP062591,"Huiping Lu","Jan 31, 2016"
GSE72256,"Pig-specific skin transcriptional responses after intradermal administration of flagellin","Expression profiling by array","Sus scrofa",32,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72256/suppl",,,"Hans-Joachim Mollenkopf","Jan 31, 2016"
GSE72740,"Effect of Asr1 RING mutation on the transcriptome of S. cerevisisae.","Expression profiling by high throughput sequencing","Saccharomyces cerevisiae",4,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72740/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA295088",26787877,SRP063469,"Yan Guo","Jan 31, 2016"
