"Term"	"Overlap"	"P.value"	"Adjusted.P.value"	"Old.P.value"	"Old.Adjusted.P.value"	"Z.score"	"Combined.Score"	"Genes"
"1"	"azurophil granule lumen (GO:0035578)"	"7/202"	9.55732074780362e-09	2.05482396077778e-06	6.27874921604355e-07	0.000134993108144936	-2.63349671520749	48.6300408044853	"CSTB;SERPINB1;GRN;ANXA2;PGAM1;S100A9;S100A11"
"2"	"dense core granule lumen (GO:0098898)"	"5/116"	5.31641789993047e-07	2.85757462121263e-05	1.20463294118235e-05	0.000647490205885512	-2.36527590173955	34.1718408410523	"CSTB;SERPINB1;PGAM1;S100A9;S100A11"
"3"	"chromaffin granule lumen (GO:0034466)"	"5/115"	5.09215122019761e-07	2.85757462121263e-05	1.1567912371773e-05	0.000647490205885512	-2.35561817879831	34.1338385232887	"CSTB;SERPINB1;PGAM1;S100A9;S100A11"
"4"	"secretory granule lumen (GO:0034774)"	"5/115"	5.09215122019761e-07	2.85757462121263e-05	1.1567912371773e-05	0.000647490205885512	-2.34182020780002	33.9339004695567	"CSTB;SERPINB1;PGAM1;S100A9;S100A11"
"5"	"platelet dense granule lumen (GO:0031089)"	"5/129"	9.00993975242827e-07	3.87427409354415e-05	1.97949904356828e-05	0.000851184588734358	-2.3921382158163	33.2980072325193	"CSTB;SERPINB1;PGAM1;S100A9;S100A11"
"6"	"specific granule lumen (GO:0035580)"	"5/180"	4.64067030821614e-06	0.000154512456471457	9.30701261288992e-05	0.00308511332125725	-2.57019711011337	31.563695610355	"CSTB;SERPINB1;PGAM1;S100A9;S100A11"
"7"	"platelet alpha granule lumen (GO:0031093)"	"5/183"	5.03063811767534e-06	0.000154512456471457	0.000100445549994422	0.00308511332125725	-2.57778630213242	31.4488993627377	"CSTB;SERPINB1;PGAM1;S100A9;S100A11"
"8"	"intermediate filament cytoskeleton (GO:0045111)"	"4/156"	6.30206322404501e-05	0.00150549288129964	0.000699585117169404	0.0167123111323802	-2.38181081009269	23.0369894093926	"KRT4;KRT13;HSPB1;S100A9"
"9"	"actin cytoskeleton (GO:0015629)"	"4/278"	0.00057501609275043	0.0103023716617785	0.00557185951241875	0.0704676350100019	-2.86037182823821	21.3415560886034	"SLC9A3R1;ABLIM1;HSPB1;S100A9"
"10"	"keratin filament (GO:0045095)"	"3/38"	2.00610331964703e-05	0.000539140267155139	0.000154566744187099	0.00415398125002829	-1.88090807185551	20.3452771595608	"DSP;KRT4;KRT13"
"11"	"perinuclear theca (GO:0033011)"	"4/450"	0.00337460129587915	0.0315451860266964	0.0281080512087045	0.177742088525631	-3.27167453430197	18.6206639498436	"SLC9A3R1;HSPB1;S100A9;NDRG1"
"12"	"intermediate filament (GO:0005882)"	"3/68"	0.000115873741767847	0.00249128544800872	0.000787916726137568	0.0169402096119577	-2.00791971407046	18.1977952283421	"DSP;KRT4;KRT13"
"13"	"focal adhesion (GO:0005925)"	"4/356"	0.00144156234645468	0.0172186613604309	0.0130095181014441	0.127138472355022	-2.76985756592415	18.1204851726264	"RAB10;ANXA1;HSPB1;CAPN1"
"14"	"recycling endosome membrane (GO:0055038)"	"3/113"	0.00051901663189466	0.010144415987032	0.00323935955718668	0.0503883672771334	-2.17297769611326	16.4354789722963	"RAB10;NDRG1;RAB11A"
"15"	"ficolin-1-rich granule lumen (GO:1904813)"	"3/123"	0.000664583019902719	0.0107276140507408	0.00409071328337725	0.0549689597453818	-2.16677117824478	15.8528579387544	"CSTB;PGAM1;CAPN1"
"16"	"microtubule cytoskeleton (GO:0015630)"	"3/239"	0.00442761823305159	0.0396640800044205	0.0241311547135242	0.160805171070375	-2.47199199006553	13.3979332804879	"HSPB1;S100A9;NDRG1"
"17"	"organellar chromatophore membrane (GO:0070112)"	"2/48"	0.0020487896590421	0.0209757036520977	0.00741143517191815	0.0796729280981201	-1.88154933555061	11.6477425835131	"RAB10;RAB11A"
"18"	"cytoplasmic vesicle membrane (GO:0030659)"	"2/48"	0.0020487896590421	0.0209757036520977	0.00741143517191815	0.0796729280981201	-1.84845922285581	11.4428980400052	"RAB10;RAB11A"
"19"	"Cvt vesicle membrane (GO:0033110)"	"2/48"	0.0020487896590421	0.0209757036520977	0.00741143517191815	0.0796729280981201	-1.81476777565578	11.2343309315923	"RAB10;RAB11A"
"20"	"neurofilament (GO:0005883)"	"2/33"	0.000971528754970385	0.0122869813128608	0.00368582537668204	0.0528301637324426	-1.43652840509404	9.96467995210523	"DSP;KRT4"
"21"	"type III intermediate filament (GO:0045098)"	"2/29"	0.000749637079149664	0.0107447981344785	0.00289872715666927	0.0503883672771334	-1.3740771643588	9.88775122144158	"DSP;KRT4"
"22"	"lamin filament (GO:0005638)"	"2/31"	0.000857089708130712	0.0115171429530064	0.00328110298548776	0.0503883672771334	-1.37617580772704	9.71850947238484	"DSP;KRT4"
"23"	"glial filament (GO:0097426)"	"2/28"	0.000698542310280795	0.0107276140507408	0.0027159888208255	0.0503883672771334	-1.32669213196922	9.64042802266988	"DSP;KRT4"
"24"	"multivesicular body membrane (GO:0032585)"	"2/53"	0.00249207457660062	0.0243543651804152	0.00891413633549518	0.091263776768165	-1.53625558111754	9.20929877595266	"ANXA2;RAB11A"
"25"	"recycling endosome (GO:0055037)"	"2/78"	0.00531490091725008	0.0408108463288845	0.0182390302040313	0.143966361922466	-1.62861610828888	8.52945490813575	"RAB10;RAB11A"
"26"	"basolateral recycling endosome (GO:0090654)"	"2/78"	0.00531490091725008	0.0408108463288845	0.0182390302040313	0.143966361922466	-1.60212729144743	8.39072659293052	"RAB10;RAB11A"
"27"	"peri-centrosomal recycling endosome (GO:0098832)"	"2/78"	0.00531490091725008	0.0408108463288845	0.0182390302040313	0.143966361922466	-1.58893249134931	8.32162224606452	"RAB10;RAB11A"
"28"	"recycling endosome lumen (GO:0034777)"	"2/92"	0.00731978481956003	0.0542673702139795	0.024681723931732	0.160805171070375	-1.68722540126638	8.29638146185433	"RAB10;RAB11A"
"29"	"apical recycling endosome (GO:0090653)"	"2/78"	0.00531490091725008	0.0408108463288845	0.0182390302040313	0.143966361922466	-1.56442589326343	8.19327528801747	"RAB10;RAB11A"
"30"	"cortical cytoskeleton (GO:0030863)"	"2/122"	0.0125777392865377	0.0693388191437337	0.0410908063015846	0.205525504592566	-1.8159598894418	7.94632586262021	"HSPB1;S100A9"
"31"	"spectrin-associated cytoskeleton (GO:0014731)"	"2/120"	0.0121879945985046	0.0689583904915391	0.0398948863356586	0.205525504592566	-1.76458996815306	7.77708417979379	"HSPB1;S100A9"
"32"	"cytoskeleton (GO:0005856)"	"2/113"	0.0108671260907308	0.0631468137704629	0.0358192835892289	0.202661736096953	-1.70913485300085	7.72873002724155	"HSPB1;S100A9"
"33"	"septin cytoskeleton (GO:0032156)"	"2/113"	0.0108671260907308	0.0631468137704629	0.0358192835892289	0.202661736096953	-1.68866405215305	7.63616079964882	"HSPB1;S100A9"
"34"	"trans-Golgi network (GO:0005802)"	"2/109"	0.0101429185822695	0.0623064998625125	0.0335692381916299	0.200482950311123	-1.60427549727327	7.36519591007876	"RAB10;RAB11A"
"35"	"actin filament bundle (GO:0032432)"	"2/183"	0.0269315718967288	0.114295937547186	0.0834195843636149	0.311291260709698	-1.8699210824276	6.75874748364055	"SLC9A3R1;ABLIM1"
"36"	"dynactin complex (GO:0005869)"	"2/182"	0.0266600371800026	0.114295937547186	0.0826454982643253	0.311291260709698	-1.86242746705614	6.75053517129117	"SLC9A3R1;ABLIM1"
"37"	"actin body (GO:0099079)"	"2/179"	0.0258522701527833	0.114295937547186	0.0803373233072468	0.311291260709698	-1.82624250740597	6.67556808050147	"SLC9A3R1;ABLIM1"
"38"	"actomyosin (GO:0042641)"	"2/185"	0.0274780390854541	0.114295937547186	0.084974701538663	0.311291260709698	-1.85481918738945	6.66690305206808	"SLC9A3R1;ABLIM1"
"39"	"actin fusion focus (GO:1990819)"	"2/179"	0.0258522701527833	0.114295937547186	0.0803373233072468	0.311291260709698	-1.80780864798448	6.60818574597825	"SLC9A3R1;ABLIM1"
"40"	"striated muscle thin filament (GO:0005865)"	"2/180"	0.0261203828316953	0.114295937547186	0.0811043515433896	0.311291260709698	-1.80604315574139	6.58309831273892	"SLC9A3R1;ABLIM1"
"41"	"cortical actin cytoskeleton (GO:0030864)"	"2/213"	0.0355894598741894	0.141698775425013	0.107650908322193	0.345250901580673	-1.90876395793805	6.36707492117046	"SLC9A3R1;ABLIM1"
"42"	"actin filament (GO:0005884)"	"2/211"	0.0349823579448713	0.141698775425013	0.105978865909961	0.34523418440366	-1.87095754213465	6.27315487809655	"SLC9A3R1;ABLIM1"
"43"	"perinuclear region of cytoplasm (GO:0048471)"	"2/347"	0.0844524693964192	0.235808843119872	0.231617440233595	0.520330696005468	-2.0686535816022	5.11281467565447	"SLC9A3R1;NDRG1"
"44"	"cytoplasmic periphery of the nuclear pore complex (GO:1990723)"	"2/347"	0.0844524693964192	0.235808843119872	0.231617440233595	0.520330696005468	-2.05057880109584	5.06814165555386	"SLC9A3R1;NDRG1"
"45"	"perinuclear endoplasmic reticulum (GO:0097038)"	"2/355"	0.0878024550760603	0.237160889083967	0.239463953590398	0.520330696005468	-2.01315311496295	4.8973287663322	"SLC9A3R1;NDRG1"
"46"	"lysosomal membrane (GO:0005765)"	"2/347"	0.0844524693964192	0.235808843119872	0.231617440233595	0.520330696005468	-1.90740312150393	4.71427345726068	"GRN;ANXA2"
"47"	"mutator focus (GO:1990633)"	"2/369"	0.0937612817308709	0.237160889083967	0.253241902232473	0.520330696005468	-1.91442507492095	4.53145043722136	"SLC9A3R1;NDRG1"
"48"	"centrosomal corona (GO:0031592)"	"2/401"	0.107810524950538	0.257547365159618	0.284857516111526	0.520330696005468	-1.91004832478492	4.25440342089613	"NDRG1;RAB11A"
"49"	"pericentriolar material (GO:0000242)"	"2/406"	0.110056030141062	0.260022488794816	0.289801915804236	0.520330696005468	-1.9274760754345	4.25348804834489	"NDRG1;RAB11A"
"50"	"centriolar satellite (GO:0034451)"	"2/411"	0.112314352296416	0.262473758084016	0.294745224267675	0.520330696005468	-1.91368673960613	4.18418730362551	"NDRG1;RAB11A"
"51"	"spindle pole centrosome (GO:0031616)"	"2/431"	0.121470418359397	0.27783127603479	0.314492312421184	0.53305217272508	-1.9279207160123	4.06421980976774	"NDRG1;RAB11A"
"52"	"centrosome (GO:0005813)"	"2/454"	0.132226164430845	0.288074879022514	0.337104528871618	0.559414056088149	-1.88719411267417	3.81824936359088	"NDRG1;RAB11A"
"53"	"trans-Golgi network membrane (GO:0032588)"	"2/472"	0.140797378403102	0.288074879022514	0.354689198365369	0.563455558928231	-1.82987155375038	3.58734141182678	"RAB10;RAB11A"
"54"	"nucleolar part (GO:0044452)"	"2/635"	0.222762468110565	0.336483687776667	0.505483877816808	0.66494008521307	-1.33262898579466	2.00114130456986	"CSTB;S100A16"
"55"	"nucleolus (GO:0005730)"	"2/637"	0.22380077838169	0.336483687776667	0.507210111511365	0.66494008521307	-1.33245438818592	1.99468289343776	"CSTB;S100A16"
"56"	"ciliary vesicle (GO:0097721)"	"1/124"	0.159920219065803	0.288074879022514	0.281202000336151	0.520330696005468	-0.67042556739567	1.22894384586781	"RAB11A"
"57"	"Cvt vesicle (GO:0033107)"	"1/124"	0.159920219065803	0.288074879022514	0.281202000336151	0.520330696005468	-0.662100139197941	1.2136826681243	"RAB11A"
"58"	"chitosome (GO:0045009)"	"1/124"	0.159920219065803	0.288074879022514	0.281202000336151	0.520330696005468	-0.623948731688834	1.14374807769446	"RAB11A"
"59"	"amorphous vesicle (GO:1990006)"	"1/124"	0.159920219065803	0.288074879022514	0.281202000336151	0.520330696005468	-0.605723276785056	1.11033935682908	"RAB11A"
"60"	"late endosome membrane (GO:0031902)"	"1/115"	0.149196482332369	0.288074879022514	0.263781335108134	0.520330696005468	-0.558772848118913	1.06306040866069	"ANXA2"
"61"	"carotenoid vesicle (GO:0043702)"	"1/124"	0.159920219065803	0.288074879022514	0.281202000336151	0.520330696005468	-0.579296603302381	1.06189714441547	"RAB11A"
"62"	"granular vesicle (GO:1990005)"	"1/124"	0.159920219065803	0.288074879022514	0.281202000336151	0.520330696005468	-0.558477862816434	1.02373472304734	"RAB11A"
"63"	"secretory vesicle (GO:0099503)"	"1/126"	0.162285509529851	0.288074879022514	0.285019585407439	0.520330696005468	-0.560232868781084	1.01872637880278	"RAB11A"
"64"	"fusiform vesicle (GO:0120002)"	"1/124"	0.159920219065803	0.288074879022514	0.281202000336151	0.520330696005468	-0.554798011515809	1.01698926041951	"RAB11A"
"65"	"mitotic spindle pole (GO:0097431)"	"1/112"	0.145592659978352	0.288074879022514	0.257885624299318	0.520330696005468	-0.516488056342847	0.995242815808183	"RAB11A"
"66"	"cytoplasmic vesicle (GO:0031410)"	"1/124"	0.159920219065803	0.288074879022514	0.281202000336151	0.520330696005468	-0.527469617150493	0.966894121292924	"RAB11A"
"67"	"synaptic vesicle protein transport vesicle (GO:0097547)"	"1/124"	0.159920219065803	0.288074879022514	0.281202000336151	0.520330696005468	-0.513243557182172	0.940816612171474	"RAB11A"
"68"	"mitochondrion-derived vesicle (GO:0099073)"	"1/127"	0.163465745305799	0.288074879022514	0.286921129065599	0.520330696005468	-0.515876935362037	0.934331450081844	"RAB11A"
"69"	"spindle pole (GO:0000922)"	"1/104"	0.135910356999562	0.288074879022514	0.241943097981944	0.520330696005468	-0.465269088059601	0.928565319000353	"RAB11A"
"70"	"coated vesicle (GO:0030135)"	"1/126"	0.162285509529851	0.288074879022514	0.285019585407439	0.520330696005468	-0.502962777291252	0.914586553797369	"RAB11A"
"71"	"ascus lipid droplet (GO:0005633)"	"1/58"	0.0781502116426871	0.23016843155038	0.143752565406742	0.423380843321225	-0.357907369923368	0.912349734583344	"ANXA2"
"72"	"osmiophilic body (GO:0044310)"	"1/124"	0.159920219065803	0.288074879022514	0.281202000336151	0.520330696005468	-0.489993369787579	0.898197153571686	"RAB11A"
"73"	"multivesicular body (GO:0005771)"	"1/94"	0.123658622829633	0.27985898850917	0.221555982566803	0.520330696005468	-0.421326431533685	0.880669379414693	"RAB11A"
"74"	"Golgi-associated vesicle (GO:0005798)"	"1/132"	0.169342913567497	0.290643797047644	0.2963568225819	0.520330696005468	-0.493510670849566	0.876390830307338	"RAB11A"
"75"	"membrane raft (GO:0045121)"	"1/115"	0.149196482332369	0.288074879022514	0.263781335108134	0.520330696005468	-0.459755617075785	0.874681001086543	"ANXA2"
"76"	"piccolo-bassoon transport vesicle (GO:1990257)"	"1/124"	0.159920219065803	0.288074879022514	0.281202000336151	0.520330696005468	-0.470262605285	0.862029079457352	"RAB11A"
"77"	"monolayer-surrounded lipid storage body (GO:0012511)"	"1/58"	0.0781502116426871	0.23016843155038	0.143752565406742	0.423380843321225	-0.330905825738975	0.843519490391261	"ANXA2"
"78"	"merozoite dense granule (GO:0020026)"	"1/124"	0.159920219065803	0.288074879022514	0.281202000336151	0.520330696005468	-0.448839396700224	0.822758619574271	"RAB11A"
"79"	"polar microtubule (GO:0005827)"	"1/92"	0.121188254969188	0.27783127603479	0.2174163787137	0.520330696005468	-0.389405875620028	0.821806099230808	"RAB11A"
"80"	"multivesicular body, internal vesicle (GO:0097487)"	"1/138"	0.176342968019198	0.296201079094746	0.3075227194542	0.528939077461224	-0.469851709783273	0.815345182524202	"RAB11A"
"81"	"contractile vacuole (GO:0000331)"	"1/134"	0.171682615000236	0.290643797047644	0.300097703742689	0.520330696005468	-0.459155200484676	0.809080945669669	"RAB11A"
"82"	"pigment granule (GO:0048770)"	"1/124"	0.159920219065803	0.288074879022514	0.281202000336151	0.520330696005468	-0.425577738741305	0.780118134509918	"RAB11A"
"83"	"lipid droplet (GO:0005811)"	"1/58"	0.0781502116426871	0.23016843155038	0.143752565406742	0.423380843321225	-0.305735923396275	0.779358325655348	"ANXA2"
"84"	"aleurone grain (GO:0033095)"	"1/124"	0.159920219065803	0.288074879022514	0.281202000336151	0.520330696005468	-0.407431770508193	0.746855119088202	"RAB11A"
"85"	"cytoplasmic microtubule (GO:0005881)"	"1/109"	0.141974120018353	0.288074879022514	0.251944965453895	0.520330696005468	-0.376172295467672	0.734329884550041	"NDRG1"
"86"	"tertiary granule lumen (GO:1904724)"	"1/59"	0.0794445549459372	0.230818639369953	0.146010375062275	0.424219332951204	-0.286534717115714	0.725705309750231	"CSTB"
"87"	"pericanalicular vesicle (GO:0033675)"	"1/124"	0.159920219065803	0.288074879022514	0.281202000336151	0.520330696005468	-0.392688165416253	0.719828908238233	"RAB11A"
