"Term"	"Overlap"	"P.value"	"Adjusted.P.value"	"Old.P.value"	"Old.Adjusted.P.value"	"Z.score"	"Combined.Score"	"Genes"
"1"	"Cholesteatoma"	"2/12"	0.000123669545642542	0.00420476455184643	0.000152103444259775	0.00517151710483235	-3.81288781902001	34.307973790431	"KRT4;KRT13"
"2"	"Hereditary_mucosal_leukokeratosis"	"2/6"	2.82532609873056e-05	0.00192122174713678	4.70270826888444e-05	0.00319784162284142	-2.5418439102618	26.6240399239328	"KRT4;KRT13"
"3"	"Neurodegenerative_disease"	"3/293"	0.00777567951182979	0.0471526823945929	0.00676987453888464	0.047819391345235	-4.14956329121536	20.1534098876973	"GRN;HSPB1;NDRG1"
"4"	"Dementia"	"2/119"	0.011995169408696	0.0471526823945929	0.0111387280950519	0.047819391345235	-3.63972950822237	16.0994381315355	"CSTB;GRN"
"5"	"Charcot-Marie-Tooth_disease"	"2/51"	0.00230979003021523	0.0471526823945929	0.00223235384224655	0.047819391345235	-2.64273845836394	16.0430045297786	"HSPB1;NDRG1"
"6"	"Neuropathy"	"2/89"	0.00686537606953191	0.0471526823945929	0.00643517087730036	0.047819391345235	-3.0860068545434	15.3722162695778	"HSPB1;NDRG1"
"7"	"Hodgkin's_lymphoma"	"1/9"	0.0125321626293864	0.0471526823945929	0.0132356581132048	0.047819391345235	-1.75563976314609	7.68874872526933	"CAST"
"8"	"Cysticercosis"	"1/11"	0.0152964492547282	0.0471526823945929	0.0158626918367765	0.047819391345235	-1.59765113173004	6.67839669838041	"TACSTD2"
"9"	"Alpha_1-antitrypsin_deficiency"	"1/9"	0.0125321626293864	0.0471526823945929	0.0132356581132048	0.047819391345235	-1.38247056795655	6.05447030776428	"SERPINB1"
"10"	"Hailey-Hailey_disease"	"1/9"	0.0125321626293864	0.0471526823945929	0.0132356581132048	0.047819391345235	-1.272277428251	5.57188419856938	"DSP"
"11"	"Antley-Bixler_syndrome"	"1/14"	0.019428892814469	0.0471526823945929	0.0197907567929923	0.047819391345235	-1.33642620899815	5.26684767179541	"DHCR24"
"12"	"Arrhythmogenic_right_ventricular_cardiomyopathy"	"1/7"	0.0097603939151914	0.0471526823945929	0.0106019466249008	0.047819391345235	-1.13233436155747	5.24205419266776	"DSP"
"13"	"Spina_bifida_occulta"	"1/8"	0.0111472147520225	0.0471526823945929	0.0119196380967078	0.047819391345235	-1.13249210026614	5.09232503199953	"PERP"
"14"	"Intestinal_disease"	"1/12"	0.01667579286541	0.0471526823945929	0.0171737095639934	0.047819391345235	-1.14851320226909	4.70178006288553	"ABLIM1"
"15"	"Bullous_pemphigoid"	"1/14"	0.019428892814469	0.0471526823945929	0.0197907567929923	0.047819391345235	-1.17283782600014	4.62214683584597	"DSP"
"16"	"Mevalonic_aciduria"	"1/11"	0.0152964492547282	0.0471526823945929	0.0158626918367765	0.047819391345235	-1.0783419485225	4.50761443829069	"DHCR24"
"17"	"Smith-Lemli-Opitz_syndrome"	"1/10"	0.0139152399864963	0.0471526823945929	0.0145500086884614	0.047819391345235	-1.0534746960861	4.5033626982296	"DHCR24"
"18"	"Pemphigus"	"1/10"	0.0139152399864963	0.0471526823945929	0.0145500086884614	0.047819391345235	-1.04327740129113	4.45977160185763	"DSP"
"19"	"Wegener's_granulomatosis"	"1/11"	0.0152964492547282	0.0471526823945929	0.0158626918367765	0.047819391345235	-1.04910418174673	4.38539663915711	"SERPINB1"
"20"	"Corneal_dystrophy"	"1/16"	0.0221745592101865	0.0486409685900864	0.0224011664045035	0.0491380424356852	-1.13670618396791	4.32949745857477	"TACSTD2"
"21"	"LEOPARD_syndrome"	"1/14"	0.019428892814469	0.0471526823945929	0.0197907567929923	0.047819391345235	-1.09143352699547	4.30133298185229	"DSP"
"22"	"Pick's_disease"	"1/13"	0.0180532732441747	0.0471526823945929	0.0184830638810675	0.047819391345235	-0.981905618571818	3.94178967118856	"GRN"
"23"	"Ameloblastoma"	"1/23"	0.0317261310095335	0.0585455943764259	0.0314855594172755	0.0579127051918055	-1.12814930048151	3.89280846481867	"KRT13"
"24"	"Interstitial_lung_disease"	"1/14"	0.019428892814469	0.0471526823945929	0.0197907567929923	0.047819391345235	-0.960836608830313	3.78665131087738	"DSP"
"25"	"Aphasia"	"1/20"	0.0276436686160637	0.0552873372321274	0.0276021367228366	0.0552042734456732	-0.961927171705617	3.45173960105063	"GRN"
"26"	"Cutaneous_fibrous_histiocytoma"	"1/15"	0.0208026539976145	0.0471526823945929	0.0210967902993684	0.047819391345235	-0.855734414480829	3.31398102062339	"S100A9"
"27"	"Histiocytosis"	"1/11"	0.0152964492547282	0.0471526823945929	0.0158626918367765	0.047819391345235	-0.789670996366311	3.30093101691656	"S100A9"
"28"	"Lobular_neoplasia"	"1/13"	0.0180532732441747	0.0471526823945929	0.0184830638810675	0.047819391345235	-0.813170734331729	3.2644155821858	"CTNND1"
"29"	"Corneal_disease"	"1/24"	0.0330832751418655	0.0585455943764259	0.0327767480437246	0.0579127051918055	-0.942788108517994	3.21370766451835	"BHLHE40"
"30"	"Progressive_supranuclear_palsy"	"1/24"	0.0330832751418655	0.0585455943764259	0.0327767480437246	0.0579127051918055	-0.925577409043848	3.15504108152684	"GRN"
"31"	"Acquired_immunodeficiency_syndrome"	"1/78"	0.103706687519492	0.138275583359323	0.100117400949898	0.133489867933197	-1.38550073046265	3.13980606697242	"ANXA1"
"32"	"DOID:2627"	"1/92"	0.121188254969188	0.155486817696317	0.116833004783072	0.149898949532998	-1.44398150988351	3.04739318611799	"DSP"
"33"	"Cardiomyopathy"	"1/80"	0.106224427266244	0.138908866425088	0.102523656264026	0.134069396652957	-1.32269190105991	2.96574134754934	"DSP"
"34"	"Peripheral_neuropathy"	"1/25"	0.0344385849273094	0.0585455943764259	0.0340662971716503	0.0579127051918055	-0.868740728103673	2.92642063362835	"NDRG1"
"35"	"Keratosis"	"1/27"	0.0371437110140957	0.0601374368799644	0.0366404848311387	0.0593226897266055	-0.828721724043405	2.72894815838201	"DSP"
"36"	"Ankylosing_spondylitis"	"1/24"	0.0330832751418655	0.0585455943764259	0.0327767480437246	0.0579127051918055	-0.8005595434131	2.72888925658409	"CAST"
"37"	"Bronchitis"	"1/31"	0.0425320558822509	0.0628734739128926	0.0417692730188512	0.061745881853954	-0.851050827477677	2.68719063146225	"SERPINB1"
