Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE76864,"Independent roles of switching and hypermutation in the development and persistence of B lymphocyte memory [IgM_IgG1]","Expression profiling by high throughput sequencing","Mus musculus",12,,"DIFF","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76864/suppl",26944202,SRP068458,"Thiago Y Oliveira","Oct 19, 2016"
GSE76865,"Independent roles of switching and hypermutation in the development and persistence of B lymphocyte memory [Nurr77]","Expression profiling by high throughput sequencing","Mus musculus",10,,"DIFF","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76865/suppl",26944202,SRP068460,"Thiago Y Oliveira","Oct 19, 2016"
GSE76866,"Independent roles of switching and hypermutation in the development and persistence of B lymphocyte memory","Expression profiling by high throughput sequencing","Mus musculus",22,,,,26944202,,"Thiago Y Oliveira","Oct 19, 2016"
GSE76955,"Genome-wide uniformity of human “open” pre-initiation complexes","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",8,,"BED;BEDGRAPH","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76955/suppl",27927716,SRP068569,"Bongsoo Park","Oct 19, 2016"
GSE78041,"Differential RNA-Seq (dRNA-seq)  of Escherichia coli O104:H4","Expression profiling by high throughput sequencing","Escherichia coli O104:H4",2,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE78nnn/GSE78041/suppl",27748404,SRP070465,"Konrad U. Förstner","Oct 19, 2016"
GSE78699,"Different pathogenic stimuli induce specific metabolic rewiring in human monocytes","Expression profiling by array","Homo sapiens",15,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE78nnn/GSE78699/suppl",27991883,,"Guido Hooiveld","Oct 19, 2016"
GSE79377,"Microarray on osteoblasts made from bone marrow stromal cells from Bmp2 flox/flox and Bmp2; Prx1-Cre mice","Expression profiling by array","Mus musculus",8,,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE79nnn/GSE79377/suppl",27802170,,"Valerie S Salazar","Oct 19, 2016"
GSE80117,"Transcriptional response of P. aeruginosa PA1 to bacteriophage PaP1 infection","Expression profiling by array","Pseudomonas aeruginosa PA1;Pseudomonas aeruginosa PAO1;Pseudomonas phage PaP1",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80117/suppl",,,"Xia Zhao","Oct 19, 2016"
GSE82080,"Gene expression profiling reveals aryl hydrocarbon receptor as a possible target for photobiomodulation when using blue light (1h time point)","Expression profiling by array","Homo sapiens",6,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE82nnn/GSE82080/suppl",27669902,,"Carsten Sticht","Oct 19, 2016"
GSE82092,"Gene expression profiling reveals aryl hydrocarbon receptor as a possible target for photobiomodulation when using blue light (3h time point)","Expression profiling by array","Homo sapiens",6,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE82nnn/GSE82092/suppl",27669902,,"Carsten Sticht","Oct 19, 2016"
GSE82093,"Gene expression profiling reveals aryl hydrocarbon receptor as a possible target for photobiomodulation when using blue light (24h time point)","Expression profiling by array","Homo sapiens",6,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE82nnn/GSE82093/suppl",27669902,,"Carsten Sticht","Oct 19, 2016"
GSE83924,"miRNA experiment of fresh frozen colonic biopsy samples","Non-coding RNA profiling by array","Homo sapiens;synthetic construct",60,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83924/suppl",,,"Wichmann Barna","Oct 19, 2016"
GSE85462,"Escape from X-Inactivation Tumor Suppressor (EXITS) genes contribute to sex bias","Expression profiling by high throughput sequencing","Mus musculus",9,,"XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85462/suppl",27869828,SRP081265,"Andrew Lane","Oct 19, 2016"
GSE85540,"A ribosome profiling study of mRNA cleavage by the endonuclease RelE","Expression profiling by high throughput sequencing;Other","Escherichia coli",9,,"WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85540/suppl",27924019,SRP081474,"Allen Buskirk","Oct 19, 2016"
GSE87368,"Supplementation with Lactobacillus plantarum WCFS1 prevents Decline of Mucus Barrier in Colon of Accelerated Aging Ercc1-/Δ7 Mice","Expression profiling by array","Mus musculus",19,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87368/suppl",27774093,,"Guido Hooiveld","Oct 19, 2016"
GSE88849,"Severe damage on placental fetal capillary network causes mid to late fetal lethality and reduction of placental size in Peg11/Rtl1 KO mice [day 10.5]","Expression profiling by array","Mus musculus",8,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE88nnn/GSE88849/suppl",,,"Moe Kitazawa","Oct 19, 2016"
GSE88852,"Recipient and donor expression differences in children treated with HSCT","Expression profiling by array","Homo sapiens",71,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE88nnn/GSE88852/suppl",,,"Miroslaw Bik-Multanowski","Oct 19, 2016"
GSE88855,"Expression data from the spinal cord of dmy rat with Mrs2 mutation","Expression profiling by array","Rattus norvegicus",2,,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE88nnn/GSE88855/suppl",27977799,,"Mitsuru Kuwamura","Oct 19, 2016"
GSE88862,"Examine the expression profiles of lncRNAs in early stage lung squamous cell carcinoma","Expression profiling by array","Homo sapiens",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE88nnn/GSE88862/suppl",28076325,,"cheng zule","Oct 19, 2016"
GSE88865,"Expression data from human placental derived mesenchymal stem cells (PDMSCs).","Expression profiling by array","Homo sapiens",12,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE88nnn/GSE88865/suppl",,,"Chenxia Hu","Oct 19, 2016"
GSE88866,"The development of Drosophila melanogaster during space flight","Expression profiling by high throughput sequencing","Drosophila melanogaster",10,,"XLS","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE88nnn/GSE88866/suppl",27861601,SRP091700,"Daniil Maksimov","Oct 19, 2016"
GSE88874,"Maternal Style Selectively Shapes Amygdalar Development and Social Behavior in Rats Genetically Prone to High Anxiety","Expression profiling by array","Rattus norvegicus",160,,"PAIR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE88nnn/GSE88874/suppl",25791846;27965039,,"Sarah Megan Clinton","Oct 19, 2016"
GSE88879,"Long Term Culture of the A549 Cell Line Promotes Differentiation Towards an Alveolar Type II (ATII) Phenotype; A549 Time course.","Expression profiling by array","Homo sapiens",15,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE88nnn/GSE88879/suppl",,,"James Ross Cooper","Oct 19, 2016"
GSE88880,"Long Term Culture of the A549 Cell Line Promotes Differentiation Towards an Alveolar Type II (ATII) Phenotype;  Comparison of A549 cells with Primary ATII Cells","Expression profiling by array","Homo sapiens",5,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE88nnn/GSE88880/suppl",,,"James Ross Cooper","Oct 19, 2016"
GSE88881,"Long Term Culture of the A549 Cell Line Promotes Differentiation Towards an Alveolar Type II (ATII) Phenotype","Expression profiling by array","Homo sapiens",20,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE88nnn/GSE88881/suppl",,,"James Ross Cooper","Oct 19, 2016"
GSE88891,"Severe damage on placental fetal capillary network causes mid to late fetal lethality and reduction of placental size in Peg11/Rtl1 KO mice [day 12.5]","Expression profiling by array","Mus musculus",8,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE88nnn/GSE88891/suppl",,,"Moe Kitazawa","Oct 19, 2016"
GSE88892,"Severe damage on placental fetal capillary network causes mid to late fetal lethality and reduction of placental size in Peg11/Rtl1 KO mice","Expression profiling by array","Mus musculus",16,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE88nnn/GSE88892/suppl",,,"Moe Kitazawa","Oct 19, 2016"
GSE88893,"Gene expression in granulosa cells from cows rated as poor donors of competent oocytes","Expression profiling by array","Bos taurus",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE88nnn/GSE88893/suppl",,,"David André Landry","Oct 19, 2016"
GSE88897,"5-methylcytosine (5mC) and 5-hydroxymethylcytosine (5hmC) increase CREB1 binding to the C/EBP half-site GCAA","Other","Mus musculus;synthetic construct",18,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE88nnn/GSE88897/suppl",27951657,,"Desiree Tillo","Oct 19, 2016"
GSE88907,"Centromere location in Arabidopsis is unaltered by extreme divergence in CENH3 protein sequence","Genome binding/occupancy profiling by high throughput sequencing","Arabidopsis thaliana",11,,"BW;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE88nnn/GSE88907/suppl",,SRP091720,"Luca Comai","Oct 19, 2016"
GSE88911,"Aberrant overexpression of TGF-β2 induces epithelial-mesenchymal transition in adenomyosis with β-catenin activation.","Expression profiling by array","Mus musculus",6,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE88nnn/GSE88911/suppl",,,"Jae-Wook Jeong","Oct 19, 2016"
GSE51399,"Genome-wide expression profiles  and identification of upregulated genes in larval Culex quinquefasciatus during exposure to permethrin","Expression profiling by high throughput sequencing","Culex quinquefasciatus",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51399/suppl",,SRP031475,"Nannan Liu","Oct 18, 2016"
GSE55644,"A custom genome-wide Plasmodium vivax 8x15K microarray for expression profiling of Indian clinical isolates showing complicated malaria","Expression profiling by array","Plasmodium vivax",14,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE55nnn/GSE55644/suppl",27720625,,"Ashis Kumar Das","Oct 18, 2016"
GSE71574,"Transcriptomes of E2F7/8 DKO liver tumors","Expression profiling by high throughput sequencing","Mus musculus",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE71nnn/GSE71574/suppl",27454291,SRP061854,"Michal Mokry","Oct 18, 2016"
GSE72400,"naive T cell heterogeneity after neonatal thymectomy","Expression profiling by high throughput sequencing","Homo sapiens",20,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72400/suppl",26901814,SRP062865,"Michal Mokry","Oct 18, 2016"
GSE73426,"Nono, a novel bivalent domain factor, regulates Erk signaling and mouse embryonic stem cell pluripotency [ChIP-Seq]","Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",11,,"BED;BEDGRAPH","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE73nnn/GSE73426/suppl",,SRP064184,"Li Wenjing","Oct 18, 2016"
GSE73583,"RNA-seq analyses of JMJD3c-overexpressing human embryonic stem cells","Expression profiling by high throughput sequencing","Homo sapiens",7,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE73nnn/GSE73583/suppl",27802135,SRP064322,"Tomohiko Akiyama","Oct 18, 2016"
GSE74017,"Acute myeloid leukemia requires Hhex to enable PRC2-mediated epigenetic repression of Cdkn2a (ChIP-Seq)","Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",9,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE74nnn/GSE74017/suppl",26728554,SRP064810,"Wei Shi","Oct 18, 2016"
GSE74018,"Acute myeloid leukemia requires Hhex to enable PRC2-mediated epigenetic repression of Cdkn2a (RNA-Seq)","Expression profiling by high throughput sequencing","Mus musculus",8,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE74nnn/GSE74018/suppl",26728554,SRP064811,"Wei Shi","Oct 18, 2016"
GSE74019,"Acute myeloid leukemia requires Hhex to enable PRC2-mediated epigenetic repression of Cdkn2a","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",17,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE74nnn/GSE74019/suppl",26728554,,"Wei Shi","Oct 18, 2016"
GSE75160,"Whole RNA sequencing to identify targets of ets-4 that are responsible for rege-1 (C30F12.1) phenotype","Expression profiling by high throughput sequencing","Caenorhabditis elegans",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75160/suppl",27746047,SRP066376,"Dimos Gaidatzis","Oct 18, 2016"
GSE75162,"Whole RNA sequencing to identify targets of the RNase domain protein encoded by rege-1 (C30F12.1)","Expression profiling by high throughput sequencing","Caenorhabditis elegans",8,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75162/suppl",27746047,SRP066378,"Dimos Gaidatzis","Oct 18, 2016"
GSE75163,"Whole RNA sequencing to identify targets of ETS-4 and REGE-1","Expression profiling by high throughput sequencing","Caenorhabditis elegans",12,,,,27746047,,"Dimos Gaidatzis","Oct 18, 2016"
