"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","SMAD2_18955504_ChIP-ChIP_HaCaT_Human","13/1936",5.83985091066246e-07,0.000148478485835011,1.19993481074594e-11,3.13471203548666e-09,-1.81702346182803,26.0804470834877,"CAST;DSP;LAD1;ANXA1;ANXA2;CTNND1;TACSTD2;KRT13;HSPB1;NDRG1;FAM129B;ABLIM1;PERP"
"2","SMAD3_18955504_ChIP-ChIP_HaCaT_Human","13/1936",5.83985091066246e-07,0.000148478485835011,1.19993481074594e-11,3.13471203548666e-09,-1.81099305181617,25.9938902544153,"CAST;DSP;LAD1;ANXA1;ANXA2;CTNND1;TACSTD2;KRT13;HSPB1;NDRG1;FAM129B;ABLIM1;PERP"
"3","SMAD4_19686287_ChIP-ChIP_HaCaT_Human","5/405",0.000222313112499072,0.00728066068287855,3.27017595815635e-06,5.71190734024642e-05,-2.95358146590675,24.843825299141,"ABLIM1;ANXA1;ANXA2;KRT13;NDRG1"
"4","ZNF217_24962896_ChIP-Seq_MCF-7_Human","11/1522",3.05241409466168e-06,0.00039986624640068,3.37215954563944e-10,3.01039442432934e-08,-1.83309561059799,23.2795402739205,"DSP;CAST;RAB10;ABLIM1;ANXA2;PERP;BHLHE40;HSPB1;NDRG1;S100A11;FAM129B"
"5","FOXA1_26769127_Chip-Seq_PDAC-Cell_line_Human","13/2000",8.50067666994339e-07,0.000148478485835011,1.79468246306488e-11,3.13471203548666e-09,-1.50028444373181,20.9709007638306,"LAD1;SPRR3;GRN;ANXA2;PGAM1;TACSTD2;HSPB1;DHCR24;RAB11A;ABLIM1;S100A16;BHLHE40;S100A11"
"6","NUCKS1_24931609_ChIP-Seq_HEPATOCYTES_Mouse","6/588",0.000136530165127075,0.0065038005933261,9.00650463760186e-07,2.03023202326455e-05,-2.21525881618652,19.7135106220331,"DSP;PERP;BHLHE40;HSPB1;NDRG1;RAB11A"
"7","FOXO3_23340844_ChIP-Seq_DLD1_Human","6/695",0.000337374154976768,0.00982133651154592,2.34384029683145e-06,4.386329698356e-05,-2.16707130988312,17.3242571610925,"ABLIM1;PERP;BHLHE40;HSPB1;DHCR24;FAM129B"
"8","ATF3_23680149_ChIP-Seq_GBM1-GSC_Human","12/2189",1.62065326302321e-05,0.0014153705163736,9.5731419176997e-10,7.16618052124949e-08,-1.56422216915931,17.2535209230188,"CAST;ABLIM1;ANXA1;ANXA2;S100A16;PERP;BHLHE40;CTNND1;HSPB1;DHCR24;RAB11A;FAM129B"
"9","GATA3_24758297_ChIP-Seq_MCF-7_Human","12/2000",6.37110840591919e-06,0.000667692160940331,3.44701651640764e-10,3.01039442432934e-08,-1.43097340209712,17.1197895789929,"SLC9A3R1;SPRR3;ANXA2;S100A16;PERP;BHLHE40;TACSTD2;KRT13;DHCR24;CAPN1;NDRG1;S100A11"
"10","TCF21_26020271_ChIP-Seq_SMOOTH_MUSCLE_Human","11/2000",4.16085839270576e-05,0.00218028979777782,5.76177775830018e-09,3.0191715453493e-07,-1.52905338348997,15.4238735094911,"RAB10;GRN;SERPINB1;ANXA2;S100A16;BHLHE40;HSPB1;DHCR24;NDRG1;RAB11A;FAM129B"
