"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","chr10q25","2/62",0.00339334058153834,0.0356300761061526,0.00118422246763753,0.012434335910194,-2.43915819577574,13.8689081773963,"ABLIM1;PGAM1"
"2","chr1q21","4/384",0.00190203102852975,0.0356300761061526,0.000235483907919668,0.00494516206631302,-1.97409362343587,12.3673668798737,"SPRR3;S100A16;S100A9;S100A11"
"3","chr7q","1/13",0.0180532732441747,0.126372912709223,0.0110541414684206,0.0773789902789439,-2.16309025330823,8.68357065798317,"HSPB1"
"4","chr6p24","1/48",0.0651098845207481,0.190751114187749,0.0381778615479487,0.111894985958068,-2.9375116255055,8.02433854157655,"DSP"
"5","chr6p25","1/71",0.0948406284392501,0.190751114187749,0.0556109908473525,0.111894985958068,-2.87586767774095,6.77427136526938,"SERPINB1"
"6","chr1p33","1/53",0.0716521269625476,0.190751114187749,0.0419937958855655,0.111894985958068,-2.28546174275436,6.02432274741447,"DHCR24"
"7","chr17q24","1/64",0.0858900290975591,0.190751114187749,0.050337677850137,0.111894985958068,-2.39160060737096,5.87063219345842,"SLC9A3R1"
"8","chr6q24","1/74",0.0986506748983111,0.190751114187749,0.0578623527975473,0.111894985958068,-2.30856765108405,5.3470356101195,"PERP"
"9","chr5q14","1/75",0.0999172502888211,0.190751114187749,0.0586116593113689,0.111894985958068,-2.15683594021956,4.96808379835042,"CAST"
"10","chr2p24","1/71",0.0948406284392501,0.190751114187749,0.0556109908473525,0.111894985958068,-1.99025659268512,4.68816362787463,"RAB10"
"11","chr9q21","1/104",0.135910356999562,0.20047033530158,0.0800939756877292,0.118681696079398,-2.21489275489811,4.42039381141966,"ANXA1"
"12","chr17q21","2/354",0.0873814745086198,0.190751114187749,0.0322222914067288,0.111894985958068,-1.80261904429051,4.39383341275207,"GRN;KRT13"
"13","chr12p12","1/85",0.112488975548278,0.196855707209487,0.0660732764531968,0.115628233793094,-1.92820748116076,4.2129406360087,"KRT4"
"14","chr1p32","1/113",0.146795566540971,0.20047033530158,0.0866645047757339,0.118681696079398,-1.65712349149303,3.17954664593742,"TACSTD2"
"15","chr15q22","1/121",0.15636020454542,0.20047033530158,0.0924670721172167,0.118681696079398,-1.63450541647507,3.0329766946756,"ANXA2"
"16","chr1q25","1/126",0.162285509529851,0.20047033530158,0.0960756587309411,0.118681696079398,-1.60773885037791,2.92350925548075,"LAD1"
"17","chr15q21","1/126",0.162285509529851,0.20047033530158,0.0960756587309411,0.118681696079398,-1.54899942450471,2.81669759563838,"RAB11A"
"18","chr8q24","1/239",0.285979855862984,0.316082998585404,0.17404535932874,0.192365923468607,-1.5535348828035,1.94476763840952,"NDRG1"
"19","chr11q12","1/230",0.276811882089635,0.316082998585404,0.168080340972424,0.192365923468607,-1.35443377319682,1.73965793911545,"CTNND1"
"20","chr21q22","1/307",0.351716887144173,0.369302731501382,0.217803882103937,0.228694076209134,-1.53300207944825,1.6018779081331,"CSTB"
"21","chr11q13","1/364",0.402287307001622,0.402287307001622,0.252758271735702,0.252758271735702,-1.32519488841714,1.20670755907231,"CAPN1"
