"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","EP300_HeLa-S3_hg19","13/1770",2.0566440454279e-07,0.000147050049248095,8.31286515667518e-09,5.94369858702275e-06,-1.74549321891169,26.8753941773082,"CAST;SERPINB1;ANXA1;ANXA2;HSPB1;NDRG1;FAM129B;ABLIM1;S100A16;PERP;BHLHE40;S100A9;S100A11"
"2","STAT3_HeLa-S3_hg19","13/1974",7.31045334055391e-07,0.000261348706924802,3.044695244605e-08,1.08847854994629e-05,-1.70309999230778,24.0627427579099,"SERPINB1;ANXA1;CTNND1;HSPB1;DHCR24;NDRG1;RAB11A;FAM129B;ABLIM1;PERP;BHLHE40;S100A9;S100A11"
"3","GATA3_T47D_hg19","9/1102",1.20716198370355e-05,0.00287706939449346,1.33783393401425e-06,0.000318850420940064,-1.84846454558153,20.933220168353,"CAST;LAD1;ANXA2;S100A16;PERP;CTNND1;BHLHE40;TACSTD2;HSPB1"
"4","GATA2_endothelial cell of umbilical vein_hg19","11/2000",4.16085839270576e-05,0.00743753437696154,3.08934150759485e-06,0.000552219794482579,-1.6957795272822,17.1056741453245,"CAST;ABLIM1;ANXA2;PGAM1;BHLHE40;DHCR24;CAPN1;NDRG1;RAB11A;S100A11;FAM129B"
"5","NR2F2_MCF-7_hg19","6/616",0.000175924452155626,0.0190236086573802,4.03408438707961e-05,0.00320485592973547,-1.88430523224798,16.2906777954451,"CSTB;SERPINB1;PERP;TACSTD2;HSPB1;DHCR24"
"6","CEBPB_MCF-7_hg19","8/1173",0.000147882965388257,0.0190236086573802,2.17876483378938e-05,0.00238637412196037,-1.70793494369645,15.0624309090487,"CAST;ANXA1;BHLHE40;HSPB1;DHCR24;S100A9;NDRG1;S100A11"
"7","ZNF217_MCF-7_hg19","9/1562",0.000186245119722603,0.0190236086573802,2.24084385597709e-05,0.00238637412196037,-1.69465198219751,14.5544285696575,"CAST;ANXA2;PERP;BHLHE40;TACSTD2;HSPB1;DHCR24;RAB11A;S100A11"
"8","eGFP-FOS_K562_hg19","10/2000",0.000236204640475067,0.0211107897424592,2.33631032919197e-05,0.00238637412196037,-1.62802565141743,13.5953361592107,"CAST;SPRR3;GRN;SERPINB1;ANXA2;PERP;BHLHE40;CAPN1;NDRG1;FAM129B"
"9","GATA3_MCF-7_hg19","10/2095",0.000345700995193934,0.0274640235070737,3.48622897547502e-05,0.0031158171468308,-1.6294074731015,12.9862738199304,"CAST;LAD1;ANXA2;PERP;BHLHE40;TACSTD2;KRT13;HSPB1;DHCR24;S100A11"
"10","TCF12_SK-N-SH_hg19","6/857",0.00101940357605921,0.06778698668998,0.00024337777540489,0.0145012591178747,-1.86112747148924,12.8204464765251,"ABLIM1;ANXA1;ANXA2;BHLHE40;S100A11;FAM129B"
"11","FOSL2_MCF-7_hg19","4/329",0.00107764083242775,0.06778698668998,0.000400163655560128,0.0204369295518208,-1.81317133612867,12.3893653649,"ANXA1;TACSTD2;HSPB1;FAM129B"
"12","FOXA1_T47D_hg19","6/889",0.00123249066709055,0.06778698668998,0.000296038875915485,0.0162821381753517,-1.75144798325807,11.7324565245682,"GRN;S100A16;PERP;CTNND1;HSPB1;NDRG1"
"13","EP300_ES-Bruce4_mm9","9/2000",0.00116121621594086,0.06778698668998,0.000152894338578996,0.0109319452083982,-1.72057750938984,11.6281572354993,"LAD1;CSTB;SLC9A3R1;GRN;ANXA2;PGAM1;HSPB1;CAPN1;NDRG1"
"14","JUN_endothelial cell of umbilical vein_hg19","6/988",0.00211475190845492,0.100803174303018,0.000517905679844887,0.0246868374059396,-1.78522634294229,10.9948837321172,"ABLIM1;ANXA1;ANXA2;BHLHE40;NDRG1;FAM129B"
"15","ESR1_T47D_hg19","4/425",0.00274795388769682,0.122799189356452,0.00103211731256017,0.0351411370705009,-1.79882678923699,10.6074993281328,"KRT4;BHLHE40;KRT13;HSPB1"
"16","EP300_SK-N-SH_hg19","10/2603",0.00193019838484661,0.0985779889403806,0.000216987627844047,0.0141041958098631,-1.63908536525799,10.2445006973673,"CAST;GRN;ABLIM1;ANXA1;ANXA2;CTNND1;BHLHE40;HSPB1;NDRG1;FAM129B"
"17","JUN_HeLa-S3_hg19","4/506",0.00512004766063179,0.157963940288551,0.00194791560923842,0.0535676792540565,-1.84171434547293,9.71429088962586,"ABLIM1;ANXA1;HSPB1;FAM129B"
"18","HDAC2_HepG2_hg19","3/255",0.00530228610758773,0.157963940288551,0.00252000347393546,0.0643500887094235,-1.79577635728111,9.40918070758668,"PERP;CTNND1;DHCR24"
"19","KAT2A_HeLa-S3_hg19","6/1112",0.00382062161428844,0.157963940288551,0.000959756035631337,0.0351411370705009,-1.67123828040644,9.30435531008422,"ANXA1;ANXA2;BHLHE40;HSPB1;NDRG1;S100A11"
"20","EP300_T47D_hg19","6/1155",0.00460441700159197,0.157963940288551,0.00116714920669476,0.0362831166429024,-1.72576376647213,9.2858847800605,"KRT4;BHLHE40;TACSTD2;HSPB1;S100A9;NDRG1"
"21","GATA3_SK-N-SH_hg19","6/1185",0.00521844693534672,0.157963940288551,0.00133124072251234,0.03965987985818,-1.75300440911586,9.2130118644933,"ABLIM1;ANXA1;ANXA2;BHLHE40;CAPN1;S100A11"
"22","TCF12_myocyte_mm9","6/1223",0.00608133257140064,0.167236645713517,0.00156401876734634,0.0447309367461054,-1.7363161759571,8.85960786734214,"CAST;BHLHE40;HSPB1;CAPN1;NDRG1;FAM129B"
"23","RAD21_HeLa-S3_hg19","8/2000",0.00491858815978513,0.157963940288551,0.000860864100908664,0.0341954351194275,-1.65634339059377,8.80302411800776,"RAB10;ANXA1;ANXA2;S100A16;PERP;CAPN1;S100A9;RAB11A"
"24","TBP_GM12878_hg19","8/2000",0.00491858815978513,0.157963940288551,0.000860864100908664,0.0341954351194275,-1.62814684781358,8.65316700048734,"RAB10;SLC9A3R1;ANXA2;PGAM1;CTNND1;HSPB1;DHCR24;NDRG1"
"25","CEBPB_HCT116_hg19","3/303",0.00852252040159094,0.217628645969197,0.00407168610922062,0.0656446459718123,-1.81523088542239,8.64965351459253,"CAST;ANXA1;HSPB1"
"26","TEAD4_ECC-1_hg19","8/2051",0.00573417969617853,0.163997539310706,0.00101518883500118,0.0351411370705009,-1.63056547395672,8.41585482118961,"DSP;RAB10;SLC9A3R1;GRN;TACSTD2;HSPB1;S100A11;RAB11A"
"27","TFAP2A_HeLa-S3_hg19","8/1995",0.00484379984222158,0.157963940288551,0.000846824781226557,0.0341954351194275,-1.57184011501744,8.37799548228156,"RAB10;CAST;CSTB;ANXA2;S100A16;BHLHE40;S100A9;S100A11"
