"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","neutrophil degranulation (GO:0043312)","10/487",5.92073494858131e-10,6.12796067178166e-07,1.53285533169196e-08,1.58650526830118e-05,-5.24076898399672,111.352664295384,"DSP;RAB10;CSTB;SERPINB1;GRN;ANXA2;PGAM1;CAPN1;S100A9;S100A11"
"2","negative regulation of apoptotic process (GO:0043066)","6/467",3.82077590960176e-05,0.00117146663273987,0.000248676418519737,0.0054761721950623,-5.3713774872061,54.6401867961156,"ANXA1;PERP;HSPB1;DHCR24;NDRG1;FAM129B"
"3","negative regulation of epithelial cell proliferation (GO:0050680)","5/302",5.61234820090731e-05,0.00135087915998583,0.000282673692974316,0.00609515150475868,-4.60806183114179,45.1035076414145,"SLC9A3R1;KRT4;BHLHE40;S100A11;FAM129B"
"4","negative regulation of canonical Wnt signaling pathway involved in controlling type B pancreatic cell proliferation (GO:2000080)","5/413",0.000243387851111636,0.00493934168432437,0.00115104454058436,0.0207894657855266,-5.20036524754208,43.271481489563,"SLC9A3R1;BHLHE40;CTNND1;S100A11;FAM129B"
"5","keratinocyte differentiation (GO:0030216)","4/80",4.51676405860118e-06,0.00117146663273987,2.00673770812888e-05,0.00389507941100545,-2.86711018394242,35.2875742627919,"DSP;SPRR3;ANXA1;DHCR24"
"6","negative regulation of cell proliferation involved in kidney development (GO:1901723)","4/283",0.000614791250372912,0.00828616746680246,0.00219851012025696,0.027709735818198,-4.37563113931876,32.3544133169178,"SLC9A3R1;BHLHE40;S100A11;FAM129B"
"7","negative regulation of fibroblast proliferation (GO:0048147)","4/294",0.00070913632603201,0.00863477761697801,0.00252032489293016,0.0289837362686968,-4.45470683057017,32.3031407358337,"SLC9A3R1;BHLHE40;S100A11;FAM129B"
"8","negative regulation of skeletal muscle cell proliferation (GO:0014859)","4/282",0.000606684108266791,0.00828616746680246,0.00217075111313767,0.027709735818198,-4.35983311026805,32.2954738664123,"SLC9A3R1;BHLHE40;S100A11;FAM129B"
"9","negative regulation of synoviocyte proliferation (GO:1901646)","4/282",0.000606684108266791,0.00828616746680246,0.00217075111313767,0.027709735818198,-4.35972806903532,32.2946957732375,"SLC9A3R1;BHLHE40;S100A11;FAM129B"
"10","negative regulation of myoblast proliferation (GO:2000818)","4/285",0.000631236616458731,0.00828616746680246,0.00225476638377679,0.027709735818198,-4.38060378964784,32.2755430524584,"SLC9A3R1;BHLHE40;S100A11;FAM129B"
"11","negative regulation of smooth muscle cell proliferation (GO:0048662)","4/303",0.000793636893532407,0.00944154235409242,0.00280679144801198,0.0315764037901348,-4.5207898086659,32.2733963572555,"SLC9A3R1;BHLHE40;S100A11;FAM129B"
"12","negative regulation of trophectodermal cell proliferation (GO:1904074)","4/284",0.00062297528073859,0.00828616746680246,0.00222651483220273,0.027709735818198,-4.37062146657814,32.2595732936964,"SLC9A3R1;BHLHE40;S100A11;FAM129B"
"13","negative regulation of leukocyte proliferation (GO:0070664)","4/283",0.000614791250372912,0.00828616746680246,0.00219851012025696,0.027709735818198,-4.36273185156734,32.2590330451091,"SLC9A3R1;BHLHE40;S100A11;FAM129B"
"14","negative regulation of hemocyte proliferation (GO:0035207)","4/283",0.000614791250372912,0.00828616746680246,0.00219851012025696,0.027709735818198,-4.36245426759757,32.256980526009,"SLC9A3R1;BHLHE40;S100A11;FAM129B"
"15","negative regulation of sebum secreting cell proliferation (GO:1904003)","4/282",0.000606684108266791,0.00828616746680246,0.00217075111313767,0.027709735818198,-4.35460233206371,32.2567268647435,"SLC9A3R1;BHLHE40;S100A11;FAM129B"
