"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","azurophil granule lumen (GO:0035578)","7/202",9.55732074780362e-09,2.05482396077778e-06,6.27874921604355e-07,0.000134993108144936,-2.63349671520749,48.6300408044853,"CSTB;SERPINB1;GRN;ANXA2;PGAM1;S100A9;S100A11"
"2","secretory granule lumen (GO:0034774)","5/115",5.09215122019761e-07,2.85757462121263e-05,1.1567912371773e-05,0.000647490205885512,-2.36082499917097,34.2092874086045,"CSTB;SERPINB1;PGAM1;S100A9;S100A11"
"3","dense core granule lumen (GO:0098898)","5/116",5.31641789993047e-07,2.85757462121263e-05,1.20463294118235e-05,0.000647490205885512,-2.36527590173955,34.1718408410523,"CSTB;SERPINB1;PGAM1;S100A9;S100A11"
"4","chromaffin granule lumen (GO:0034466)","5/115",5.09215122019761e-07,2.85757462121263e-05,1.1567912371773e-05,0.000647490205885512,-2.33658760898644,33.8580780444424,"CSTB;SERPINB1;PGAM1;S100A9;S100A11"
"5","platelet dense granule lumen (GO:0031089)","5/129",9.00993975242827e-07,3.87427409354415e-05,1.97949904356828e-05,0.000851184588734358,-2.3921382158163,33.2980072325193,"CSTB;SERPINB1;PGAM1;S100A9;S100A11"
"6","specific granule lumen (GO:0035580)","5/180",4.64067030821614e-06,0.000154512456471457,9.30701261288992e-05,0.00308511332125725,-2.57019711011337,31.563695610355,"CSTB;SERPINB1;PGAM1;S100A9;S100A11"
"7","platelet alpha granule lumen (GO:0031093)","5/183",5.03063811767534e-06,0.000154512456471457,0.000100445549994422,0.00308511332125725,-2.57778630213242,31.4488993627377,"CSTB;SERPINB1;PGAM1;S100A9;S100A11"
"8","intermediate filament cytoskeleton (GO:0045111)","4/156",6.30206322404501e-05,0.00150549288129964,0.000699585117169404,0.0167123111323802,-2.38181081009269,23.0369894093926,"KRT4;KRT13;HSPB1;S100A9"
"9","actin cytoskeleton (GO:0015629)","4/278",0.00057501609275043,0.0103023716617785,0.00557185951241875,0.0704676350100019,-2.86037182823821,21.3415560886034,"SLC9A3R1;ABLIM1;HSPB1;S100A9"
"10","keratin filament (GO:0045095)","3/38",2.00610331964703e-05,0.000539140267155139,0.000154566744187099,0.00415398125002829,-1.88090807185551,20.3452771595608,"DSP;KRT4;KRT13"
"11","perinuclear theca (GO:0033011)","4/450",0.00337460129587915,0.0315451860266964,0.0281080512087045,0.177742088525631,-3.27167453430197,18.6206639498436,"SLC9A3R1;HSPB1;S100A9;NDRG1"
"12","intermediate filament (GO:0005882)","3/68",0.000115873741767847,0.00249128544800872,0.000787916726137568,0.0169402096119577,-2.00791971407046,18.1977952283421,"DSP;KRT4;KRT13"
"13","focal adhesion (GO:0005925)","4/356",0.00144156234645468,0.0172186613604309,0.0130095181014441,0.127138472355022,-2.76985756592415,18.1204851726264,"RAB10;ANXA1;HSPB1;CAPN1"
"14","recycling endosome membrane (GO:0055038)","3/113",0.00051901663189466,0.010144415987032,0.00323935955718668,0.0503883672771334,-2.17297769611326,16.4354789722963,"RAB10;NDRG1;RAB11A"
"15","ficolin-1-rich granule lumen (GO:1904813)","3/123",0.000664583019902719,0.0107276140507408,0.00409071328337725,0.0549689597453818,-2.16677117824478,15.8528579387544,"CSTB;PGAM1;CAPN1"
"16","microtubule cytoskeleton (GO:0015630)","3/239",0.00442761823305159,0.0396640800044205,0.0241311547135242,0.160805171070375,-2.47199199006553,13.3979332804879,"HSPB1;S100A9;NDRG1"
"17","cytoplasmic vesicle membrane (GO:0030659)","2/48",0.0020487896590421,0.0209757036520977,0.00741143517191815,0.0796729280981201,-1.87960479585886,11.6357048987472,"RAB10;RAB11A"
"18","organellar chromatophore membrane (GO:0070112)","2/48",0.0020487896590421,0.0209757036520977,0.00741143517191815,0.0796729280981201,-1.8504785493464,11.4553986929034,"RAB10;RAB11A"
"19","Cvt vesicle membrane (GO:0033110)","2/48",0.0020487896590421,0.0209757036520977,0.00741143517191815,0.0796729280981201,-1.81476777565578,11.2343309315923,"RAB10;RAB11A"
"20","neurofilament (GO:0005883)","2/33",0.000971528754970385,0.0122869813128608,0.00368582537668204,0.0528301637324426,-1.43652840509404,9.96467995210523,"DSP;KRT4"
"21","type III intermediate filament (GO:0045098)","2/29",0.000749637079149664,0.0107447981344785,0.00289872715666927,0.0503883672771334,-1.3740771643588,9.88775122144158,"DSP;KRT4"
"22","lamin filament (GO:0005638)","2/31",0.000857089708130712,0.0115171429530064,0.00328110298548776,0.0503883672771334,-1.37617580772704,9.71850947238484,"DSP;KRT4"
"23","glial filament (GO:0097426)","2/28",0.000698542310280795,0.0107276140507408,0.0027159888208255,0.0503883672771334,-1.32669213196922,9.64042802266988,"DSP;KRT4"
"24","multivesicular body membrane (GO:0032585)","2/53",0.00249207457660062,0.0243543651804152,0.00891413633549518,0.091263776768165,-1.53625558111754,9.20929877595266,"ANXA2;RAB11A"
"25","apical recycling endosome (GO:0090653)","2/78",0.00531490091725008,0.0408108463288845,0.0182390302040313,0.143966361922466,-1.62969747372588,8.53511827944051,"RAB10;RAB11A"
"26","basolateral recycling endosome (GO:0090654)","2/78",0.00531490091725008,0.0408108463288845,0.0182390302040313,0.143966361922466,-1.60212729144743,8.39072659293052,"RAB10;RAB11A"
"27","recycling endosome (GO:0055037)","2/78",0.00531490091725008,0.0408108463288845,0.0182390302040313,0.143966361922466,-1.5850667041811,8.30137618735989,"RAB10;RAB11A"
"28","recycling endosome lumen (GO:0034777)","2/92",0.00731978481956003,0.0542673702139795,0.024681723931732,0.160805171070375,-1.68722540126638,8.29638146185433,"RAB10;RAB11A"
"29","peri-centrosomal recycling endosome (GO:0098832)","2/78",0.00531490091725008,0.0408108463288845,0.0182390302040313,0.143966361922466,-1.56712936898903,8.2074340416853,"RAB10;RAB11A"
"30","cortical cytoskeleton (GO:0030863)","2/122",0.0125777392865377,0.0693388191437337,0.0410908063015846,0.205525504592566,-1.8159598894418,7.94632586262021,"HSPB1;S100A9"
"31","spectrin-associated cytoskeleton (GO:0014731)","2/120",0.0121879945985046,0.0689583904915391,0.0398948863356586,0.205525504592566,-1.76458996815306,7.77708417979379,"HSPB1;S100A9"
"32","septin cytoskeleton (GO:0032156)","2/113",0.0108671260907308,0.0631468137704629,0.0358192835892289,0.202661736096953,-1.7078003486707,7.72269538130953,"HSPB1;S100A9"
"33","cytoskeleton (GO:0005856)","2/113",0.0108671260907308,0.0631468137704629,0.0358192835892289,0.202661736096953,-1.68998439052377,7.64213138692809,"HSPB1;S100A9"
"34","trans-Golgi network (GO:0005802)","2/109",0.0101429185822695,0.0623064998625125,0.0335692381916299,0.200482950311123,-1.60427549727327,7.36519591007876,"RAB10;RAB11A"
"35","actin filament bundle (GO:0032432)","2/183",0.0269315718967288,0.114295937547186,0.0834195843636149,0.311291260709698,-1.8699210824276,6.75874748364055,"SLC9A3R1;ABLIM1"
"36","dynactin complex (GO:0005869)","2/182",0.0266600371800026,0.114295937547186,0.0826454982643253,0.311291260709698,-1.86242746705614,6.75053517129117,"SLC9A3R1;ABLIM1"
"37","actin fusion focus (GO:1990819)","2/179",0.0258522701527833,0.114295937547186,0.0803373233072468,0.311291260709698,-1.82469384626512,6.66990717137387,"SLC9A3R1;ABLIM1"
"38","actomyosin (GO:0042641)","2/185",0.0274780390854541,0.114295937547186,0.084974701538663,0.311291260709698,-1.85481918738945,6.66690305206808,"SLC9A3R1;ABLIM1"
"39","actin body (GO:0099079)","2/179",0.0258522701527833,0.114295937547186,0.0803373233072468,0.311291260709698,-1.80934979391133,6.61381918431678,"SLC9A3R1;ABLIM1"
"40","striated muscle thin filament (GO:0005865)","2/180",0.0261203828316953,0.114295937547186,0.0811043515433896,0.311291260709698,-1.80604315574139,6.58309831273892,"SLC9A3R1;ABLIM1"
"41","cortical actin cytoskeleton (GO:0030864)","2/213",0.0355894598741894,0.141698775425013,0.107650908322193,0.345250901580673,-1.90876395793805,6.36707492117046,"SLC9A3R1;ABLIM1"
"42","actin filament (GO:0005884)","2/211",0.0349823579448713,0.141698775425013,0.105978865909961,0.34523418440366,-1.87095754213465,6.27315487809655,"SLC9A3R1;ABLIM1"
"43","cytoplasmic periphery of the nuclear pore complex (GO:1990723)","2/347",0.0844524693964192,0.235808843119872,0.231617440233595,0.520330696005468,-2.06805370551569,5.11133204207777,"SLC9A3R1;NDRG1"
"44","perinuclear region of cytoplasm (GO:0048471)","2/347",0.0844524693964192,0.235808843119872,0.231617440233595,0.520330696005468,-2.03369031169128,5.02640063267539,"SLC9A3R1;NDRG1"
"45","perinuclear endoplasmic reticulum (GO:0097038)","2/355",0.0878024550760603,0.237160889083967,0.239463953590398,0.520330696005468,-2.01315311496295,4.8973287663322,"SLC9A3R1;NDRG1"
"46","lysosomal membrane (GO:0005765)","2/347",0.0844524693964192,0.235808843119872,0.231617440233595,0.520330696005468,-1.9244391278704,4.7563790781049,"GRN;ANXA2"
"47","mutator focus (GO:1990633)","2/369",0.0937612817308709,0.237160889083967,0.253241902232473,0.520330696005468,-1.91442507492095,4.53145043722136,"SLC9A3R1;NDRG1"
"48","centrosomal corona (GO:0031592)","2/401",0.107810524950538,0.257547365159618,0.284857516111526,0.520330696005468,-1.91004832478492,4.25440342089613,"NDRG1;RAB11A"
"49","pericentriolar material (GO:0000242)","2/406",0.110056030141062,0.260022488794816,0.289801915804236,0.520330696005468,-1.9274760754345,4.25348804834489,"NDRG1;RAB11A"
"50","centriolar satellite (GO:0034451)","2/411",0.112314352296416,0.262473758084016,0.294745224267675,0.520330696005468,-1.91368673960613,4.18418730362551,"NDRG1;RAB11A"
"51","spindle pole centrosome (GO:0031616)","2/431",0.121470418359397,0.27783127603479,0.314492312421184,0.53305217272508,-1.9279207160123,4.06421980976774,"NDRG1;RAB11A"
