"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","V$CHOP_01","4/243",0.000346071082661999,0.0679344331662068,0.000760250143083126,0.146802589399655,-1.71464601024564,13.6637849151335,"CAST;ABLIM1;CTNND1;S100A9"
"2","V$ETS2_B","4/283",0.000614791250372912,0.0679344331662068,0.00132853022081136,0.146802589399655,-1.76754460289005,13.0696274016588,"CAST;SLC9A3R1;S100A9;RAB11A"
"3","GGGYGTGNY_UNKNOWN","5/693",0.00249477500497085,0.13783631902464,0.00583726911716821,0.257554394915452,-1.81367563603823,10.8703678184283,"RAB10;CAST;ANXA2;PERP;NDRG1"
"4","GGGTGGRR_V$PAX4_03","7/1321",0.00186798365028256,0.137608128904148,0.00548348452908836,0.257554394915452,-1.52633218958735,9.58978593812119,"RAB10;CAST;S100A16;CTNND1;KRT13;DHCR24;RAB11A"
"5","V$LEF1_Q2","3/235",0.00422383181739677,0.155577805274114,0.00755913917609187,0.257554394915452,-1.68154644672835,9.19303552654189,"CTNND1;TACSTD2;DHCR24"
"6","RYAAAKNNNNNNTTGW_UNKNOWN","2/87",0.00656988652842453,0.161327213642424,0.0101011948335108,0.257554394915452,-1.79820956965354,9.03646831633826,"ABLIM1;ANXA2"
"7","RYTTCCTG_V$ETS2_B","6/1128",0.00409950818393667,0.155577805274114,0.0104886405169189,0.257554394915452,-1.62116835539378,8.91138131257572,"RAB10;CAST;SLC9A3R1;DHCR24;S100A9;RAB11A"
"8","AAAYWAACM_V$HFH4_01","3/264",0.00583696385365219,0.161246126457142,0.0103470539877908,0.257554394915452,-1.72999597356704,8.89831128421163,"CAST;TACSTD2;NDRG1"
"9","V$PAX4_03","3/260",0.00559548477303671,0.161246126457142,0.00993147641033768,0.257554394915452,-1.67346572645637,8.67825069394348,"RAB10;KRT13;RAB11A"
"10","GATAAGR_V$GATA_C","3/304",0.00859945469288506,0.19004794871276,0.015064856007969,0.332933317776116,-1.68671201872617,8.02209763589597,"SLC9A3R1;CTNND1;CAPN1"
