"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain_Homo sapiens_R-HSA-6803205","2/14",0.000170218831858865,0.0103833487433908,0.000307791966501327,0.0187753099565809,-1.76635882483525,15.3292138252465,"PERP;NDRG1"
"2","Smooth Muscle Contraction_Homo sapiens_R-HSA-445355","2/33",0.000971528754970385,0.0296316270265967,0.00149843443436217,0.0457022502480461,-1.92339739386681,13.3419147039709,"ANXA1;ANXA2"
"3","TP53 Regulates Transcription of Cell Death Genes_Homo sapiens_R-HSA-5633008","2/43",0.00164722590677192,0.0334935934376958,0.00246928581591413,0.0502088115902539,-1.97151751986024,12.6347907418699,"PERP;NDRG1"
"4","Translocation of GLUT4 to the plasma membrane_Homo sapiens_R-HSA-1445148","2/60",0.00318169975921299,0.048520921327998,0.00463999682679999,0.0707599516086998,-1.98994611503948,11.4428661651102,"RAB10;RAB11A"
"5","Degradation of the extracellular matrix_Homo sapiens_R-HSA-1474228","2/106",0.00961455039955712,0.113330016645562,0.0135640648775321,0.151755280186866,-1.94951434483975,9.05447582509186,"CAST;CAPN1"
"6","Apoptotic cleavage of cell adhesion  proteins_Homo sapiens_R-HSA-351906","1/11",0.0152964492547282,0.131684717964734,0.0198559398241113,0.167832026960017,-1.80342211420308,7.53854709209143,"DSP"
"7","Muscle contraction_Homo sapiens_R-HSA-397014","2/196",0.0305634404966552,0.161274499298462,0.0419986016147569,0.204811497684999,-2.01952475414027,7.04400285928633,"ANXA1;ANXA2"
"8","Dissolution of Fibrin Clot_Homo sapiens_R-HSA-75205","1/13",0.0180532732441747,0.131684717964734,0.0231292673717379,0.167832026960017,-1.75023484028549,7.02619221756404,"ANXA2"
"9","Glycolysis_Homo sapiens_R-HSA-70171","1/32",0.0438745919328984,0.167271881744175,0.0537210485731144,0.204811497684999,-2.13145582776398,6.66382591144615,"PGAM1"
"10","VxPx cargo-targeting to cilium_Homo sapiens_R-HSA-5620916","1/21",0.0290063301418399,0.161274499298462,0.0361208204424084,0.204811497684999,-1.8300345132404,6.47876356666941,"RAB11A"
"11","VEGFR2 mediated vascular permeability_Homo sapiens_R-HSA-5218920","1/27",0.0371437110140957,0.167271881744175,0.045758463270312,0.204811497684999,-1.96388117887692,6.46698375448471,"CTNND1"
"12","Cholesterol biosynthesis_Homo sapiens_R-HSA-191273","1/23",0.0317261310095335,0.161274499298462,0.0393434165907033,0.204811497684999,-1.76408339270826,6.08717193801359,"DHCR24"
