"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","CEBPB (human)","7/1420",0.00282169929606154,0.348680987888993,0.000412567439848045,0.046207553262981,-1.74308867329844,10.2326556166844,"SPRR3;SLC9A3R1;BHLHE40;TACSTD2;KRT13;DHCR24;NDRG1"
"2","Hand1::Tcfe2a (mouse)","2/110",0.0103218659672895,0.578024494168214,0.00563471238129136,0.215189708129213,-2.10314779047636,9.6187269119735,"CAST;KRT13"
"3","USF2 (human)","12/3792",0.00311322310615172,0.348680987888993,0.00014629798250796,0.032770748081783,-1.56489581342645,9.03272999324866,"CAST;RAB10;CSTB;SERPINB1;BHLHE40;KRT13;HSPB1;DHCR24;NDRG1;S100A9;RAB11A;FAM129B"
"4","Stat3 (mouse)","7/1762",0.00923101083047054,0.578024494168214,0.00147522032746973,0.110149784451073,-1.65038448768855,7.73235948577291,"SLC9A3R1;LAD1;GRN;ABLIM1;ANXA2;S100A9;FAM129B"
"5","MAX (human)","7/1934",0.0150232415184211,0.673041220025266,0.00251399569428838,0.140783758880149,-1.70877429986366,7.17370251918174,"CAST;SERPINB1;S100A16;PGAM1;BHLHE40;KRT13;CAPN1"
"6","SP3 (human)","5/1332",0.035472675037125,0.787044527825688,0.00979990358642835,0.215189708129213,-1.69834968327011,5.67077701811136,"CSTB;SLC9A3R1;PGAM1;BHLHE40;FAM129B"
"7","CPEB1 (human)","1/47",0.0637961117140517,0.8091184065616,0.0470721890520328,0.320325387751588,-2.0138647330213,5.5422826900626,"FAM129B"
"8","NKX3-1 (human)","2/264",0.0523962492218384,0.787044527825688,0.0290614167852655,0.300228226099773,-1.86004775748069,5.48513253511545,"HSPB1;DHCR24"
"9","TEAD4 (human)","5/1354",0.0376916544194606,0.787044527825688,0.010473217427606,0.215189708129213,-1.64940199240746,5.40726189420543,"DSP;CSTB;SLC9A3R1;BHLHE40;FAM129B"
"10","KLF11 (human)","5/1388",0.0412900051024399,0.787044527825688,0.0115760886901445,0.215189708129213,-1.66254844298257,5.29876602509914,"CSTB;S100A16;BHLHE40;CAPN1;FAM129B"
"11","FOS (human)","5/1394",0.0419464853183934,0.787044527825688,0.0117787288957222,0.215189708129213,-1.66904381785323,5.29313985738243,"SPRR3;SLC9A3R1;ABLIM1;TACSTD2;KRT13"
"12","REPIN1 (human)","5/1466",0.0503328922237866,0.787044527825688,0.0144047082378017,0.215189708129213,-1.6123603066661,4.81950054075159,"SLC9A3R1;LAD1;PGAM1;CAPN1;FAM129B"
"13","KLF13 (human)","5/1453",0.0487488010657616,0.787044527825688,0.0139035156074559,0.215189708129213,-1.58811569698695,4.79781611371461,"CAST;CSTB;S100A16;BHLHE40;KRT13"
"14","JUN (human)","8/2976",0.0465175510218233,0.787044527825688,0.00737963313436548,0.215189708129213,-1.50580327144188,4.61969239940719,"SPRR3;ABLIM1;S100A16;BHLHE40;TACSTD2;KRT13;HSPB1;NDRG1"
"15","PITX2 (human)","9/3528",0.0458580220509988,0.787044527825688,0.00599323752394463,0.215189708129213,-1.47938452859129,4.5597665871716,"DSP;RAB10;SPRR3;CTNND1;TACSTD2;HSPB1;CAPN1;RAB11A;FAM129B"
"16","KLF4 (human)","5/1485",0.0527038746311845,0.787044527825688,0.0151592345209658,0.215189708129213,-1.54254775706742,4.53982032571029,"CSTB;S100A16;BHLHE40;CAPN1;FAM129B"
"17","REL (human)","2/353",0.086961126861217,0.8091184065616,0.0490687966335352,0.320325387751588,-1.76059944239171,4.29990159165005,"ANXA2;KRT13"
"18","MIR210 (human)","1/70",0.0935671653427092,0.8091184065616,0.0688632668941127,0.358729576378634,-1.7217481986561,4.07895191307103,"CAST"
"19","SPI1 (mouse)","5/1680",0.0808920345798201,0.8091184065616,0.0245034006922665,0.300228226099773,-1.46462365548725,3.68300111163255,"LAD1;GRN;ANXA1;CTNND1;S100A9"
