"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","mmu-miR-300","7/1999",0.0177866924538182,0.850527293700759,0.0337554207677444,0.965721723903668,-3.64239563424836,14.6763219074946,"CAST;RAB10;ABLIM1;BHLHE40;CTNND1;DHCR24;RAB11A"
"2","hsa-miR-503","7/1875",0.0127994425373887,0.748056308296271,0.0247447200430597,0.965721723903668,-3.19966893637721,13.9452888221164,"CAST;RAB10;ABLIM1;PERP;CTNND1;DHCR24;RAB11A"
"3","hsa-miR-3146","7/1682",0.00719756224853074,0.630986290454528,0.014326846294674,0.965721723903668,-2.80596892293188,13.8446868259393,"RAB10;DSP;ABLIM1;PERP;CTNND1;NDRG1;RAB11A"
"4","mmu-miR-1251","7/1868",0.0125527199047038,0.748056308296271,0.024293240037453,0.965721723903668,-3.15235569477919,13.8004392237444,"SLC9A3R1;SPRR3;ABLIM1;ANXA2;PERP;CTNND1;NDRG1"
"5","mmu-miR-669a-3-3p","7/1617",0.00581142073062853,0.630986290454528,0.0116834157132105,0.965721723903668,-2.63395733379497,13.5594285201205,"CAST;DSP;LAD1;SPRR3;ABLIM1;PERP;RAB11A"
"6","mmu-miR-669o-3p","7/1617",0.00581142073062853,0.630986290454528,0.0116834157132105,0.965721723903668,-2.62621727793235,13.5195832527487,"CAST;DSP;LAD1;SPRR3;ABLIM1;PERP;RAB11A"
"7","mmu-miR-5116","7/1637",0.00621411807608268,0.630986290454528,0.0124547116016179,0.965721723903668,-2.65807033659412,13.5054732135554,"CAST;RAB10;GRN;S100A16;PERP;CTNND1;RAB11A"
"8","mmu-miR-669a-3p","7/1617",0.00581142073062853,0.630986290454528,0.0116834157132105,0.965721723903668,-2.62017857649364,13.488496439207,"CAST;DSP;LAD1;SPRR3;ABLIM1;PERP;RAB11A"
"9","mmu-miR-5099","6/702",0.000355964336857787,0.187237241187196,0.000726172433010972,0.381966699763771,-1.53380126545202,12.1794250471147,"CAST;LAD1;S100A16;PERP;DHCR24;RAB11A"
"10","mmu-miR-151-3p","6/1505",0.0161028520112852,0.847010015793603,0.0287290007597536,0.965721723903668,-2.61818478568062,10.8098536810602,"DSP;ANXA1;PERP;S100A9;NDRG1;RAB11A"
"11","hsa-miR-4460","6/1601",0.0212692914787125,0.885572504315577,0.0374076188156944,0.965721723903668,-2.73660189847549,10.5372608743504,"RAB10;ABLIM1;PERP;CTNND1;CAPN1;S100A9"
"12","hsa-miR-21","6/1900",0.0444628323958482,0.885572504315577,0.0748601599541621,0.965721723903668,-3.19231669416811,9.93800641858657,"CAST;CSTB;ANXA1;PGAM1;PERP;RAB11A"
"13","hsa-miR-590-5p","6/1900",0.0444628323958482,0.885572504315577,0.0748601599541621,0.965721723903668,-3.18403547223822,9.91222613280122,"CAST;CSTB;ANXA1;PGAM1;PERP;RAB11A"
"14","mmu-miR-1194","6/1953",0.0498085104803266,0.885572504315577,0.0832239399626463,0.965721723903668,-3.30212959093452,9.90496692986701,"CAST;RAB10;LAD1;ABLIM1;NDRG1;RAB11A"
"15","mmu-miR-376c","6/1975",0.052142976807047,0.885572504315577,0.0868502322130225,0.965721723903668,-3.2821247329085,9.69462772020736,"DSP;ABLIM1;KRT4;PGAM1;BHLHE40;RAB11A"
"16","mmu-miR-503","6/1691",0.0270665081807658,0.885572504315577,0.0469761745727337,0.965721723903668,-2.6781575067214,9.66669750895722,"CAST;RAB10;ABLIM1;BHLHE40;DHCR24;CAPN1"
"17","hsa-miR-4327","6/2000",0.0548788857188046,0.885572504315577,0.0910808098670807,0.965721723903668,-3.24214986019774,9.41075042451527,"CAST;ABLIM1;KRT4;CTNND1;NDRG1;RAB11A"
"18","hsa-miR-4281","6/1918",0.0462345271315799,0.885572504315577,0.0776416459973032,0.965721723903668,-3.03783468316332,9.33839014979874,"SLC9A3R1;GRN;ABLIM1;PGAM1;PERP;CTNND1"
"19","mmu-miR-2183","5/1335",0.0357702407171735,0.885572504315577,0.0572920009056842,0.965721723903668,-2.23355383361616,7.43916149824486,"SLC9A3R1;ABLIM1;PGAM1;PERP;FAM129B"
"20","mmu-miR-5130","5/1198",0.0237558317660094,0.885572504315577,0.0388210474440167,0.965721723903668,-1.94431511347879,7.27159703776833,"GRN;ABLIM1;CAPN1;NDRG1;FAM129B"
"21","mmu-miR-3072","5/1616",0.0708655101492019,0.885572504315577,0.109065653067253,0.965721723903668,-2.61189561691553,6.91361305391946,"PGAM1;PERP;BHLHE40;DHCR24;RAB11A"
"22","mmu-miR-344f-3p","5/1505",0.0552714092287851,0.885572504315577,0.086400293185961,0.965721723903668,-2.38124841812283,6.89490364283719,"ABLIM1;PERP;CTNND1;DHCR24;NDRG1"
"23","hsa-miR-4661-3p","5/1578",0.0652701840520063,0.885572504315577,0.100988520917572,0.965721723903668,-2.47506842845915,6.75500612386082,"RAB10;CSTB;BHLHE40;NDRG1;RAB11A"
"24","hsa-miR-4727-3p","5/1588",0.0667167185911424,0.885572504315577,0.103082385704444,0.965721723903668,-2.45098846989799,6.63556035888709,"RAB10;ABLIM1;KRT4;PERP;S100A9"
"25","mmu-miR-5117","5/1789",0.099689353479768,0.885572504315577,0.14981072447265,0.965721723903668,-2.85416264308046,6.58083251197179,"CAST;SLC9A3R1;ABLIM1;CTNND1;NDRG1"
"26","mmu-miR-3061-5p","5/1796",0.100969464289242,0.885572504315577,0.151589580183191,0.965721723903668,-2.8577032304685,6.55253387687675,"GRN;DHCR24;CAPN1;NDRG1;FAM129B"
"27","hsa-miR-4640-3p","5/1809",0.10336982315943,0.885572504315577,0.154918593587361,0.965721723903668,-2.8736776911517,6.5216454363164,"GRN;ABLIM1;BHLHE40;NDRG1;FAM129B"
"28","mmu-miR-653","5/1720",0.0875402587778063,0.885572504315577,0.132803228339763,0.965721723903668,-2.67429605392934,6.51366654291483,"ABLIM1;KRT4;PERP;BHLHE40;RAB11A"
"29","mmu-miR-1905","5/1599",0.0683292957045065,0.885572504315577,0.10541185836385,0.965721723903668,-2.4156955577916,6.48231774756163,"CAST;RAB10;ABLIM1;PERP;NDRG1"
"30","hsa-miR-3681","5/1673",0.0797586754297766,0.885572504315577,0.121785273319259,0.965721723903668,-2.55757260531068,6.46746111292357,"CAST;RAB10;KRT4;PERP;RAB11A"
"31","hsa-miR-190","5/1779",0.0978757275720686,0.885572504315577,0.147286284360986,0.965721723903668,-2.7782928684185,6.4569101304397,"CAST;RAB10;ABLIM1;PGAM1;PERP"
"32","hsa-miR-190b","5/1779",0.0978757275720686,0.885572504315577,0.147286284360986,0.965721723903668,-2.77119462515949,6.44041341069917,"CAST;RAB10;ABLIM1;PGAM1;PERP"
"33","mmu-miR-139-3p","5/1894",0.119790480659749,0.885572504315577,0.177471264747999,0.965721723903668,-2.98656722429312,6.33752867160884,"RAB10;LAD1;SPRR3;GRN;ABLIM1"
"34","mmu-miR-880","5/1882",0.117396965637364,0.885572504315577,0.17420723630069,0.965721723903668,-2.86438852093401,6.13607652845795,"RAB10;LAD1;ABLIM1;CTNND1;RAB11A"
"35","mmu-miR-3087","5/1881",0.117198609764234,0.885572504315577,0.17393639046721,0.965721723903668,-2.85564523762458,6.12217574412512,"RAB10;SPRR3;ABLIM1;CTNND1;RAB11A"
"36","hsa-miR-648","5/1888",0.118590670673053,0.885572504315577,0.175836056731725,0.965721723903668,-2.86941475732121,6.11781452067096,"CTNND1;DHCR24;RAB11A;S100A11;FAM129B"
"37","hsa-miR-1284","5/1931",0.127322954022715,0.885572504315577,0.187693382312967,0.965721723903668,-2.95257503886516,6.08534123049214,"CAST;RAB10;ABLIM1;PERP;RAB11A"
"38","mmu-miR-344b","5/1909",0.122816579529021,0.885572504315577,0.181586925411531,0.965721723903668,-2.87748919505337,6.03427687179526,"CAST;DSP;CSTB;ABLIM1;PERP"
"39","mmu-miR-672","5/1812",0.103927987051616,0.885572504315577,0.155691486294973,0.965721723903668,-2.62547962920409,5.94423566906331,"ABLIM1;S100A16;PGAM1;CTNND1;DHCR24"
"40","mmu-miR-133a","5/1928",0.126703712574156,0.885572504315577,0.186855842311335,0.965721723903668,-2.8629776515807,5.91463666738205,"CAST;PERP;DHCR24;NDRG1;FAM129B"
"41","mmu-miR-133b","5/1928",0.126703712574156,0.885572504315577,0.186855842311335,0.965721723903668,-2.85550989749686,5.8992090051707,"CAST;PERP;DHCR24;NDRG1;FAM129B"
