"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","ATF2","7/237",2.87642886148542e-08,1.03551439013475e-06,2.30366302917714e-05,0.00082931869050377,-1.82836059644098,31.747893273608,"ANXA1;PGAM1;CTNND1;TACSTD2;HSPB1;S100A11;RAB11A"
"2","RAD21","4/237",0.000314747800661584,0.00566546041190852,0.0121355032448366,0.218439058407059,-1.77284555686249,14.2957636320532,"CSTB;SERPINB1;CAPN1;S100A9"
"3","CTNNB1","4/398",0.00216683904878642,0.026002068585437,0.063044430971462,0.331894388393185,-1.87272564713782,11.4882089513412,"SLC9A3R1;CTNND1;NDRG1;RAB11A"
"4","STAT3","3/246",0.00479847677229468,0.0431862909506521,0.0671481498849969,0.331894388393185,-1.80380326777658,9.63132953476905,"BHLHE40;HSPB1;CAPN1"
"5","ESR1","5/871",0.00660557531360915,0.0467250200707803,0.234892223423145,0.499913084951396,-1.74538667204192,8.76156399965671,"RAB10;DSP;SLC9A3R1;ANXA2;HSPB1"
"6","TP53","4/628",0.0108314115137633,0.0505692359178591,0.216357917432561,0.499913084951396,-1.72989263775653,7.82829161762565,"BHLHE40;HSPB1;DHCR24;CAPN1"
"7","SIRT3","2/95",0.00778750334513005,0.0467250200707803,0.0521316560979138,0.331894388393185,-1.3695177508955,6.64933046977075,"GRN;TACSTD2"
"8","YAP1","2/115",0.0112376079817465,0.0505692359178591,0.0725893024134069,0.331894388393185,-1.43063312573297,6.42138143441131,"SLC9A3R1;CTNND1"
"9","MYC","4/957",0.042768808126488,0.128306424379464,0.511697148089272,0.614036577707126,-1.51281640191226,4.76831594587969,"DSP;ANXA2;CTNND1;HSPB1"
"10","ILF3","2/297",0.0645094612449156,0.158281245712682,0.317426151108547,0.544159116186081,-1.42711231257819,3.91163404563496,"NDRG1;RAB11A"
"11","ZBTB33","1/17",0.0235446108682339,0.0941784434729355,0.0666198234830577,0.331894388393185,-0.764402810322219,2.86563783727542,"CTNND1"
"12","TCOF1","1/44",0.0598441029124328,0.158281245712682,0.158648494919308,0.499913084951396,-0.991082319034631,2.79090008292755,"S100A16"
"13","HNF1A","1/52",0.0703472203167475,0.158281245712682,0.184205173248289,0.499913084951396,-0.958529881297927,2.54423737434134,"ANXA2"
"14","STAT2","1/50",0.0677320988799397,0.158281245712682,0.177886530018364,0.499913084951396,-0.944411425742209,2.54253979133825,"HSPB1"
"15","GATA1","1/69",0.092291974702411,0.174869004699305,0.236070067893715,0.499913084951396,-1.04910216176361,2.49979862645011,"HSPB1"
"16","SREBF2","1/62",0.0833170787779401,0.16663415755588,0.215107859723498,0.499913084951396,-0.948835037601454,2.35795158724002,"ABLIM1"
"17","USF2","1/25",0.0344385849273094,0.11270809612574,0.0948461375370143,0.379384550148057,-0.630729238087895,2.12466043879646,"S100A9"
"18","BRF2","1/60",0.0807371457109342,0.16663415755588,0.209018316225504,0.499913084951396,-0.833116783522826,2.096585469991,"HSPB1"
"19","STAT6","1/83",0.109988253874714,0.188551292356652,0.276399218143517,0.52370378174561,-0.932104280852406,2.05750993376832,"ANXA2"
"20","GFI1B","1/80",0.106224427266244,0.188551292356652,0.267932548394412,0.52370378174561,-0.868665546323846,1.94772291707521,"GRN"
"21","HSF1","1/109",0.141974120018353,0.220193349811456,0.345955876932463,0.546512049638959,-0.984177298120221,1.92122282904139,"HSPB1"
"22","CEBPA","1/113",0.146795566540971,0.220193349811456,0.356072038339027,0.546512049638959,-0.994973188248002,1.90906934801902,"PGAM1"
"23","YY1","1/120",0.155170303566697,0.223445237136043,0.373416222644362,0.546512049638959,-1.0225063695779,1.90516662127323,"GRN"
"24","KRT7","1/19",0.026279163165829,0.0946049873969846,0.0737543085318189,0.331894388393185,-0.508800502480292,1.85151430752817,"KRT13"
"25","UPF1","1/98",0.12857928521206,0.210402466710643,0.317346573425409,0.544159116186081,-0.881346435424853,1.80782623346472,"NDRG1"
"26","HIF1A","1/126",0.162285509529851,0.224662384421735,0.387926168536008,0.546512049638959,-0.978891910435819,1.78001518070031,"CAPN1"
"27","CEBPB","1/142",0.180978031895287,0.224662384421735,0.425064927496968,0.546512049638959,-1.00066796094172,1.71052142465123,"BHLHE40"
"28","RXRA","1/139",0.177504099670929,0.224662384421735,0.418269772873738,0.546512049638959,-0.966606404924067,1.67103200962427,"BHLHE40"
"29","SETDB1","1/136",0.174015960928659,0.224662384421735,0.411397837594475,0.546512049638959,-0.900647987827938,1.57488050591425,"BHLHE40"
"30","NANOG","1/160",0.201526394754304,0.241831673705165,0.464268763522594,0.576333637476324,-0.84091073199443,1.34700017077025,"HSPB1"
"31","TCF3","1/248",0.295035705789468,0.33805440673864,0.621884148185951,0.7024103000761,-0.969355153800217,1.18325198934178,"SLC9A3R1"
"32","SP1","1/263",0.309883206177087,0.33805440673864,0.643876108403092,0.7024103000761,-0.962533800336392,1.12766591312219,"ANXA2"
"33","NFKB1","1/254",0.30101130103449,0.33805440673864,0.630832458251024,0.7024103000761,-0.923602028303992,1.10888349446396,"DSP"
"34","POU5F1","1/338",0.379710745675318,0.402046671891513,0.736697234395604,0.780032365830639,-0.849487860466878,0.822597756934756,"ANXA2"
"35","ESR2","1/365",0.403139616802469,0.414657891568254,0.764050932419751,0.785880959060315,-0.798654451741273,0.725555473317454,"LAD1"
"36","EP300","1/473",0.48860574278879,0.48860574278879,0.848656156846973,0.848656156846973,-0.845238086260361,0.605358982064062,"ANXA2"
