"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","hsa-miR-4763-3p","5/283",4.12109468859326e-05,0.0145356997437248,0.00010022390791134,0.0352676836054523,-2.9631939306135,29.9187961417398,"ABLIM1;S100A16;PGAM1;NDRG1;S100A11"
"2","hsa-miR-1207-5p","5/288",4.47941440484585e-05,0.0145356997437248,0.000108683154408174,0.0352676836054523,-2.97926633328719,29.8326842354916,"ABLIM1;S100A16;PGAM1;NDRG1;S100A11"
"3","hsa-miR-34a-5p","5/735",0.00321747191792048,0.09943520355859,0.00687758833646314,0.173292472915069,-5.04885855110447,28.9762037424809,"DSP;SERPINB1;ABLIM1;CAPN1;NDRG1"
"4","hsa-miR-1-3p","5/920",0.00828720387667407,0.135400325418345,0.0170529887403261,0.230570618593159,-6.0355604431255,28.928698653326,"CAST;ANXA2;S100A16;CAPN1;S100A11"
"5","hsa-miR-423-5p","5/343",0.000102367559497476,0.0221455153712874,0.000242758788522434,0.0525168179170198,-3.10316897040414,28.5086293049086,"CSTB;SLC9A3R1;PGAM1;NDRG1;FAM129B"
"6","hsa-miR-4510","4/302",0.000783912448997732,0.0421233112703332,0.00156235372325141,0.07418022850517,-3.06625499647042,21.9274432545277,"SLC9A3R1;S100A16;CAPN1;FAM129B"
"7","hsa-miR-30a-5p","4/733",0.0182032796525025,0.213259508300917,0.0326919091394827,0.34004489803178,-5.46464035019719,21.8921880676244,"RAB10;CAST;ANXA1;CTNND1"
"8","hsa-miR-4419a","4/300",0.00076471770536737,0.0421233112703332,0.00152514900151468,0.07418022850517,-3.03968267219552,21.8127744211548,"SLC9A3R1;S100A16;CAPN1;FAM129B"
"9","hsa-miR-6130","4/300",0.00076471770536737,0.0421233112703332,0.00152514900151468,0.07418022850517,-3.03702473057717,21.7937010219885,"SLC9A3R1;S100A16;CAPN1;FAM129B"
"10","hsa-miR-6129","4/301",0.000774272860030845,0.0421233112703332,0.00154367279902965,0.07418022850517,-3.03620944305256,21.7501481095533,"SLC9A3R1;S100A16;CAPN1;FAM129B"
"11","hsa-miR-6127","4/304",0.000803446615255787,0.0421233112703332,0.00160018982907917,0.07418022850517,-3.04444101625919,21.6965127840065,"SLC9A3R1;S100A16;CAPN1;FAM129B"
"12","hsa-miR-6133","4/304",0.000803446615255787,0.0421233112703332,0.00160018982907917,0.07418022850517,-3.03314230724544,21.6159914064366,"SLC9A3R1;S100A16;CAPN1;FAM129B"
"13","hsa-miR-1321","4/287",0.000647992873519377,0.0421233112703332,0.00129831052766926,0.07418022850517,-2.90088711175312,21.2972423390729,"SLC9A3R1;PGAM1;CAPN1;FAM129B"
"14","hsa-miR-4756-5p","4/286",0.000639575674835567,0.0421233112703332,0.00128191087702202,0.07418022850517,-2.89474140955572,21.2899708831054,"SLC9A3R1;PGAM1;CAPN1;FAM129B"
"15","hsa-miR-4739","4/290",0.000673717491000799,0.0421233112703332,0.00134839460086825,0.07418022850517,-2.89158842869346,21.116401915289,"SLC9A3R1;PGAM1;CAPN1;FAM129B"
"16","hsa-miR-155-5p","4/903",0.0356849798742022,0.286778379362799,0.0620071195534563,0.372998087872793,-5.85638463069006,19.5194787880097,"ANXA2;TACSTD2;DHCR24;S100A11"
"17","hsa-let-7b-5p","4/1214",0.0867931393352387,0.306487833370801,0.142424208470947,0.372998087872793,-6.9675295462533,17.030228720003,"DSP;RAB10;SLC9A3R1;NDRG1"
"18","hsa-miR-7156-3p","3/137",0.000908669272395478,0.0421233112703332,0.00159935469887473,0.07418022850517,-2.22537483921054,15.5854780384155,"RAB10;LAD1;DHCR24"
"19","hsa-miR-148a-3p","3/213",0.00320610841295919,0.09943520355859,0.00544304637406764,0.173292472915069,-2.68971884452996,15.4462414413602,"RAB10;ABLIM1;NDRG1"
"20","hsa-miR-124-3p","4/1445",0.140017363136418,0.3082496337924,0.220560282337863,0.401363228484211,-7.8048384625866,15.344225328404,"CAST;CTNND1;DHCR24;FAM129B"
"21","hsa-miR-7150","3/136",0.000889602863838589,0.0421233112703332,0.00156681084410373,0.07418022850517,-2.17689142434876,15.2920862837335,"S100A16;CAPN1;S100A11"
"22","hsa-miR-3202","3/270",0.00621081982172782,0.125958850035602,0.0103513289150106,0.197925333794537,-2.96929853905465,15.0883788074439,"ABLIM1;NDRG1;FAM129B"
"23","hsa-miR-6873-5p","3/206",0.00291788869942772,0.09943520355859,0.0049666593819996,0.169650628364092,-2.51848901129868,14.7001558480146,"PGAM1;PERP;FAM129B"
"24","hsa-miR-6778-5p","3/192",0.00239101155254535,0.0916276088481402,0.00409238690343503,0.156232888254667,-2.41532055904396,14.5789685094082,"RAB10;LAD1;PGAM1"
