"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","IRF1_21803131_ChIP-Seq_MONOCYTES_Human","6/345",1.10744259413554e-07,3.95357006106387e-05,5.95106619721925e-10,2.12453063240727e-07,-2.87017871127032,45.9689035423618,"SP110;IFI44;ISG15;IFIT1;IFIT3;TNFSF13B"
"2","IRF8_22096565_ChIP-ChIP_GC-B_Human","3/203",0.000428441452482737,0.0764767992681686,3.16134779482623e-05,0.00282150290688241,-3.63368012208721,28.1804846189677,"SP100;STAT2;IFIT3"
"3","FOXP3_17237761_ChIP-ChIP_TREG_Mouse","2/257",0.0154677499343143,0.501998793322746,0.00276456833471005,0.0340327894997065,-5.53983409591558,23.0955576651501,"SP100;IFIT3"
"4","SMAD_19615063_ChIP-ChIP_OVARY_Human","2/124",0.00379782274959346,0.225970453600811,0.000667021855808777,0.0238126802523733,-4.05628469777299,22.607002393109,"SP110;TNFSF13B"
"5","IRF8_22096565_ChIP-ChIP_GC-B_Mouse","4/772",0.00213861602779501,0.159879599496245,7.26788990745234e-05,0.00432439449493415,-3.07002961260815,18.8733029180516,"STAT2;IFIT1;USP18;TNFSF13B"
"6","GATA1_22025678_ChIP-Seq_K562_Human","1/38",0.0281337707008429,0.60026919366641,0.0118135097829795,0.0889408324258599,-3.81946455418877,13.6384852864677,"RSAD2"
"7","IRF8_21731497_ChIP-ChIP_J774_Mouse","2/319",0.0232199512610515,0.60026919366641,0.00420372073619847,0.0468977594632142,-3.25873585934446,12.2617868527028,"USP18;TNFSF13B"
"8","BCL11B_21912641_ChIP-Seq_STHDH_STRIUM_Mouse","1/43",0.0317800881265509,0.60026919366641,0.0133186065088426,0.0889408324258599,-3.37914380663727,11.6543809271938,"SP110"
"9","MAF_26560356_Chip-Seq_TH1_Human","6/2000",0.00223921007697822,0.159879599496245,1.65048376636603e-05,0.00196407568197558,-1.51041374813159,9.21598903935664,"STAT2;IFI44;ISG15;SAMHD1;XAF1;IFIT3"
"10","IRF8_27001747_Chip-Seq_BMDM_Mouse","6/2000",0.00223921007697822,0.159879599496245,1.65048376636603e-05,0.00196407568197558,-1.48131970617302,9.03846789845574,"RSAD2;IFI44;CMPK2;ISG15;SAMHD1;XAF1"
