"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","chr1p","1/16",0.0119371876072553,0.065654531839904,0.00621191683341572,0.0341655425837865,-2.9519365909873,13.0714608027456,"IFI44"
"2","chr2q37","2/195",0.009135139456837,0.065654531839904,0.00228332366882098,0.0251165603570307,-2.21852077889536,10.417345676892,"SP100;SP110"
"3","chr13q32","1/49",0.0361388140800792,0.117152358421261,0.0181694794006021,0.0588535158413555,-2.95182972231974,9.80121942412843,"TNFSF13B"
"4","chr10q25","1/62",0.0455199698465977,0.117152358421261,0.0228437126485453,0.0588535158413555,-2.26833745796588,7.00826482732771,"IFIT1"
"5","chr12q12","1/75",0.0548158515070049,0.117152358421261,0.0274975394132913,0.0588535158413555,-2.08884050680027,6.06552465110895,"STAT2"
"6","chr2p25","1/100",0.0724555137596705,0.117152358421261,0.0363901483297654,0.0588535158413555,-2.27196927920237,5.96342522450852,"RSAD2"
"7","chr1p22","1/103",0.0745515008135295,0.117152358421261,0.0374522373535898,0.0588535158413555,-1.78284969622156,4.62875045614382,"IFI44L"
"8","chr10q23","1/148",0.105465579005277,0.145015171132256,0.0532553418453356,0.0732260950373364,-2.00563952187958,4.51142666427574,"IFIT3"
"9","chr21q22","1/307",0.207146921276058,0.253179570448515,0.107207570920591,0.131031475569612,-1.9168043767474,3.0176768320132,"MX1"
"10","chr22q11","1/400",0.261510064178772,0.28766107059665,0.137443084049186,0.151187392454105,-2.06133037648676,2.76482638105459,"USP18"
"11","chr1p36","1/573",0.353499470913085,0.353499470913085,0.191203898547879,0.191203898547879,-2.09970998131855,2.18343232706796,"ISG15"
