"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","type I interferon signaling pathway (GO:0060337)","9/148",2.50722319083997e-16,1.10819265035127e-13,7.75367933012499e-16,3.42712626391525e-13,-3.28213927326035,117.901616288875,"SP100;RSAD2;STAT2;MX1;ISG15;SAMHD1;XAF1;IFIT1;IFIT3"
"2","cellular response to type I interferon (GO:0071357)","4/23",1.79849726668646e-09,3.97467895937708e-07,6.6745293257811e-09,1.47507098099762e-06,-2.77655793956378,55.909643544706,"SP100;MX1;ISG15;IFIT1"
"3","negative regulation of single stranded viral RNA replication via double stranded DNA intermediate (GO:0045869)","4/44",2.73178788080498e-08,3.0186256082895e-06,7.32539231593073e-08,8.09455850910346e-06,-2.68293118670976,46.7251902599211,"RSAD2;MX1;ISG15;IFIT1"
"4","negative regulation of viral genome replication (GO:0045071)","4/40",1.84233227872793e-08,2.71436955732582e-06,5.12054504329268e-08,7.54426969711788e-06,-2.49401668172103,44.4175602854904,"RSAD2;MX1;ISG15;IFIT1"
"5","negative regulation by host of viral genome replication (GO:0044828)","4/51",5.01338045436727e-08,4.43182832166067e-06,1.27963453867823e-07,1.13119693219156e-05,-2.6224051196754,44.0788808484813,"RSAD2;MX1;ISG15;IFIT1"
"6","response to type I interferon (GO:0034340)","3/35",2.20186307410448e-06,0.000162203913125697,4.69386914625281e-06,0.000345781693773957,-2.71545967327678,35.3721390007812,"SP100;MX1;ISG15"
"7","regulation of type I interferon-mediated signaling pathway (GO:0060338)","3/43",4.13681799598744e-06,0.000261210507746636,8.41191324876799e-06,0.000531152236565065,-2.6859211989198,33.2935609405655,"STAT2;SAMHD1;USP18"
"8","negative regulation of type I interferon-mediated signaling pathway (GO:0060339)","2/43",0.000465750104138902,0.0257326932536744,0.000727491923786076,0.0401939287891807,-2.54884925725256,19.554418039687,"STAT2;USP18"
"9","positive regulation of type I interferon-mediated signaling pathway (GO:0060340)","2/52",0.000681264473621232,0.0334576552600649,0.0010468083144347,0.0514099194422377,-2.51221827404946,18.3179901942441,"STAT2;USP18"
"10","positive regulation of Fas signaling pathway (GO:1902046)","1/7",0.00523898638718187,0.0689542867903496,0.00721937138078378,0.0890405476289651,-2.95632328281185,15.5255078731595,"SP100"
"11","negative regulation of mitochondrial fission (GO:0090258)","1/7",0.00523898638718187,0.0689542867903496,0.00721937138078378,0.0890405476289651,-2.65081442708932,13.9210892453264,"STAT2"
"12","regulation of response to interferon-gamma (GO:0060330)","1/14",0.0104523466401661,0.0689542867903496,0.0134970965862911,0.0890405476289651,-3.03796270260672,13.8559314831287,"SAMHD1"
"13","negative regulation of SREBP signaling pathway by negative regulation of DNA binding (GO:1901294)","1/19",0.0141605504396181,0.0765823236359638,0.0179588844491345,0.0968751914762453,-3.17773164040967,13.5285420365395,"SP100"
"14","negative regulation of DNA replication origin binding (GO:1902596)","1/20",0.01490063310564,0.0765823236359638,0.0188490191560115,0.0968751914762453,-3.21568841730336,13.5263160440491,"SP100"
"15","modulation of complement activation in other organism (GO:0044645)","1/13",0.00970914541854929,0.0689542867903496,0.0126025122256797,0.0890405476289651,-2.91764193144067,13.5223571623974,"SAMHD1"
"16","regulation of interferon-gamma production (GO:0032649)","1/10",0.00747641473212362,0.0689542867903496,0.00991429546701899,0.0890405476289651,-2.75873901945892,13.5067915244371,"ISG15"
"17","modulation by organism of induced systemic resistance in other organism involved in symbiotic interaction (GO:0052298)","1/13",0.00970914541854929,0.0689542867903496,0.0126025122256797,0.0890405476289651,-2.89550697497331,13.419768567169,"SAMHD1"
"18","regulation of antifungal innate immune response (GO:1905034)","1/13",0.00970914541854929,0.0689542867903496,0.0126025122256797,0.0890405476289651,-2.89067252955102,13.397362425765,"SAMHD1"
"19","regulation of defense response to bacterium, incompatible interaction (GO:1902477)","1/14",0.0104523466401661,0.0689542867903496,0.0134970965862911,0.0890405476289651,-2.93550463013915,13.3886275130089,"SAMHD1"
"20","negative regulation of triplex DNA binding (GO:1905497)","1/18",0.0134199488601689,0.0765823236359638,0.0170680095331808,0.0968751914762453,-3.09291086936392,13.3335788362727,"SP100"
"21","regulation of plant-type hypersensitive response (GO:0010363)","1/15",0.0111950272570398,0.0717130731537909,0.014390937936258,0.0921854285192177,-2.95711154459337,13.2841895921696,"SAMHD1"
"22","regulation of innate immunity memory response (GO:1905680)","1/13",0.00970914541854929,0.0689542867903496,0.0126025122256797,0.0890405476289651,-2.86606704879772,13.2833237237182,"SAMHD1"
"23","negative regulation of G-quadruplex DNA binding (GO:1905494)","1/18",0.0134199488601689,0.0765823236359638,0.0170680095331808,0.0968751914762453,-3.08021091508658,13.278829168815,"SP100"
"24","regulation of defense response to fungus, incompatible interaction (GO:2000072)","1/13",0.00970914541854929,0.0689542867903496,0.0126025122256797,0.0890405476289651,-2.8580372153338,13.2461079588625,"SAMHD1"
"25","regulation of natural killer cell mediated immunity (GO:0002715)","1/14",0.0104523466401661,0.0689542867903496,0.0134970965862911,0.0890405476289651,-2.87224262826841,13.1000940288241,"SAMHD1"
"26","positive regulation of T-helper 2 cell cytokine production (GO:2000553)","1/13",0.00970914541854929,0.0689542867903496,0.0126025122256797,0.0890405476289651,-2.82553499640144,13.095470346948,"RSAD2"
"27","regulation of systemic acquired resistance (GO:0010112)","1/13",0.00970914541854929,0.0689542867903496,0.0126025122256797,0.0890405476289651,-2.82236367300213,13.0807722555815,"SAMHD1"
"28","negative regulation of secretion of lysosomal enzymes (GO:0090341)","1/11",0.00822117980349265,0.0689542867903496,0.0108111122279114,0.0890405476289651,-2.72456478967701,13.0807487658319,"RSAD2"
"29","regulation of age-related resistance (GO:1904248)","1/13",0.00970914541854929,0.0689542867903496,0.0126025122256797,0.0890405476289651,-2.81975463553576,13.0686801835249,"SAMHD1"
"30","regulation of melanization defense response (GO:0035007)","1/13",0.00970914541854929,0.0689542867903496,0.0126025122256797,0.0890405476289651,-2.80044117881473,12.9791683565225,"SAMHD1"
"31","negative regulation of atrial cardiac muscle cell action potential (GO:1903948)","1/11",0.00822117980349265,0.0689542867903496,0.0108111122279114,0.0890405476289651,-2.66644293198719,12.8017033119948,"SP100"
"32","negative regulation of matrix metallopeptidase secretion (GO:1904465)","1/10",0.00747641473212362,0.0689542867903496,0.00991429546701899,0.0890405476289651,-2.601485118174,12.7368761224806,"RSAD2"
"33","negative regulation of intraciliary retrograde transport (GO:1905800)","1/7",0.00523898638718187,0.0689542867903496,0.00721937138078378,0.0890405476289651,-2.42101511190598,12.7142689026837,"SP100"
"34","negative regulation of immunoglobulin secretion (GO:0051025)","1/10",0.00747641473212362,0.0689542867903496,0.00991429546701899,0.0890405476289651,-2.59660705117373,12.7129930971019,"RSAD2"
"35","negative regulation of pancreatic trypsinogen secretion (GO:1904243)","1/11",0.00822117980349265,0.0689542867903496,0.0108111122279114,0.0890405476289651,-2.6385761150797,12.6679135661053,"RSAD2"
"36","negative regulation of pancreatic amylase secretion (GO:1902277)","1/11",0.00822117980349265,0.0689542867903496,0.0108111122279114,0.0890405476289651,-2.63568588083913,12.6540374314219,"RSAD2"
"37","negative regulation of telomeric DNA binding (GO:1904743)","1/19",0.0141605504396181,0.0765823236359638,0.0179588844491345,0.0968751914762453,-2.95407264345164,12.5763596358233,"SP100"
"38","negative regulation of prolactin secretion (GO:1902721)","1/10",0.00747641473212362,0.0689542867903496,0.00991429546701899,0.0890405476289651,-2.54815609539469,12.4757771247859,"RSAD2"
"39","negative regulation of tRNA export from nucleus (GO:2000239)","1/7",0.00523898638718187,0.0689542867903496,0.00721937138078378,0.0890405476289651,-2.37490947402076,12.47213927899,"SP100"
"40","regulation of interferon-gamma biosynthetic process (GO:0045072)","1/9",0.00673112769902211,0.0689542867903496,0.00901673344709652,0.0890405476289651,-2.4811984518929,12.408504687168,"ISG15"
"41","negative regulation of Wnt protein secretion (GO:0061358)","1/12",0.00896542325296185,0.0689542867903496,0.0117071842936412,0.0890405476289651,-2.60067112294555,12.260551828028,"RSAD2"
"42","negative regulation of BMP secretion (GO:2001285)","1/11",0.00822117980349265,0.0689542867903496,0.0108111122279114,0.0890405476289651,-2.55199732200022,12.2522451830254,"RSAD2"
"43","negative regulation of ribosomal subunit export from nucleus (GO:2000201)","1/8",0.00598531836349322,0.0689542867903496,0.00811842560621897,0.0890405476289651,-2.37125214505389,12.1371254588621,"SP100"
"44","cohesin unloading (GO:0061774)","1/20",0.01490063310564,0.0765823236359638,0.0188490191560115,0.0968751914762453,-2.87204133568943,12.0808156005008,"SP100"
"45","negative regulation of DNA binding (GO:0043392)","1/23",0.0171177709932522,0.07971975119647,0.0215149876150325,0.100017756029278,-2.94779395009027,11.9905590287274,"SP100"
"46","negative regulation of adiponectin secretion (GO:0070164)","1/18",0.0134199488601689,0.0765823236359638,0.0170680095331808,0.0968751914762453,-2.77307445839071,11.9547599240746,"RSAD2"
"47","regulation of nucleotide-binding oligomerization domain containing signaling pathway (GO:0070424)","1/14",0.0104523466401661,0.0689542867903496,0.0134970965862911,0.0890405476289651,-2.59868759236273,11.8524289962279,"SAMHD1"
"48","negative regulation of renin secretion into blood stream (GO:1900134)","1/11",0.00822117980349265,0.0689542867903496,0.0108111122279114,0.0890405476289651,-2.43967296700834,11.7129712874293,"RSAD2"
"49","negative regulation of vesicle transport along microtubule (GO:1901609)","1/6",0.00449213142930971,0.0689542867903496,0.006319570206616,0.0890405476289651,-2.16182427420556,11.6855854282932,"SP100"
"50","negative regulation of protein export from nucleus (GO:0046826)","1/9",0.00673112769902211,0.0689542867903496,0.00901673344709652,0.0890405476289651,-2.33512718029477,11.6780004194005,"SP100"
"51","regulation of Fas signaling pathway (GO:1902044)","1/17",0.0126788280285845,0.0765823236359638,0.016176393849702,0.0968751914762453,-2.64299595778253,11.5441352586705,"SP100"
"52","negative regulation of intraciliary anterograde transport (GO:1905797)","1/6",0.00449213142930971,0.0689542867903496,0.006319570206616,0.0890405476289651,-2.12552022816414,11.4893465218883,"SP100"
"53","negative regulation of transcription from RNA polymerase II promoter (GO:0000122)","2/991",0.168489273287886,0.275541514712418,0.225337623303254,0.327197465330827,-6.37184693538693,11.3475151043124,"SP100;STAT2"
"54","CDP phosphorylation (GO:0061508)","1/8",0.00598531836349322,0.0689542867903496,0.00811842560621897,0.0890405476289651,-2.2141547324729,11.3330308754432,"CMPK2"
"55","negative regulation of anterograde axonal transport of mitochondrion (GO:0061882)","1/6",0.00449213142930971,0.0689542867903496,0.006319570206616,0.0890405476289651,-2.08107393847653,11.2490953038257,"SP100"
"56","negative regulation of interferon-gamma production (GO:0032689)","1/23",0.0171177709932522,0.07971975119647,0.0215149876150325,0.100017756029278,-2.76502390467668,11.247116625588,"ISG15"
"57","purine deoxyribonucleotide catabolic process (GO:0009155)","1/15",0.0111950272570398,0.0717130731537909,0.014390937936258,0.0921854285192177,-2.49549574092453,11.2104795673007,"SAMHD1"
"58","negative regulation of Fas signaling pathway (GO:1902045)","1/16",0.0119371876072553,0.0753748131772404,0.0152840368371803,0.0965077754576242,-2.52311376062038,11.1725918244696,"SP100"
"59","negative regulation of ventricular cardiac muscle cell action potential (GO:1903946)","1/19",0.0141605504396181,0.0765823236359638,0.0179588844491345,0.0968751914762453,-2.59250349108191,11.0370529760831,"SP100"
"60","regulation of TRAIL-activated apoptotic signaling pathway (GO:1903121)","1/17",0.0126788280285845,0.0765823236359638,0.016176393849702,0.0968751914762453,-2.52295142929709,11.0198021548613,"SP100"
"61","negative regulation of ATP-dependent RNA helicase activity (GO:1902281)","1/11",0.00822117980349265,0.0689542867903496,0.0108111122279114,0.0890405476289651,-2.27539553504025,10.9242685105263,"IFIT1"
"62","regulation of mitochondrial fission (GO:0090140)","1/18",0.0134199488601689,0.0765823236359638,0.0170680095331808,0.0968751914762453,-2.52836498890469,10.8998142301351,"STAT2"
