"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","interfibrillar mitochondrion (GO:1990844)","4/919",0.00402566684469221,0.0265694011749686,0.00460351262194296,0.0303831833048235,-4.44096349364291,24.4922010250212,"RSAD2;CMPK2;XAF1;IFIT3"
"2","mitochondrial derivative (GO:0016007)","4/919",0.00402566684469221,0.0265694011749686,0.00460351262194296,0.0303831833048235,-4.42136816670798,24.3841315290373,"RSAD2;CMPK2;XAF1;IFIT3"
"3","mitochondrion (GO:0005739)","4/919",0.00402566684469221,0.0265694011749686,0.00460351262194296,0.0303831833048235,-4.40476004237999,24.2925366487209,"RSAD2;CMPK2;XAF1;IFIT3"
"4","Nebenkern (GO:0016006)","4/919",0.00402566684469221,0.0265694011749686,0.00460351262194296,0.0303831833048235,-4.38685779455741,24.1938045935941,"RSAD2;CMPK2;XAF1;IFIT3"
"5","subsarcolemmal mitochondrion (GO:1990843)","4/919",0.00402566684469221,0.0265694011749686,0.00460351262194296,0.0303831833048235,-4.36771702496085,24.0882420107439,"RSAD2;CMPK2;XAF1;IFIT3"
"6","cytoplasmic periphery of the nuclear pore complex (GO:1990723)","2/347",0.0271525366126977,0.110966069219864,0.0343820756174122,0.138764248904438,-3.27382211048525,11.806334939177,"MX1;TNFSF13B"
"7","perinuclear region of cytoplasm (GO:0048471)","2/347",0.0271525366126977,0.110966069219864,0.0343820756174122,0.138764248904438,-3.25740475857339,11.7471292923995,"MX1;TNFSF13B"
"8","perinuclear endoplasmic reticulum (GO:0097038)","2/355",0.0283230649267209,0.110966069219864,0.0358573946741035,0.138764248904438,-3.24554390918136,11.5673742126181,"MX1;TNFSF13B"
"9","mutator focus (GO:1990633)","2/369",0.0304204104786631,0.110966069219864,0.0385006458967264,0.138764248904438,-3.23282408850255,11.2910955689575,"MX1;TNFSF13B"
"10","perinuclear theca (GO:0033011)","2/450",0.04371390605631,0.110966069219864,0.0552487907430173,0.140246930347659,-3.45037130529661,10.7999693069553,"MX1;TNFSF13B"
"11","ascus lipid droplet (GO:0005633)","1/58",0.042642576415123,0.110966069219864,0.0504597268743411,0.138764248904438,-1.87336378847484,5.91027930996426,"RSAD2"
"12","lipid droplet (GO:0005811)","1/58",0.042642576415123,0.110966069219864,0.0504597268743411,0.138764248904438,-1.84482561634452,5.82024417139497,"RSAD2"
"13","monolayer-surrounded lipid storage body (GO:0012511)","1/58",0.042642576415123,0.110966069219864,0.0504597268743411,0.138764248904438,-1.82010213804116,5.74224401830902,"RSAD2"
"14","nuclear chromosome, telomeric region (GO:0000784)","1/122",0.0877237711922791,0.154752803921159,0.102712572555508,0.18116117521223,-2.26452909774496,5.51087278696524,"SP100"
