"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","ribonuclease activity (GO:0004540)","1/24",0.0178557813765849,0.0929663726634384,0.0172104384933666,0.0894677057880349,-1.6375848791957,6.59197992119119,"SAMHD1"
"2","kinase binding (GO:0019900)","1/62",0.0455199698465977,0.179536262094853,0.0428839090336964,0.169072894980469,-2.11504135507995,6.53464055142951,"SP100"
"3","tRNA-specific ribonuclease activity (GO:0004549)","1/17",0.0126788280285845,0.0792996978100892,0.0124173064993581,0.0774283776925141,-1.48962112629483,6.50639957109446,"SAMHD1"
"4","exoribonuclease activity (GO:0004532)","1/25",0.0185932745326877,0.0929663726634384,0.017893541157607,0.0894677057880349,-1.61840051850301,6.44925380127606,"SAMHD1"
"5","double-stranded RNA-specific ribonuclease activity (GO:0032296)","1/16",0.0119371876072553,0.0792996978100892,0.0117309404501862,0.0774283776925141,-1.44049595393981,6.37865544128789,"SAMHD1"
"6","phosphatidylinositol 3-kinase catalytic subunit binding (GO:0036313)","1/64",0.0469556377786539,0.179536262094853,0.0442190648410457,0.169072894980469,-2.07765861416421,6.35462690978229,"SP100"
"7","ribonuclease E activity (GO:0008995)","1/17",0.0126788280285845,0.0792996978100892,0.0124173064993581,0.0774283776925141,-1.45348542128403,6.34856525239874,"SAMHD1"
"8","oligoribonucleotidase activity (GO:0034611)","1/16",0.0119371876072553,0.0792996978100892,0.0117309404501862,0.0774283776925141,-1.42835532512214,6.32489556236792,"SAMHD1"
"9","ribonuclease MRP activity (GO:0000171)","1/18",0.0134199488601689,0.0792996978100892,0.0131032639171947,0.0774283776925141,-1.46371593848783,6.31009837789153,"SAMHD1"
"10","ribonuclease G activity (GO:0008996)","1/16",0.0119371876072553,0.0792996978100892,0.0117309404501862,0.0774283776925141,-1.40681173801541,6.2294984744779,"SAMHD1"
"11","nucleoside diphosphate kinase activity (GO:0004550)","1/15",0.0111950272570398,0.0792996978100892,0.0110441655647049,0.0774283776925141,-1.38052225003231,6.20170021626947,"CMPK2"
"12","ribonuclease T1 activity (GO:0046589)","1/16",0.0119371876072553,0.0792996978100892,0.0117309404501862,0.0774283776925141,-1.39724740246087,6.18714667136427,"SAMHD1"
"13","ribonuclease R activity (GO:0008997)","1/16",0.0119371876072553,0.0792996978100892,0.0117309404501862,0.0774283776925141,-1.39687139186511,6.18548166007002,"SAMHD1"
"14","endoribonuclease activity (GO:0004521)","1/50",0.0368634854145614,0.162879808892266,0.0348393529863338,0.153885068144602,-1.82132729989254,6.01135226503603,"SAMHD1"
"15","thiol-dependent ubiquitinyl hydrolase activity (GO:0036459)","1/51",0.0375876482059076,0.162879808892266,0.0355119388026005,0.153885068144602,-1.82142137808871,5.97622886856426,"USP18"
"16","thiol-dependent ubiquitin-specific protease activity (GO:0004843)","1/86",0.0626155267897299,0.226111624518469,0.0588007422345208,0.212336013624658,-2.12879653359724,5.89834596476458,"USP18"
"17","GTPase activity, coupled (GO:0061745)","1/151",0.107491856759078,0.238356963881588,0.10077452492106,0.213157845798826,-2.43631991238231,5.43382220498393,"MX1"
"18","GTPase activity (GO:0003924)","1/157",0.111531567065522,0.238356963881588,0.104566814969098,0.213157845798826,-2.46706107650312,5.41136923543893,"MX1"
"19","microtubule plus-end binding (GO:0051010)","1/131",0.0939020006795945,0.238356963881588,0.0880339598883303,0.213157845798826,-2.25485961841633,5.33387851442449,"MX1"
"20","microtubule binding (GO:0008017)","1/152",0.108166330133617,0.238356963881588,0.101407527570985,0.213157845798826,-2.3931861952248,5.32264986064918,"MX1"
"21","microtubule minus-end binding (GO:0051011)","1/131",0.0939020006795945,0.238356963881588,0.0880339598883303,0.213157845798826,-2.24056283002134,5.30005941020066,"MX1"
"22","microtubule lateral binding (GO:0099609)","1/126",0.0904744890703475,0.238356963881588,0.0848247521213915,0.213157845798826,-2.20294984077709,5.29299972996705,"MX1"
"23","GTPase motor activity (GO:0061791)","1/169",0.119559842026328,0.238356963881588,0.112110286328898,0.213157845798826,-2.43313538601587,5.16782934507599,"MX1"
"24","21U-RNA binding (GO:0034583)","2/1199",0.225932837840452,0.238356963881588,0.198419730680814,0.213157845798826,-3.46039593610306,5.14739951732541,"SAMHD1;IFIT1"
"25","alpha-aminoacyl-tRNA binding (GO:1904678)","2/1199",0.225932837840452,0.238356963881588,0.198419730680814,0.213157845798826,-3.45449131795512,5.13861629449026,"SAMHD1;IFIT1"
"26","base pairing with RNA (GO:0000498)","2/1199",0.225932837840452,0.238356963881588,0.198419730680814,0.213157845798826,-3.44740275749229,5.12807193674083,"SAMHD1;IFIT1"
"27","7S RNA binding (GO:0008312)","2/1200",0.226214753317566,0.238356963881588,0.198682544193518,0.213157845798826,-3.44904166332774,5.12620886015996,"SAMHD1;IFIT1"
"28","BRE binding (GO:0042835)","2/1200",0.226214753317566,0.238356963881588,0.198682544193518,0.213157845798826,-3.44402557522132,5.11875359640717,"SAMHD1;IFIT1"
"29","GU repeat RNA binding (GO:1990605)","2/1199",0.225932837840452,0.238356963881588,0.198419730680814,0.213157845798826,-3.43831078329171,5.11454746599363,"SAMHD1;IFIT1"
"30","G-quadruplex RNA binding (GO:0002151)","2/1201",0.226496708817496,0.238356963881588,0.198945428660452,0.213157845798826,-3.44057888904699,5.10934519944337,"SAMHD1;IFIT1"
"31","AU-rich element binding (GO:0017091)","2/1203",0.227060739078703,0.238356963881588,0.199471409759596,0.213157845798826,-3.4459511523186,5.10875257926294,"SAMHD1;IFIT1"
"32","histone pre-mRNA DCP binding (GO:0071208)","2/1200",0.226214753317566,0.238356963881588,0.198682544193518,0.213157845798826,-3.436069649752,5.10692893912187,"SAMHD1;IFIT1"
"33","misfolded RNA binding (GO:0034336)","2/1199",0.225932837840452,0.238356963881588,0.198419730680814,0.213157845798826,-3.43008645263615,5.10231363020476,"SAMHD1;IFIT1"
"34","N6-methyladenosine-containing RNA binding (GO:1990247)","2/1199",0.225932837840452,0.238356963881588,0.198419730680814,0.213157845798826,-3.42687221722194,5.09753239877194,"SAMHD1;IFIT1"
"35","pre-miRNA binding (GO:0070883)","2/1201",0.226496708817496,0.238356963881588,0.198945428660452,0.213157845798826,-3.42996817521768,5.09358802557386,"SAMHD1;IFIT1"
"36","snRNA binding (GO:0017069)","2/1202",0.226778704132436,0.238356963881588,0.199208383906171,0.213157845798826,-3.43262471908971,5.09326199499383,"SAMHD1;IFIT1"
"37","pre-mRNA binding (GO:0036002)","2/1200",0.226214753317566,0.238356963881588,0.198682544193518,0.213157845798826,-3.42639519693461,5.0925500853443,"SAMHD1;IFIT1"
"38","piRNA binding (GO:0034584)","2/1202",0.226778704132436,0.238356963881588,0.199208383906171,0.213157845798826,-3.42977793306689,5.08903798909616,"SAMHD1;IFIT1"
"39","regulatory region RNA binding (GO:0001069)","2/1199",0.225932837840452,0.238356963881588,0.198419730680814,0.213157845798826,-3.41935201712217,5.0863459695082,"SAMHD1;IFIT1"
"40","RNA stem-loop binding (GO:0035613)","2/1200",0.226214753317566,0.238356963881588,0.198682544193518,0.213157845798826,-3.42157338484089,5.08538356829707,"SAMHD1;IFIT1"
"41","miRNA binding (GO:0035198)","2/1203",0.227060739078703,0.238356963881588,0.199471409759596,0.213157845798826,-3.42951993662182,5.08439268213704,"SAMHD1;IFIT1"
"42","transcription corepressor activity (GO:0003714)","1/174",0.122884930733306,0.238356963881588,0.115237284696203,0.213157845798826,-2.42485879406945,5.08373315443987,"SP100"
"43","RNA cap binding (GO:0000339)","2/1201",0.226496708817496,0.238356963881588,0.198945428660452,0.213157845798826,-3.42053353556093,5.07957735109343,"SAMHD1;IFIT1"
"44","ribonuclease P RNA binding (GO:0033204)","2/1199",0.225932837840452,0.238356963881588,0.198419730680814,0.213157845798826,-3.41197136279805,5.07536711702801,"SAMHD1;IFIT1"
"45","telomerase RNA binding (GO:0070034)","2/1205",0.227624927040501,0.238356963881588,0.199997672524473,0.213157845798826,-3.42609767537121,5.07081663158512,"SAMHD1;IFIT1"
"46","telomeric repeat-containing RNA binding (GO:0061752)","2/1200",0.226214753317566,0.238356963881588,0.198682544193518,0.213157845798826,-3.41172827770389,5.07075107603944,"SAMHD1;IFIT1"
"47","snoRNA binding (GO:0030515)","2/1206",0.227907079619889,0.238356963881588,0.200260909100073,0.213157845798826,-3.42825256951801,5.0697591352895,"SAMHD1;IFIT1"
"48","primary miRNA binding (GO:0070878)","2/1204",0.227342813449233,0.238356963881588,0.199734506024652,0.213157845798826,-3.4221937290597,5.06928259830077,"SAMHD1;IFIT1"
"49","RNA binding (GO:0003723)","2/1199",0.225932837840452,0.238356963881588,0.198419730680814,0.213157845798826,-3.40241497903549,5.06115182892945,"SAMHD1;IFIT1"
