"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","V$ICSBP_Q6","4/254",3.10628449581166e-05,0.000807633968911031,6.67893881671616e-07,1.7365240923462e-05,-1.74477429812414,18.1098815975888,"SP110;IFI44;USP18;TNFSF13B"
"2","STTTCRNTTT_V$IRF_Q6","3/194",0.000375207120712261,0.00487769256925939,3.08494325947513e-05,0.000401042623731767,-1.75446095227029,13.8392447703701,"IFI44;USP18;TNFSF13B"
"3","V$ISRE_01","3/255",0.000832060187410858,0.0072111882908941,6.90675608947752e-05,0.000598585527754718,-1.81483296796371,12.8700799637516,"IFI44;USP18;TNFSF13B"
"4","V$IRF2_01","2/130",0.0041649892341642,0.0270724300220673,0.000949161467126552,0.00616954953632259,-1.79900981479461,9.86044761247138,"USP18;TNFSF13B"
"5","V$IRF_Q6","2/247",0.0143469680377074,0.0587273413980482,0.00333033473647625,0.0136710228277534,-1.71939699500832,7.29749334673198,"IFI44;TNFSF13B"
"6","V$IRF1_01","2/257",0.0154677499343143,0.0587273413980482,0.00359832383014377,0.0136710228277534,-1.72821580429688,7.20492835613803,"USP18;TNFSF13B"
"7","V$IRF7_01","2/260",0.0158112072994745,0.0587273413980482,0.00368065999208745,0.0136710228277534,-1.67530117904741,6.94753474874333,"SP110;USP18"
"8","V$STAT5A_02","1/146",0.104112342718975,0.247080566552243,0.0537978687332612,0.130589009395805,-1.88987020876864,4.27542454220318,"SP110"
"9","V$GATA_Q6","1/208",0.145186591213359,0.247080566552243,0.075781817732322,0.130589009395805,-1.65458485960561,3.1929111874586,"TNFSF13B"
"10","V$AML1_01","1/272",0.185737372365373,0.247080566552243,0.0980443836400312,0.130589009395805,-1.81830623230013,3.06097594973409,"STAT2"
"11","V$AML1_Q6","1/272",0.185737372365373,0.247080566552243,0.0980443836400312,0.130589009395805,-1.81053234213412,3.04788921527136,"STAT2"
"12","V$TEF_Q6","1/265",0.181391226665676,0.247080566552243,0.0956305260994116,0.130589009395805,-1.75302213944397,2.99258252888019,"USP18"
"13","V$POU6F1_01","1/244",0.168222528230261,0.247080566552243,0.088357928525869,0.130589009395805,-1.66460045200734,2.96709637806233,"TNFSF13B"
"14","V$CEBPA_01","1/259",0.17764873628132,0.247080566552243,0.0935573945112946,0.130589009395805,-1.70980708390919,2.95445614102723,"TNFSF13B"
"15","V$LHX3_01","1/234",0.161882468903899,0.247080566552243,0.0848783826403721,0.130589009395805,-1.60247283856456,2.9179182861601,"TNFSF13B"
"16","V$CEBPB_01","1/268",0.183256504939224,0.247080566552243,0.0966656684777246,0.130589009395805,-1.71559071822262,2.91113174780783,"TNFSF13B"
"17","V$IRF1_Q6","1/264",0.180768584217844,0.247080566552243,0.0952852678472545,0.130589009395805,-1.69847754422655,2.90530971231057,"TNFSF13B"
"18","V$COREBINDINGFACTOR_Q6","1/279",0.190061974270956,0.247080566552243,0.100453084150619,0.130589009395805,-1.72335713081587,2.8614709340292,"STAT2"
"19","V$LMO2COM_02","1/250",0.172005047927339,0.247080566552243,0.0904405702410557,0.130589009395805,-1.61075010563105,2.83529300076292,"TNFSF13B"
"20","V$CEBP_Q2_01","1/277",0.188828566290691,0.247080566552243,0.0997654097476593,0.130589009395805,-1.69482373177787,2.82512834182395,"TNFSF13B"
"21","WTGAAAT_UNKNOWN","1/637",0.384731470897263,0.476334202063278,0.216957374505392,0.268613892244771,-1.61518506192467,1.54284038390778,"SP110"
"22","TAATTA_V$CHX10_01","1/836",0.473082060089069,0.559096980105263,0.27629111179224,0.326525859390829,-1.59804027522993,1.19611143979212,"TNFSF13B"
"23","RYTTCCTG_V$ETS2_B","1/1128",0.581512361125162,0.651406629018379,0.356790391024424,0.403328268114566,-1.48643719962433,0.805831868205191,"TNFSF13B"
"24","GATTGGY_V$NFY_Q6_01","1/1190",0.601674893438324,0.651406629018379,0.372921848980067,0.403998669728406,-1.57335413459136,0.799323725074043,"STAT2"
"25","CTTTGA_V$LEF1_Q2","1/1270",0.626352527902287,0.651406629018379,0.393256680596827,0.4089869478207,-1.54825493329527,0.724338564937223,"TNFSF13B"
"26","CAGCTG_V$AP4_Q5","1/1561",0.704595294150244,0.704595294150244,0.462823238377285,0.462823238377285,-1.47385299556628,0.516042642877078,"STAT2"
