"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","Cell cycle_Homo sapiens_hsa04110","27/124",6.03383561234465e-11,1.17056410879486e-08,3.87475607370227e-09,7.51702678298241e-07,-1.73319833464056,40.7839820905491,"BUB1B;TTK;SMC3;ANAPC10;ANAPC11;CDC20;ORC5;CCNB2;ORC4;CCNB1;ORC6;PTTG1;ORC3;E2F3;BUB3;BUB1;CCNA2;DBF4;TFDP1;CDK4;CDK2;MCM3;CDK1;MCM4;MCM6;MAD2L1;MCM2"
"2","Spliceosome_Homo sapiens_hsa03040","27/134",3.89098625983309e-10,3.7742566720381e-08,1.63338426273185e-08,1.58438273484989e-06,-1.77196951035021,38.3935969845194,"SF3B5;DDX46;SF3B6;SRSF1;PRPF19;EFTUD2;SNRPD1;TRA2B;SMNDC1;SRSF10;HNRNPA3;SF3A1;PPIL1;LSM5;WBP11;LSM4;LSM3;U2SURP;CHERP;HNRNPM;SNW1;SNRPG;SNRPE;SNRPF;HNRNPC;SLU7;RBM22"
"3","Pyrimidine metabolism_Homo sapiens_hsa00240","23/105",1.38854552442433e-09,8.97926105794402e-08,5.20862832760962e-08,3.36824631852089e-06,-1.73479274321871,35.3811136508997,"PRIM2;RRM1;NME2;TYMS;DCK;NME1;NME1-NME2;POLR3B;POLR3C;POLR2B;POLR1B;POLE2;POLR3E;POLD2;TWISTNB;POLR1C;POLR2D;LOC101060521;TK1;POLR2H;NT5C1B-RDH14;UMPS;POLR3K"
"4","RNA transport_Homo sapiens_hsa03013","29/172",6.82337819242325e-09,3.30933842332528e-07,1.48075313270757e-07,7.1816526936317e-06,-1.79439238254097,33.7398005400203,"POP5;NUP205;NUP107;GEMIN2;DDX20;NMD3;PHAX;NUP160;XPO1;NUP85;NUP43;NUP88;NDC1;EIF5B;EIF2B2;NUP133;RPP40;NUP153;TRNT1;RANGAP1;EIF2S1;THOC7;NUP35;NUP54;GEMIN6;EIF3F;RAN;EIF3A;NUP37"
"5","Huntington's disease_Homo sapiens_hsa05016","30/193",2.60432706152608e-08,1.01047889987212e-06,4.2916233077048e-07,1.66514984338946e-05,-1.80177807458307,31.4653629870021,"NDUFB6;NDUFB5;DCTN4;UQCR11;ATP5G3;UQCR10;COX5B;ATP5O;ATP5G1;COX7C;NDUFC2-KCTD14;UQCRH;POLR2B;POLR2D;POLR2H;NDUFA8;NDUFA6;NDUFA2;ATP5F1;UQCRHL;REST;NDUFS8;UQCRQ;NDUFS5;NDUFAB1;NDUFS3;TFAM;UQCRC2;SLC25A4;RCOR1"
"6","Oxidative phosphorylation_Homo sapiens_hsa00190","24/133",3.51660823058719e-08,1.13703666122319e-06,6.22608413068444e-07,2.01310053558797e-05,-1.69816138933168,29.1458560297247,"NDUFA8;NDUFA6;NDUFB6;NDUFB5;COX17;NDUFA2;UQCR11;ATP5G3;UQCR10;COX5B;ATP5F1;ATP5O;ATP5G1;COX7C;NDUFC2-KCTD14;UQCRH;UQCRHL;NDUFS8;UQCRQ;NDUFS5;NDUFAB1;NDUFS3;COX11;UQCRC2"
"7","DNA replication_Homo sapiens_hsa03030","12/36",8.59762435378905e-08,2.38277017805011e-06,2.42401720753025e-06,6.71799054658383e-05,-1.60585394172434,26.1259506252156,"PRIM2;RFC3;FEN1;RNASEH2A;RFC4;POLE2;POLD2;MCM3;MCM4;MCM6;SSBP1;MCM2"
"8","Parkinson's disease_Homo sapiens_hsa05012","23/142",5.12315681260047e-07,1.10432491293832e-05,5.43505043774165e-06,0.000117155531657987,-1.57679198504492,22.8387673116803,"NDUFA8;NDUFA6;NDUFB6;NDUFB5;NDUFA2;UQCR11;ATP5G3;UQCR10;COX5B;ATP5F1;ATP5O;ATP5G1;COX7C;NDUFC2-KCTD14;UQCRH;UQCRHL;NDUFS8;UQCRQ;NDUFS5;NDUFAB1;NDUFS3;UQCRC2;SLC25A4"
"9","RNA polymerase_Homo sapiens_hsa03020","11/32",2.08674722948231e-07,5.0603620314946e-06,5.03230157180704e-06,0.000117155531657987,-1.45540333894228,22.3877260656149,"POLR3B;POLR3C;POLR2B;POLR1B;POLR3E;TWISTNB;POLR1C;POLR2D;LOC101060521;POLR2H;POLR3K"
"10","Ribosome_Homo sapiens_hsa03010","22/137",1.04761881071765e-06,2.03238049279223e-05,9.84662149389865e-06,0.000191024456981634,-1.52797544876717,21.0386798485127,"MRPS17;MRPS15;RPL10;MRPS14;MRPL16;MRPL17;RPL35A;MRPL36;MRPL35;MRPL10;MRPS18C;MRPL22;MRPL11;MRPL30;MRPL20;MRPL3;MRPS9;MRPL1;RPL36AL;RPL22L1;MRPL9;RPL26L1"
