"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","Interferon Signaling_Homo sapiens_R-HSA-913531","10/196",1.86632248750388e-17,2.61285148250544e-16,3.48715089057778e-16,4.88201124680889e-15,-2.09449683865135,80.679969361329,"SP100;RSAD2;STAT2;MX1;ISG15;IFIT1;XAF1;SAMHD1;USP18;IFIT3"
"2","Interferon alpha/beta signaling_Homo sapiens_R-HSA-909733","9/68",1.72353184264344e-19,4.82588915940163e-18,8.36355118647753e-18,2.34179433221371e-16,-1.86500601844017,80.5771023342679,"RSAD2;STAT2;MX1;ISG15;XAF1;IFIT1;SAMHD1;USP18;IFIT3"
"3","Cytokine Signaling in Immune system_Homo sapiens_R-HSA-1280215","11/620",2.84031137722968e-14,2.65095728541436e-13,1.89125164853111e-13,1.7651682052957e-12,-2.38690462070546,74.4529915716808,"SP100;RSAD2;STAT2;MX1;ISG15;XAF1;IFIT1;SAMHD1;USP18;IFIT3;TNFSF13B"
"4","Immune System_Homo sapiens_R-HSA-168256","11/1547",5.8495656311563e-10,4.09469594180941e-09,4.1435131192252e-09,2.90045918345764e-08,-2.20681506188677,46.9157484454701,"SP100;RSAD2;STAT2;MX1;ISG15;IFIT1;SAMHD1;XAF1;USP18;IFIT3;TNFSF13B"
"5","Antiviral mechanism by IFN-stimulated genes_Homo sapiens_R-HSA-1169410","4/72",2.04489611065997e-07,9.5428485164132e-07,1.49211529432229e-06,6.96320470683734e-06,-2.07017651479216,31.8864085482609,"MX1;ISG15;IFIT1;USP18"
"6","ISG15 antiviral mechanism_Homo sapiens_R-HSA-1169408","4/72",2.04489611065997e-07,9.5428485164132e-07,1.49211529432229e-06,6.96320470683734e-06,-2.05994054562051,31.7287464877735,"MX1;ISG15;IFIT1;USP18"
"7","Regulation of IFNA signaling_Homo sapiens_R-HSA-912694","2/25",0.000155945638603569,0.000623782554414276,0.000470493377416947,0.00188197350966779,-1.81983341557794,15.9526653295639,"STAT2;USP18"
"8","TNFs bind their physiological receptors_Homo sapiens_R-HSA-5669034","1/24",0.0178557813765849,0.0555513198382642,0.0302041938171585,0.0939686029867153,-2.1236842905349,8.54873807153798,"TNFSF13B"
"9","Termination of translesion DNA synthesis_Homo sapiens_R-HSA-5656169","1/30",0.0222729936670376,0.0606461921801625,0.037328664500447,0.100533480379629,-2.04494992587404,7.77976737760408,"ISG15"
"10","TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway_Homo sapiens_R-HSA-5676594","1/17",0.0126788280285845,0.0443758981000456,0.021831749772763,0.0764111242046705,-1.77668540659578,7.76024518140232,"TNFSF13B"
"11","NS1 Mediated Effects on Host Pathways_Homo sapiens_R-HSA-168276","1/39",0.0288640579182608,0.0606461921801625,0.0479261863793405,0.100533480379629,-2.05752619920313,7.29425572973201,"ISG15"
"12","Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template_Homo sapiens_R-HSA-110313","1/37",0.0274029709510563,0.0606461921801625,0.0455803899839946,0.100533480379629,-2.0124091834551,7.23884480668067,"ISG15"
"13","Host Interactions with Influenza Factors_Homo sapiens_R-HSA-168253","1/41",0.0303230960900813,0.0606461921801625,0.0502667401898147,0.100533480379629,-2.03969078405518,7.13044407244669,"ISG15"
"14","Negative regulators of RIG-I/MDA5 signaling_Homo sapiens_R-HSA-936440","1/34",0.0252074931546333,0.0606461921801625,0.0420518424197437,0.100533480379629,-1.84972276103194,6.80811545570466,"ISG15"
"15","DNA Damage Bypass_Homo sapiens_R-HSA-73893","1/46",0.0339617455140867,0.0633952582929618,0.056095257564506,0.104711147453745,-1.84425549924499,6.23823206984084,"ISG15"
"16","TNFR2 non-canonical NF-kB pathway_Homo sapiens_R-HSA-5668541","1/95",0.0689523534447565,0.0975155606170039,0.111518090300179,0.157462924652505,-2.04838847607665,5.47808630037565,"TNFSF13B"
"17","SUMOylation of DNA damage response and repair proteins_Homo sapiens_R-HSA-3108214","1/75",0.0548158515070049,0.0949678942851873,0.0892641866632536,0.154420142627615,-1.84292908412786,5.35145299683332,"SP100"
"18","RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways_Homo sapiens_R-HSA-168928","1/79",0.0576590786731495,0.0949678942851873,0.0937550865953378,0.154420142627615,-1.81847511657946,5.18848696032161,"ISG15"
"19","SUMO E3 ligases SUMOylate target proteins_Homo sapiens_R-HSA-3108232","1/96",0.0696539718692885,0.0975155606170039,0.11261769662439,0.157462924652505,-1.84002080555199,4.90221205031696,"SP100"
"20","SUMOylation_Homo sapiens_R-HSA-2990846","1/101",0.0731546678958274,0.0975395571944365,0.118097193489378,0.157462924652505,-1.7893426525652,4.67945193877145,"SP100"
"21","Interferon gamma signaling_Homo sapiens_R-HSA-877300","1/93",0.0675476348055019,0.0975155606170039,0.109315160672695,0.157462924652505,-1.64290637827447,4.42750491925893,"SP100"
"22","Influenza Infection_Homo sapiens_R-HSA-168254","1/147",0.104789199519157,0.133368072115291,0.167084325166386,0.212652777484492,-1.9125156746835,4.31426159996881,"ISG15"
"23","DNA Repair_Homo sapiens_R-HSA-73894","1/285",0.193751703969665,0.235871639615244,0.299579628518764,0.364705634718495,-2.09301927039923,3.43501679525994,"ISG15"
"24","Infectious disease_Homo sapiens_R-HSA-5663205","1/348",0.231558162241294,0.270151189281509,0.353436712560855,0.412342831320997,-2.20265606941053,3.22231885991001,"ISG15"
"25","Post-translational protein modification_Homo sapiens_R-HSA-597592","1/521",0.327040520323839,0.366285382762699,0.482545805582878,0.540451302252823,-2.00147811667543,2.23699444923563,"SP100"
"26","Disease_Homo sapiens_R-HSA-1643685","1/725",0.425380892669747,0.45810249979819,0.604430722015684,0.650925392939967,-2.16960869981491,1.85451706484944,"ISG15"
"27","Innate Immune System_Homo sapiens_R-HSA-168249","1/807",0.460989656691509,0.478063347680084,0.645578901877226,0.669489231576383,-2.19580036120667,1.70038316549796,"ISG15"
"28","Metabolism of proteins_Homo sapiens_R-HSA-392499","1/1074",0.563179360308249,0.563179360308249,0.754071719008233,0.754071719008233,-1.93516390643291,1.11108813909603,"SP100"
