"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","NRF1 (human)","113/1356",2.9511977750432e-08,8.7650573918783e-06,1.24628921884596e-18,1.2338263266575e-16,-1.74329431531057,30.2260555431546,"MTCH2;ERCC6L;C5ORF24;CCNT2;SLC4A1AP;NUP107;BCCIP;CASC5;YEATS4;SMC4;HERC4;PSMD6;IPO9;HMGN1;SMARCC1;MORC3;CMC1;COG1;ZNF12;GTF2F2;MRPS18C;DOPEY1;ILF3;CKLF-CMTM1;ZFYVE16;DKC1;TFAM;TMEM161B;COX17;MRPL17;HMMR;NCAPH;GMCL1;COMMD8;CCNB1;SPAST;ORC6;NUP85;ISOC1;LYAR;ZBED4;SNX6;LRBA;CPSF3;SIAH1;PAICS;EIF2S1;ZWINT;GPN3;TADA2B;HNRNPM;SNW1;CDK1;EZH2;SUV39H2;MOCS2;ASNSD1;FASTKD2;SRP54;ZC3H8;DPY30;MRPL36;WDR43;NUDCD2;SCML1;NOB1;SPIN1;UBXN7;ZNF644;ENOPH1;ACP1;CCT3;EIF5B;EED;C14ORF119;VPS13C;PAPD4;MRPL45;UTP18;METTL23;PSMA6;TFDP1;DAD1;ZNF639;RASA1;MCM4;TRIM59;MCM6;DTL;RAPGEF6;MCM2;GTF2A1;USP14;MYCBP;SRSF1;GTPBP10;HSPD1;AURKA;PPP2CA;POLR2B;C10ORF2;SRSF10;CBR4;SF3A1;FAHD1;TRIT1;CENPF;POLR3B;ASXL2;MITD1;CKLF;RAN;MAD2L1"
"2","NRF1 (mouse)","131/1676",9.34012033736828e-08,1.38700787009919e-05,2.33057150558161e-19,3.46089868578869e-17,-1.65172895099516,26.7354820787279,"ATF2;MTCH2;DBR1;CCNT2;ECI1;YEATS4;TTF2;TOMM20;CDC20;GCSH;HERC4;FPGT;CWC22;NUSAP1;PMPCB;OIP5;TMPO;DDX18;SLC30A9;PCID2;WDR74;VRK1;UTP11L;GTF2F2;FBXW2;MED6;ILF3;KARS;KCTD14;GEMIN6;ASF1B;NUP205;PSMD14;CTBP2;COX18;IREB2;ZCCHC9;GMPS;MRPL17;NOLC1;NCAPH;GMCL1;ANAPC10;MRPL10;CORO1C;NUP85;ZNHIT6;ZBED4;TRAP1;LRBA;CPSF3;CPSF2;RPP40;MINA;LARP4;PAICS;PALB2;FBXO33;COQ5;CHERP;VIL1;KIF18B;YEATS2;MANSC1;COPS8;CPEB2;UBE2K;MCFD2;ABCD3;NCAPG2;ZC3H8;ADO;COX7C;CKS1B;HINT1;NOB1;SPIN1;UBXN7;RRP12;RRP15;MESDC2;CCT2;HSDL2;NUP133;PAPD4;HAUS6;MRPL48;MRPL45;TUBG1;RAD23B;MRPS9;PSMA3;MTF2;TCP1;CKS2;KIF2C;EAPP;RAPGEF6;LUC7L2;TRUB2;GTF2A1;GTF3C3;DCTN4;SRSF1;TM2D3;MRPS30;COX5B;AURKA;ATAD2B;PGRMC2;POLR2B;EXOSC8;POLR2D;VPS54;IARS2;RAB28;POLR2H;BUB1;RNF20;CASP8AP2;NPM1;NDUFA6;WDR12;GTF2H3;PRC1;SERBP1;NDUFAB1;EIF3F;TRIP13;POLR3K;TOMM5"
"3","PITX1 (human)","105/1448",4.9601417951142e-05,0.00491054037716306,1.23199816902404e-13,6.09839093666902e-12,-1.73488656197936,17.1953127826155,"ATF1;MTCH2;DBR1;C5ORF24;CEP120;EPRS;SMC3;TOMM20;CCAR1;CDC20;PAPOLG;LONP2;NEK2;DIP2B;MTPAP;AGFG1;TIPIN;MORC3;PUS1;COG1;PUS7;THAP1;LARS2;CKLF-CMTM1;MELK;MSH2;KCTD14;GEMIN6;ALDH7A1;DNMT1;PSMD12;CTBP2;GMPS;MGST2;WDR61;SKA3;RACGAP1;NUP85;PTPMT1;SMYD2;RBM12;EVI5;SNX6;TRAP1;ZNF143;SLC33A1;GOT2;CPSF2;GPN3;MRPL22;CCT6A;HNRNPM;GGCX;TBCE;NMT1;MCFD2;KIF11;ATP5G1;WDR43;XPO4;UBXN7;RRP12;GABPA;NME2;HAUS6;MRPL48;MRPL45;SLC25A15;POLR1B;ATG4C;MCM4;NAF1;EAPP;TKT;MCM2;GTF3C6;NIP7;SRSF1;PPM1G;PDF;PSMB5;TRA2B;ZNF627;POLR2D;C11ORF48;TMEM209;CCT4;GADD45GIP1;NOP58;SPAG5;AGL;PTGES3;NDUFA2;SAAL1;HIPK1;TRIT1;LRPPRC;CENPH;POLE2;NDUFAB1;POLR3E;CEBPZ;CKLF;EIF3A;TJP2"
"4","CRX (human)","98/1362",0.000119283975692118,0.00708546815611179,1.34811797829447e-12,5.00488799441821e-11,-1.71078624758943,15.4552490465218,"MTCH2;C5ORF24;UBE3C;EPRS;TOMM20;IPO5;OIP5;DIP2B;TIPIN;MORC3;WDR74;UTP11L;PUS7;TC2N;ILF3;CKLF-CMTM1;ZFYVE16;KARS;PSME4;SNRPG;ALDH7A1;DNMT1;PSMD12;WDR61;NCAPH;NME1-NME2;SPAST;PTPMT1;AMZ2;RBM12;CEP78;TRAP1;SLC33A1;CPSF2;RPP40;PALB2;CCT6A;COQ3;HNRNPM;GGCX;NDUFAF1;MRPS17;WDR47;MCFD2;DDX46;C15ORF61;CTDSPL2;TRIAP1;MAGT1;MRPL35;ATP5G1;WDR43;ATIC;SPIN1;UBXN7;TK1;DNM1L;RBM34;SPG11;RBM33;NME2;HAUS6;MRPL48;MRPL45;NME1;MCM4;RRN3;RPL10;TM2D1;NIP7;MTIF2;TYMS;CENPA;FAM117B;PPM1G;PDF;PSMB5;ZNF627;POLR2D;C6ORF203;C11ORF48;CCT4;GADD45GIP1;CASP8AP2;NOP58;NPM1;UTP6;PLEKHA1;PTGES3;HIPK1;TRIT1;UQCRHL;POLR3B;CENPH;GLOD4;DNAJA2;CKLF;EIF3A"
"5","PITX2 (human)","221/3528",7.70664550456105e-05,0.00572218428713658,3.31655829345613e-21,9.85017813156471e-19,-1.55859398888217,14.7611981212379,"ATF1;POP5;C5ORF24;NUP107;ARL6IP1;RAPH1;THUMPD3;JMJD1C;EPRS;FNBP1L;SMC3;CCAR1;CDC20;PSMD6;RASSF6;LONP2;KIF21A;DIP2B;AGFG1;TIPIN;BROX;WDR74;ZNF12;THAP1;NIF3L1;MTHFD1;PSME4;KCTD14;KIF20A;ALDH7A1;MTMR2;CTBP2;MGST2;WDR61;SKA3;MRPL20;SPAST;MAP7;DPH5;AMZ2;RBM12;LYAR;SNX6;TRAP1;ZRANB1;LRBA;URGCP-MRPS24;MINA;LARP4;GPN3;CCT6A;HNRNPM;KIAA1598;GIPC2;NDUFAF1;EZH2;MRPS17;FEN1;MAGEF1;OLA1;KIF11;MRPL35;WDR43;XPO4;UBXN7;RRP12;NME2;MRPL48;MRPL45;NME1;TMEM177;PSMA6;AEBP2;TKT;UMPS;CCDC90B;RPL10;DLST;MRPS30;TYMS;TANK;CENPA;FAM117B;PPP2CA;PDF;PSMB5;CCT8;CASP8AP2;UTP6;PTGES3;HIPK1;GTF2H3;PEX13;PLEKHA8;CENPF;LYRM4;CENPH;NDUFAB1;HDGF;TJP2;C16ORF87;SRP19;ZNF451;MTCH2;ZWILCH;CSE1L;PDCD6;TOMM20;IPO5;IPO9;PAPOLG;NEK2;OIP5;MTPAP;MORC3;SLC30A5;RINT1;PACRGL;ILF3;ACAP2;CKLF-CMTM1;MSH2;FANCD2;TMX1;SNRPE;ADNP;SNRPF;ISCU;ZCCHC8;DNMT1;PSMD12;GMPS;HMMR;NUP160;NME1-NME2;ACN9;ORC6;TMEM128;SMYD2;COX11;ECT2;EVI5;ACBD5;STIL;CPSF6;EIF2B2;CPSF2;RPP40;TBCA;LSM4;COQ5;COPS4;COQ3;COPS3;GGCX;NAT1;DMXL1;COPS2;CDK2;TBCE;CDK1;UBE2K;MCFD2;DDX46;TSEN15;C15ORF61;C1ORF174;ATP5G1;DNM1L;SPG11;TSFM;HAUS6;DDX52;CKAP5;DCK;C6ORF211;ASPM;SLC25A15;DDAH1;POLR1B;ATG4C;SPOPL;NAF1;EAPP;MCM2;RRN3;NDUFB5;GTF3C6;SRSF1;MTIF2;ZBTB41;CRYZ;PPM1G;ATAD2B;FBXL20;CAND1;POLR2B;TRA2B;ZNF627;POLR2D;C6ORF203;TMEM209;NUP43;LRRC8B;GADD45GIP1;USP24;RNF20;ATE1;NOP58;SPAG5;NDUFA2;DONSON;TRIT1;POLR3B;GLOD4;POLE2;POLR3E;DNAJA2;EIF3F;ABCE1;CKLF"
"6","GFI1 (human)","98/1427",0.000608171848215531,0.0258038627028589,1.63315851676193e-11,4.44696403928428e-10,-1.70259908494697,12.6078365824017,"MTCH2;C5ORF24;PDCD6;UBE2D2;THUMPD1;EPRS;TOMM20;IPO5;CCAR1;HERC4;PAPOLG;KIF21A;DIP2B;MTPAP;TIPIN;MORC3;SLC30A5;C11ORF83;ALG14;WDR74;UTP11L;PUS7;ACAP2;CKLF-CMTM1;ZNF92;MSH2;PSME4;SNRPG;KCTD14;SNRPE;ALDH7A1;ATP5S;SLBP;DNMT1;PSMD12;WDR61;BCL2L12;MIER1;SMYD2;RBM12;SNX6;STIL;LRBA;CPSF2;LSM4;COPS4;CCT6A;GGCX;UBE2T;GIPC2;NDUFAF1;EZH2;MRPS17;MCFD2;DDX46;C15ORF61;OLA1;C1ORF174;MRPL35;ATP5G1;TTC27;WDR43;RRP12;NME2;KIF23;MRPL48;RABGGTB;MRPL45;TUBG1;RANGAP1;PSMA6;DDAH1;BIRC5;MCM4;UMPS;CCDC90B;GTF3C6;FAM117B;PPM1G;ATAD2B;PDF;PSMB5;POLR2B;ZNF627;POLR2D;C6ORF203;NUP43;CCT4;GADD45GIP1;CASP8AP2;NOP58;PLEKHA1;DONSON;HIPK1;GTF2H3;GLOD4;CKLF;EIF3A"
"7","CEBPD (human)","102/1495",0.000588861053461787,0.0258038627028589,8.60194817959717e-12,2.83864289926707e-10,-1.69475847246976,12.6044615986649,"MTCH2;C5ORF24;UBE3C;ARL6IP1;GPATCH4;FNBP1L;SMC3;CCAR1;HMGN4;OIP5;MTPAP;AGFG1;SMARCC1;MORC3;PUS1;WDR74;TC2N;GTF2F2;MED7;NIF3L1;MSH2;SNRPG;SNRPE;ZCCHC8;ATP5S;DNMT1;PSMD12;RNASEH2A;IREB2;CDCA7;WDR61;SCFD1;SPAST;PDCD11;NUP85;C1ORF109;PTPMT1;PNPO;ZRANB1;NEK4;GOT2;CPSF2;SIAH1;NFXL1;NUP153;LARP4;COQ5;GPN3;COPS4;NAT1;EBPL;NDUFAF1;HNRNPC;UBE2K;MRPS17;SUV39H2;MRPS15;OLA1;ETFA;C1ORF174;BRCA1;KIF11;MTO1;KIF15;NUDCD2;SPTLC2;DNM1L;C17ORF89;ACTL6A;NME2;MRPL47;RANGAP1;NDUFS5;SPOPL;MCM4;EEF1E1;DTL;MCM2;TRUB2;GTF3C3;GTF3C6;NIP7;HEATR1;PPM1G;ZNF627;POLR2D;LEO1;METTL5;ZNF622;SRSF10;CCT4;PTGES3;SAAL1;HIPK1;TRIT1;CENPH;LYRM5;POLE2;C16ORF80;NDUFAB1;PPIL4;TOMM5"
"8","ESR1 (human)","102/1513",0.000881132366472433,0.0327120391052891,1.64702371825344e-11,4.44696403928428e-10,-1.70345454940574,11.9826149321267,"DBR1;UBE2D2;SMC4;GCSH;HERC4;KIAA1109;OIP5;KNTC1;DIP2B;MORC3;TBCCD1;SLC30A5;C21ORF59;COG2;NIF3L1;CKLF-CMTM1;ZFYVE16;TMX1;ALDH7A1;DNMT1;PSMD12;TMED10;CBFB;MRPL16;SKA3;NCAPH;NME1-NME2;DHX33;SMYD2;PIBF1;ZRANB1;GOT2;NUP153;LARP4;COPS4;HNRNPM;SNW1;GGCX;YEATS2;KIF4A;HNRNPD;NMT1;HNRNPC;EZH2;GPSM2;DDX46;DPY30;MAGT1;BRCA1;MRPL35;TTC27;WDR43;TRIM5;TK1;RRP12;DNM1L;RBM33;STRBP;LRRC40;PAPD4;MRPL47;QRSL1;TUBG1;RANGAP1;NME1;METTL23;ASPM;ATG4C;MCM4;LUC7L2;CCDC90B;SF3B5;STOML2;TM2D1;GTF3C6;TYMS;METTL21A;HSPD1;PPM1G;REPIN1;POLR2B;USP1;HEATR3;VPS54;GADD45GIP1;RRM1;NPM1;PTGES3;GTF2H3;TRIT1;LYRM4;CENPH;KIAA0101;POLE2;APEX1;NDUFAB1;NBR1;CEBPZ;ABCE1;CKLF;RPL26L1;LIMS1"
"9","RXRA (human)","96/1422",0.00119451666981968,0.0388424458538378,6.44100749168373e-11,1.36641373216433e-09,-1.65694309648387,11.1512496331089,"GPSM2;MTCH2;DDX46;MRPS14;NCAPG2;OLA1;DPY30;C1ORF174;CTDSPL2;THUMPD1;MAGT1;BRCA1;SMC4;WDR43;KIF15;HERC4;KIAA1109;TRIM5;NUF2;OIP5;RRP12;DNM1L;RBM33;HMGN1;MORC3;ACTR6;SLC30A5;C21ORF59;C11ORF83;COG2;NME2;LRRC40;HAUS6;MRPL48;QRSL1;TUBG1;RANGAP1;THAP1;METTL23;CKLF-CMTM1;MELK;ZNF92;ESRP1;KCTD14;MCM4;LUC7L2;PSMD12;CBFB;GTF3C6;MRPL16;RNF219;MTIF2;NCAPH;GMCL1;HSPD1;PDF;DHX33;SMYD2;USP1;HEATR3;NUP43;PIBF1;SRSF10;GADD45GIP1;CASP8AP2;PLEKHA1;LRBA;AGL;CPSF2;URGCP-MRPS24;NUP153;PEX13;TRIT1;FANCF;VIL1;COPS4;HNRNPM;SNW1;LYRM4;CENPH;KIAA0101;POLE2;APEX1;KIF4A;NBR1;TBCE;NMT1;CEBPZ;NOL11;FARSA;CKLF;EIF3A;RPL26L1;EZH2;LIMS1;CDKN3"
"10","E2F4 (human)","25/270",0.00208347798123999,0.0441994971734484,8.3313010218226e-06,4.85175765388492e-05,-1.79184228806122,11.0623266133417,"GTF2A1;DDX46;ASNSD1;SRSF1;CDCA7;FOXM1;SMC3;COX7C;AURKB;RASSF6;TWISTNB;DIP2B;ZNF367;RABGAP1L;TIPIN;GIN1;SIAH1;PAICS;TFDP1;TMX1;TCP1;CDK1;NMT1;MCM6;HNRNPC"
