"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","mmu-miR-344b","149/1909",1.14241822442157e-08,7.76844392606666e-06,3.45066812197869e-07,0.000234645432294551,-3.27745916166429,59.9366441440945,"ANKRD13C;ZNF451;GOLT1B;GTF2B;UBE2D2;JMJD1C;CPOX;GPATCH4;CAAP1;SMC3;IPO9;PPIP5K2;ZXDB;PAPOLG;MPC2;RASSF6;PMPCB;LONP2;KIF21A;AGFG1;BORA;MAGI3;SLC30A5;DYRK1A;ALG14;COG2;COG1;DNAJB14;ACAP2;ZFYVE16;SNRPG;TFAM;PHIP;ADNP;ANKRA2;SLBP;LRRC57;COX18;UBA5;YTHDC2;UBR3;MRPL17;GSKIP;UBR1;FUT4;ORC5;SPAST;PRRC1;PTPMT1;ZNHIT6;RBM12;EVI5;CEP76;DNAJC19;PLK4;NAA50;CPSF6;FANCL;HSPA4;KLHL23;MARCH7;LARP4;ACADSB;LSM3;MED13L;TADA2B;MRPL30;DIAPH3;CNIH1;NASP;GGCX;NMT1;RAD17;CPEB2;RAD18;RCOR1;SLC35F6;MOCS2;MRPS14;KIF14;HMGB2;FAM208B;MCM10;BRCA1;FOXM1;SCML1;SPTLC2;XPO4;TLK1;C21ORF91;ZNF644;ZNF367;RRP15;CEP55;ZYG11B;RBM15;SMIM15;DST;H2AFZ;VPS13C;ACTL6A;LRRC40;HAUS6;ATP5F1;RANGAP1;EHHADH;MCM3;MCM4;TRUB1;FH;C2ORF69;SRSF1;DDX20;HMGCR;TANK;HSPA13;FAM117B;ZBTB41;FBXL20;PPP1R2;PGRMC2;TRA2B;EXOSC8;METTL5;LRRC8B;EPS15;METTL9;SMNDC1;SRSF10;AASDHPPT;E2F7;CCT5;MAP4K3;CMTM8;HNRNPA3;MDH1;HIPK1;PEX13;PLEKHA8;CUL4A;KBTBD4;ETNK1;PSMC2;NBR1;RPL22L1;ATP13A3;SLIRP;ACTR10;METAP2"
"2","hsa-miR-1284","148/1931",4.14717381589427e-08,1.16521596682958e-05,1.0269860541196e-06,0.000272537194657424,-3.40800508697982,57.9301349086987,"ANKRD13C;C5ORF24;CCNT2;GOLT1B;ZWILCH;CEP120;THUMPD3;YEATS4;CAAP1;TOMM20;PPIP5K2;PAPOLG;LONP2;NEK2;KIF21A;DIP2B;ZNF720;ZNF443;AGFG1;MORC3;ALG9;GIN1;COG2;IFT80;ZNF12;GTF2F2;THOC7;DOPEY1;TMEM258;PHIP;ADNP;ALDH7A1;SLBP;CTBP2;IREB2;UBR3;NOLC1;FBXO45;NUP160;NCAPH;ZBTB2;ORC4;BLOC1S6;SPAST;C1ORF109;RBM12;ECT2;NUS1;ZRANB1;CPSF6;CPSF2;NUP153;LARP4;FBXO33;MED13L;MRPL30;AIMP1;NASP;HOOK1;CDK1;NMT1;TADA1;CPEB2;UBE2K;DDX46;KIF14;HMGB2;ATP5G3;MAGT1;KIF11;MRPL35;MTO1;AFF4;WDR43;SENP6;NUDCD2;SPTLC2;TRIM5;SPIN1;CHAMP1;TLK1;ZNF765;DNM1L;ACP1;RRP15;GABPA;CEP55;ZYG11B;RFC3;NAA30;SMIM15;NUP133;STRBP;TSC22D2;CACYBP;KIF23;CTTNBP2NL;PIGC;ASPM;DBF4;TMEM33;RASA1;AGPS;DEPDC1;SDE2;SPOPL;PXYLP1;CD46;DTL;SLC25A4;RAPGEF6;FXN;MYCBP;NIP7;HEATR1;DDX20;GTPBP10;TANK;HSPA13;AURKB;CRYZ;ATAD2B;CAND1;TRA2B;EXOSC8;TMEM68;LRRC8B;EPS15;MEST;SMNDC1;SRSF10;CBR4;AASDHPPT;USP24;HIPK1;PEX13;U2SURP;PLEKHA8;REST;LYRM4;ETNK1;SERBP1;NBR1;ASXL2;RLIM;RTN4IP1;EIF3A;MAD2L1"
"3","hsa-miR-584","143/1855",5.14065867718932e-08,1.16521596682958e-05,1.20236997642981e-06,0.000272537194657424,-3.20719857013606,53.8280156796856,"ANKRD13C;DBR1;C5ORF24;SLC4A1AP;UBE3C;FBXO22;C14ORF166;IPO9;CCDC91;SNRPD1;PAPOLG;MPC2;MTPAP;AGFG1;TMPO;HMGN1;SLC30A9;SUPT16H;MORC3;MAGI3;RECQL;TC2N;FBXO11;FBXW2;THOC7;TANC1;ACAP2;CKLF-CMTM1;ZNF92;TMX1;NHLRC2;CDCA5;IREB2;UBR3;FBXO45;PDS5A;FUT4;ORC4;BLOC1S6;DHX33;PLK4;NAA50;CBX3;SLC33A1;RITA1;LARP4;BRI3BP;ACADSB;SRPK1;TADA2B;AIMP1;DIAPH3;HOOK1;UQCRQ;DMXL1;COPS2;DNAJC10;EBPL;TRMT11;RCOR1;MCFD2;C15ORF61;OLA1;ZC3H8;DPY30;ATP5G3;CTDSPL2;MAGT1;BRCA1;KIF11;PRPF19;MTO1;AFF4;MRPL3;NUDCD2;SPIN1;C21ORF91;ZNF765;JARID2;RBM33;ZYG11B;NAA30;DST;H2AFZ;ACTR6;C14ORF119;LRRC40;CACYBP;HAUS6;RAD23B;ZNF639;EHHADH;AGPS;SPOPL;MCM4;TRIM59;SOS1;DTL;SMIM20;TRUB1;C11ORF54;RPL10;C2ORF69;DCTN4;SRSF1;GTPBP10;ZNF518A;UQCR10;METTL21A;HSPA13;FAM117B;ZBTB41;C4ORF33;PPP2CA;FBXL20;PGRMC2;CAND1;ZNF627;TWISTNB;PDSS2;NUP43;LRRC8B;ZNF468;ZNF622;METTL9;SRSF10;AASDHPPT;CCT5;SF3A1;PPIL1;VWA3A;PEX13;LRPPRC;MZT1;PLEKHA8;POLR3B;ETNK1;TRMT5;ASXL2;RLIM;RTN4IP1;MBTPS2;EIF3A"
"4","hsa-miR-3144-3p","122/1548",1.76199331440301e-07,2.99538863448512e-05,3.07926649904337e-06,0.000523475304837373,-2.5046267353546,38.9510781629331,"C5ORF24;ICE2;CEP120;RAPH1;BUB1B;JADE3;MANEA;TOMM20;FAM204A;IPO5;IPO9;FPGT;KIF21A;AGFG1;ZNF320;SUPT16H;ALG9;GIN1;DYRK1A;ZNF12;TC2N;FBXO11;DEPDC1B;ACAP2;ZFYVE16;RFX7;TMX1;TEP1;TFAM;PHIP;ZCCHC8;TMED10;CDCA3;CDCA7;UBR3;FUT4;MRPL10;RPAP3;EVI5;LYAR;DNAJC19;NAA50;NUS1;RABGAP1L;ZRANB1;CPSF6;LARP4;ACADSB;FBXO33;EIF2S1;FANCF;QDPR;CCT6A;CDK2;UBE2K;RCOR1;SUV39H2;FASTKD2;KIF14;OLA1;ATP5G3;CTDSPL2;MRPL35;EDRF1;SPTLC2;XPO4;TAPT1;GABPA;RBM33;NDC1;NCOA2;ZYG11B;TSFM;RFC3;SMIM15;DIS3;COMMD2;LRRC40;MRPL47;HAUS6;DDX52;MRPL45;RAD23B;DCK;SLC25A15;WRAP73;MTF2;SPOPL;DTL;SKIV2L2;MYCBP;C2ORF69;DDX20;UQCR11;MFF;METTL21A;GGA2;FBXL20;TMEM68;LRRC8B;METTL9;SRSF10;E2F7;RNF20;CMTM8;HNRNPA3;RRM1;YIPF4;GTF2H3;PEX13;GTF2H5;LRPPRC;REST;PSMC6;TMEM56;ETNK1;SERBP1;NBR1;RPL22L1;TOMM5;SPC25;LIMS1"
"5","mmu-miR-1194","137/1953",1.6878352652278e-05,0.00191287996725817,0.000157516631332161,0.0178518848843116,-3.41326775060554,37.5100331240604,"ATF2;C5ORF24;CCNT2;ZWILCH;ICE2;RAPH1;BCCIP;THUMPD3;CPOX;JADE3;KIAA1109;IPO9;ZXDB;PAPOLG;PMPCB;DIP2B;MTPAP;TMPO;SMARCC1;MORC3;MAGI3;MELK;ZFYVE16;PSME4;PHIP;ALDH7A1;ATP5S;MTMR2;TMEM161B;TMED10;PARPBP;CBFB;ANP32A;YTHDC2;FBXO45;UBR1;GMCL1;FUT4;ANAPC11;CCNB2;ORC4;CCNB1;C1ORF109;MIER1;MAP7;COX11;LLPH;PIBF1;ZBED4;NAA50;ZRANB1;RAB4A;CBX3;CPSF2;SIAH1;MEMO1;STAM;EIF2S1;COQ5;MRPL22;TADA2B;MRPL30;COQ2;NAT1;HOOK1;COPS2;GIPC2;HNRNPD;TADA1;MANSC1;TRMT11;SCYL3;SUV39H2;MOCS2;MCFD2;USP38;AP4E1;OLA1;PCTP;KIF11;FOXM1;ADO;MRPL35;AFF4;XPO1;SCML1;XPO4;CHAMP1;C21ORF91;RRP12;RBM33;SMIM15;DST;ATMIN;CTTNBP2NL;EHHADH;SPOPL;MCM4;CD46;SLC25A4;RAPGEF6;SKIV2L2;MCM2;TRUB1;MYCBP;C2ORF69;MRPS33;HEATR1;DLST;TANK;ZBTB41;FBXL20;PPP1R2;GMDS;TMEM68;TWISTNB;LRRC8B;MEST;METTL9;SRSF10;AASDHPPT;RNF20;HNRNPA3;NDUFA6;RYK;KIDINS220;AGL;PEX13;MZT1;REST;PRC1;DNAJA2;ABCE1;ACTR10;MBTPS2;CEP44;LIMS1"
"6","hsa-miR-21","130/1900",8.84417122092959e-05,0.00601403643023212,0.000614272393877887,0.0417705227836963,-3.24910129508184,30.3244044736846,"LTV1;ICE2;PDCD6;UBE2D2;RAPH1;YEATS4;JADE3;TTF2;IPO5;GLS;IPO9;PAPOLG;RAVER2;RASSF6;DIP2B;AGFG1;ALG9;DNAJB14;TC2N;FBXO11;ZFYVE16;MSH2;PHIP;ADNP;KCTD18;MTMR2;LRRC57;TMED10;CBFB;COX18;DDX1;UBR3;CDCA8;NCAPG;MRPL17;RPAP3;ZBTB2;CORO1C;RAD51AP1;ORC4;COMMD8;PRRC1;SPATA5L1;C1ORF109;ZNHIT6;C16ORF52;NAA50;ACBD5;NOP14;ZRANB1;EIF2S1;LSM3;SRPK1;MRPL30;COPS4;GGCX;UQCRQ;UBE2K;TOP2A;SUV39H2;SLC35F6;ABCD3;FASTKD2;AP4E1;FAM208B;MCM10;ATP5G3;EDRF1;SPTLC2;XPO4;SPIN1;MRPL9;DNM1L;ZNF367;RBM33;NCOA2;ZYG11B;HSDL2;NAA30;ACTR6;C14ORF119;DDX52;LATS1;TFDP1;DDAH1;TMEM33;RASA1;DEPDC1;TRIM59;SLC25A4;RAPGEF6;SOS2;FXN;RBM22;TRUB1;MYCBP;DCTN4;SRSF1;GTPBP10;ZNF518A;HMGCR;METTL21A;HSPA13;ZBTB41;ATAD2B;C4ORF33;PGRMC2;TMEM68;E2F3;LRRC8B;CBR4;AASDHPPT;CCT5;USP24;TSNAX;LIMS3;FAHD1;PLEKHA1;GTF2H5;PLEKHA8;KBTBD4;REST;POLR3B;TMEM56;ETNK1;TRMT5;DNAJA2;AGGF1;MBTPS2;TOMM6"
"7","hsa-miR-590-5p","130/1900",8.84417122092959e-05,0.00601403643023212,0.000614272393877887,0.0417705227836963,-3.24080302866173,30.2469553686859,"LTV1;ICE2;PDCD6;UBE2D2;RAPH1;YEATS4;JADE3;TTF2;IPO5;GLS;IPO9;PAPOLG;RAVER2;RASSF6;DIP2B;AGFG1;ALG9;DNAJB14;TC2N;FBXO11;ZFYVE16;MSH2;PHIP;ADNP;KCTD18;MTMR2;LRRC57;TMED10;CBFB;COX18;DDX1;UBR3;CDCA8;NCAPG;MRPL17;RPAP3;ZBTB2;CORO1C;RAD51AP1;ORC4;COMMD8;PRRC1;SPATA5L1;C1ORF109;ZNHIT6;C16ORF52;NAA50;ACBD5;NOP14;ZRANB1;EIF2S1;LSM3;SRPK1;MRPL30;COPS4;GGCX;UQCRQ;UBE2K;TOP2A;SUV39H2;SLC35F6;ABCD3;FASTKD2;AP4E1;FAM208B;MCM10;ATP5G3;EDRF1;SPTLC2;XPO4;SPIN1;MRPL9;DNM1L;ZNF367;RBM33;NCOA2;ZYG11B;HSDL2;NAA30;ACTR6;C14ORF119;DDX52;LATS1;TFDP1;DDAH1;TMEM33;RASA1;DEPDC1;TRIM59;SLC25A4;RAPGEF6;SOS2;FXN;RBM22;TRUB1;MYCBP;DCTN4;SRSF1;GTPBP10;ZNF518A;HMGCR;METTL21A;HSPA13;ZBTB41;ATAD2B;C4ORF33;PGRMC2;TMEM68;E2F3;LRRC8B;CBR4;AASDHPPT;CCT5;USP24;TSNAX;LIMS3;FAHD1;PLEKHA1;GTF2H5;PLEKHA8;KBTBD4;REST;POLR3B;TMEM56;ETNK1;TRMT5;DNAJA2;AGGF1;MBTPS2;TOMM6"
"8","hsa-miR-4637","115/1553",8.28068801013054e-06,0.00112617356937775,7.76652453244147e-05,0.0105624733641204,-2.49243455043099,29.1654335026082,"ANKRD13C;CCNT2;ARL6IP1;RAPH1;BCCIP;TXNDC12;TOMM20;IPO5;GLS;IPO9;PPIP5K2;RAVER2;MTPAP;ALG9;TC2N;THAP1;RFX7;TMX1;PHIP;KCTD18;ALDH7A1;ASF1B;PARPBP;IREB2;CDCA8;NOLC1;GSKIP;FBXO45;NUP160;MRPL10;ORC4;PRRC1;AP5M1;RACGAP1;MIER1;EVI5;ZBED4;NAA50;NUS1;ZNF143;ZRANB1;HSPA4;SIAH1;SUCO;LNPEP;STAM;LARP4;ACADSB;FBXO33;CHERP;MRPL30;TIMM10B;GGCX;CDK2;TRMT13;COPS8;UBE2K;RCOR1;SUV39H2;BTG3;DDX46;CETN3;OLA1;ZC3H8;MRPL35;AFF4;XPO1;C21ORF91;DNM1L;RRP15;NDC1;ZYG11B;NAA30;SMIM15;DIS3;VPS13C;MRPS23;PAPD4;TIMM23;CACYBP;DDAH1;AEBP2;ESRP1;EHHADH;MTF2;GART;FXN;USP14;GTF3C3;MYCBP;DCTN4;DLST;ZNF518A;ATAD2B;PPP1R2;CAND1;TMEM68;TWISTNB;E2F3;CBR4;E2F7;TSNAX;AGL;HIPK1;GTF2H5;LRPPRC;MZT1;RPIA;SERBP1;POLR3E;RLIM;AGGF1;RPL22L1;ATP13A3;CEP44"
"9","mmu-miR-1941-3p","121/1738",7.68446746808783e-05,0.00601403643023212,0.000523848885921796,0.0417705227836963,-2.94457186162972,27.8960622499648,"ZNF451;DBR1;C5ORF24;ARL6IP1;ICE2;UBE2D2;RAPH1;CAAP1;JADE3;GLS;IPO9;ZXDB;PAPOLG;MPC2;NUSAP1;DIP2B;GYG1;COG8;SLC30A5;DNAJB14;FBXW2;TOM1L1;ILF3;ACAP2;ZFYVE16;SNRPE;PHIP;ADNP;PSMD12;TMED10;CBFB;IREB2;UBR3;MRPL17;GSKIP;PDS5A;HNRNPLL;ZBTB2;ORC4;PPCS;MIER1;RBM12;ECT2;C16ORF52;ZRANB1;CPSF6;SUCO;STAM;EIF2S1;CCT6A;DMXL1;COPS2;TADA1;CPEB2;UBE2K;RCOR1;SUV39H2;AP4E1;OLA1;MCM10;ADO;AFF4;SENP6;HINT1;XPO1;SPTLC2;XPO4;TRIM5;PBK;TLK1;UBXN7;C21ORF91;GABPA;ZYG11B;NAA30;ACTR6;VPS13C;COMMD2;CACYBP;HAUS6;QRSL1;CCNA2;LATS1;AEBP2;RASA1;EHHADH;MTF2;SDE2;PXYLP1;SOS1;DTL;GART;FXN;RBM22;GTF3C3;DLST;ZBTB41;NT5DC1;PPP1R2;PDF;CAND1;TWISTNB;SRSF10;CBR4;AASDHPPT;MAP4K3;HNRNPA3;YIPF4;TAF11;VWA3A;HIPK1;PEX13;U2SURP;CUL4A;TMEM56;ETNK1;DNAJA2;RLIM;ATP13A3;MBTPS2;MAD2L1"
"10","hsa-miR-1244","123/1768",6.87866217400922e-05,0.00601403643023212,0.000481673357809141,0.0417705227836963,-2.86665448320755,27.4754535733248,"ANKRD13C;SRP19;DBR1;ARL6IP1;THUMPD3;ARID4B;PHAX;JADE3;FBXO22;GCSH;IPO9;RAVER2;PMPCB;DIP2B;AGFG1;TMPO;SLC30A9;BORA;MAGI3;SLC30A5;ALG14;FBXO11;FBXW2;TANC1;PACRGL;ZFYVE16;TFAM;NHLRC2;TMEM161B;TMED10;CBFB;UBA5;UBR3;FBXO45;ANAPC11;ARHGAP21;ZNHIT6;MAP7;AMZ2;RBM12;EVI5;C16ORF52;NUS1;ACBD5;CPSF2;PHKB;C12ORF73;STAM;MARCH7;LARP4;PAICS;QDPR;RHEB;COPS2;NDUFAF4;KIF4A;GIPC2;CDK1;UBE2K;MCFD2;MRPS14;MAGEF1;OLA1;ATP5G3;MAGT1;FOXM1;ADO;SENP6;SPTLC2;C21ORF91;ENOPH1;RRP15;CEP55;NAA30;ATMIN;DIS3;VPS13C;COMMD2;ATP5F1;DCK;CTTNBP2NL;LATS1;TMEM33;RASA1;AGPS;MCM4;PXYLP1;TRIM59;NUP54;EEF1E1;UMPS;SLC25A4;MYCBP;HEATR1;ZNF518A;RCHY1;MRPL57;ZBTB41;HSPD1;GGA2;FBXL20;MARVELD2;TRA2B;E2F3;LRRC8B;SRSF10;AASDHPPT;RRM1;AGL;YIPF4;NLE1;GTF2H5;U2SURP;TRMT5;APEX1;SERBP1;POLR3E;RLIM;AGGF1;RTN4IP1;CEP44;LIMS1;LAMTOR5"
