"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","STAT1","2/196",0.00922533013006754,0.150698214839322,0.0148517734783762,0.200810122304731,-1.77310067649832,8.30839923380987,"STAT2;ISG15"
"2","RUNX3","1/41",0.0303230960900813,0.150698214839322,0.0412346895837454,0.200810122304731,-1.41060433949803,4.93125498716242,"SP110"
"3","CREM","1/39",0.0288640579182608,0.150698214839322,0.0393038041432546,0.200810122304731,-1.38826812494978,4.92163002772024,"SP100"
"4","CHD1","1/65",0.0476727156984095,0.150698214839322,0.064154212488718,0.200810122304731,-1.4069290605085,4.28184233508021,"ISG15"
"5","IRF3","1/75",0.0548158515070049,0.150698214839322,0.0735682940038686,0.200810122304731,-1.42339828108401,4.13322957600356,"ISG15"
"6","MYB","1/84",0.0612018873028089,0.150698214839322,0.0819733647574199,0.200810122304731,-1.47299716722044,4.11493137810392,"SP100"
"7","STAT6","1/83",0.0604943216512209,0.150698214839322,0.0810426179145603,0.200810122304731,-1.4174797044113,3.97632225326279,"STAT2"
"8","ETS1","1/102",0.0738533301407692,0.150698214839322,0.0985929654695871,0.200810122304731,-1.4990066807428,3.90592300023197,"SP100"
"9","CEBPA","1/113",0.0815062417217352,0.150698214839322,0.108625388544506,0.200810122304731,-1.46993923566296,3.6852489031125,"SP110"
"10","SMARCC1","1/114",0.0821990262759939,0.150698214839322,0.109532793984399,0.200810122304731,-1.44141271373886,3.60153084805474,"STAT2"
"11","SMARCC2","1/114",0.0821990262759939,0.150698214839322,0.109532793984399,0.200810122304731,-1.42918437509655,3.57097697655012,"STAT2"
"12","CBX3","1/114",0.0821990262759939,0.150698214839322,0.109532793984399,0.200810122304731,-1.37252780088461,3.42941419038588,"SP100"
"13","PML","1/178",0.125536559034644,0.203499962949194,0.166027998912211,0.268977636208415,-1.50718641539299,3.12765033290674,"SP100"
"14","SIN3A","1/214",0.149066809041007,0.207148524473711,0.19647136175799,0.272248995434891,-1.41913558421387,2.70112688577288,"ISG15"
"15","SMARCA4","1/219",0.152287759686545,0.207148524473711,0.200625387072518,0.272248995434891,-1.41424031680879,2.66157678862193,"STAT2"
"16","ILF2","1/184",0.129499976422214,0.203499962949194,0.171167586678082,0.268977636208415,-1.29262075624082,2.64221322929642,"IFIT1"
"17","SMAD4","1/245",0.168854066102859,0.207148524473711,0.221938979169388,0.272248995434891,-1.36725962956977,2.43197266533411,"ISG15"
"18","STAT3","1/246",0.169485156387581,0.207148524473711,0.222749178083092,0.272248995434891,-1.36295936825637,2.41923915219719,"STAT2"
"19","ILF3","1/297",0.201084146366905,0.232834274740627,0.263147634865381,0.304697261423073,-1.28001416909363,2.0531834571317,"IFIT3"
"20","FOXP3","1/350",0.232730818643778,0.256003900508156,0.303260858439166,0.333586944283082,-1.25054853723569,1.8231406700824,"SP110"
"21","CTNNB1","1/398",0.260378510222284,0.272777486899536,0.338003161219576,0.35409854984908,-1.30514692187523,1.75623036284791,"ISG15"
"22","EP300","1/473",0.301723055845899,0.301723055845899,0.389392051036828,0.389392051036828,-1.29611288660863,1.55306171378282,"STAT2"
