"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","hsa-miR-16-5p","163/1555",1.24502398560679e-20,3.62799989405818e-17,2.04612754554007e-12,5.96241566770377e-09,-10.150573707963,465.22664720293,"SRP19;CCNT2;SLC4A1AP;UBE3C;GOLT1B;RAPH1;BCCIP;GPATCH4;CAAP1;TTF2;IPO5;CDC20;EFTUD2;GOLGA5;PPIP5K2;PAPOLG;OIP5;KPNA2;HMGN1;SUPT16H;TBCCD1;WDR75;SARS;WBP11;MSH2;DKC1;TEP1;PSME4;KIAA0368;PHIP;DAP3;PSMD12;TMEM161B;LRRC57;STXBP3;UBR3;CDCA8;NCAPG;NMD3;OMA1;NUP160;MRPL10;ZBTB2;BCL2L12;MRPL20;ORC4;RACGAP1;PNPO;MAP7;LYAR;SNX6;ACBD5;NOP14;ZRANB1;EIF2B2;GOT2;PHKB;LSM5;LARP4;CHERP;SRPK1;TADA2B;AIMP1;RCL1;TIMM10B;COQ3;YRDC;NDUFAF4;DNAJC10;CDK1;TRMT13;STT3B;NOL11;CPEB2;RCOR1;MCFD2;FASTKD2;MRPS14;PAK1IP1;KIF14;ATP5G3;BRCA1;AFF4;WDR43;SENP6;MRPL3;XPO1;MRPL1;NOB1;XPO4;TLK1;RRP12;ZNF644;JARID2;ZNF367;RRP15;GABPA;CEP55;COA6;CCT3;EIF5B;HSDL2;TSC22D2;MRPS23;KIF23;DDX52;RABGGTB;RANGAP1;CKAP5;RAD23B;LATS1;DNAJC2;TCP1;POLR1C;BIRC5;KIF2C;TRUB2;GTF3C3;RPL10;HEATR1;ATL2;SRSF1;MALSU1;AURKB;HSPD1;FBXL20;IFT74;NT5DC1;PDF;PSMB5;HEATR3;E2F3;CCT8;ZNF622;PMS1;E2F7;SEC24B;PPIL1;TRMT10C;PLEKHA1;KIDINS220;YIPF4;SSRP1;PEX13;NLE1;LRPPRC;U2SURP;CUL4A;CENPF;EIF3M;ETNK1;PSMC2;SERBP1;DNAJA2;ASXL2;HDGF;EIF3F;ATP13A3;SLIRP;RAN;EIF3A;METAP2;LAMTOR5"
"2","hsa-miR-193b-3p","101/852",2.17354093215353e-16,3.1668491381477e-13,1.68600827488763e-10,2.45651405651127e-07,-6.35937632751883,229.35093195348,"BUB1B;JADE3;EPRS;SMC3;CDC20;EFTUD2;RUVBL1;LONP2;OIP5;KNTC1;KPNA2;BORA;PUS1;EBNA1BP2;MELK;MTHFD1;FANCD2;NHLRC2;ALDH7A1;ASF1B;DNMT1;CDCA2;CDCA5;CDCA7;NCAPG;NMD3;UBR1;SKA3;NCAPH;PRRC1;ORC6;AP5M1;RACGAP1;ZNF823;ECT2;ZWINT;NDC80;HNRNPM;CDK4;CDK1;NMT1;EZH2;TOP2A;FEN1;FAF1;MCM10;CTDSPL2;BRCA1;KIF11;PRPF19;COX7C;KIF15;XPO1;TK1;NCOA2;CCT2;RFC4;CKAP2L;LRRC40;RABGGTB;UTP18;CCNA2;ASPM;SLC25A15;MRPS9;DDAH1;TMEM33;PTRH2;MCM3;MCM4;PXYLP1;PFDN2;MCM6;MTFR2;SRSF1;HMGCR;TYMS;PRICKLE4;HEATR3;BUB1;UBQLN2;CCT4;USP24;GINS2;SF3A1;NPM1;DONSON;SSRP1;WDR12;SHCBP1;CUL4A;EIF3M;POLE2;HDGF;CIAPIN1;TRIP13;TOMM5;CEP44;SPC25;NUP37;TJP2"
"3","hsa-let-7b-5p","118/1214",1.03250418509956e-12,1.00290573179337e-09,1.82816997984761e-07,0.000177576244042531,-7.91482711100209,218.441582672993,"C5ORF24;CCNT2;ARL6IP1;UBE2D2;CEP120;GPATCH4;IPO9;PTTG1;KHSRP;NUSAP1;UBAP2L;GYG1;ZNF443;DDX18;SMARCC1;SUPT16H;PUS1;CMC1;WDR74;WDR75;TRNT1;WBP11;FBXW2;FANCD2;SNRPE;ADNP;NHLRC2;ALDH7A1;CTBP2;CBFB;ZCCHC9;CDCA7;CDCA8;NOLC1;PDS5A;CCNB2;ORC4;CCNB1;DHX33;PDCD11;MAP7;LLPH;RBM12;NAA50;NOP14;NUP153;BRI3BP;KIAA0391;QDPR;GGCT;YEATS2;COPS2;MANSC1;RAD18;EZH2;MIPEP;SLC35F6;FEN1;USP38;TSEN15;GFM2;NCAPG2;ETFA;PRPF19;AFF4;ZNF644;RBM34;LRRC47;NAA30;MRPS24;TSC22D2;CKAP2;LRRC40;TIMM23;MRPL47;HAUS6;QRSL1;CCNA2;NSMCE4A;TMEM33;NOA1;POLR1B;CKS2;BIRC5;MCM4;NAF1;EEF1E1;SLC25A4;FXN;RBM22;PRIM2;TRUB2;USP14;MYCBP;MRPS33;DDX20;TYMS;AURKB;AURKA;PPM1G;FBXL20;POLD2;POLR2D;IARS2;E2F3;POLR2H;E2F7;ATE1;RRM1;UTP6;KIDINS220;AGL;HIPK1;NLE1;RPIA;POLR3B;SERBP1;NUP35"
"4","hsa-miR-155-5p","90/903",1.77052593408567e-10,1.03186251438513e-07,2.39724336758547e-06,0.00139711343462881,-6.20645991345445,139.363415202025,"CCNT2;GOLT1B;CSE1L;UBE2D2;ECI1;KIF14;RAPH1;TXNDC12;EPRS;TOMM20;HERC4;XPO1;NOB1;SPIN1;LONP2;ZNF644;JARID2;TAPT1;CEP55;CCT2;MORC3;STRBP;COG2;LRRC40;PUS7;CKAP5;RAD23B;THOC7;DNAJC2;MSH2;TMEM33;POLR1B;PSME4;KIAA0368;TFAM;PHIP;EEF1E1;FKBP3;LUC7L2;SKIV2L2;RBM22;DNMT1;CBFB;MRPS34;ATL2;SRSF1;GMPS;MRPL16;MGST2;NCAPG;NOLC1;NMD3;MFF;AURKB;AURKA;PPM1G;PGRMC2;PRRC1;ZNF468;MEST;CBR4;UBQLN2;SNX6;DNAJC19;NAA50;HNRNPA3;SEC24B;EIF2B2;AGL;SLC33A1;TBCA;BRI3BP;LSM3;TADA2B;AIMP1;COPS3;DIAPH3;CMSS1;NASP;YEATS2;RHEB;CDK4;CDK2;HNRNPA3P1;EIF3F;CIAPIN1;TRIP13;RCOR1;EIF3A;METAP2"
"5","hsa-miR-192-5p","93/993",2.20051112184537e-09,1.06871490150957e-06,1.64918746159074e-05,0.00686533180439345,-6.75065960795867,134.571538189417,"ATF1;GPSM2;WDR47;ERCC6L;FEN1;UBE2D2;KIF14;BUB1B;MCM10;TTF2;BRCA1;SMC4;KIF15;CDC20;PSMD6;EDRF1;XPO1;NOB1;SNRPD1;NUF2;C21ORF91;DLGAP5;CEP55;ZNF443;TMPO;ZNF320;RFC4;BORA;DST;CKAP2L;VPS13C;DYRK1A;RECQL;KIF23;FBXW2;ASPM;MRPL50;MCM3;DEPDC1;TRIM59;MCM6;UQCRC2;KIF20A;DTL;USP14;TMED10;UBA5;RNF219;TTK;HMMR;CENPA;NCAPH;ANAPC10;RPAP3;ORC4;BLOC1S6;CAND1;PSMB5;PRRC1;RACGAP1;ZNHIT3;USP1;ZNF823;ECT2;METTL9;C16ORF52;AASDHPPT;CEP78;DNAJC19;PLK4;NAA50;STIL;RRM1;CPSF6;ZNF184;KIDINS220;AGL;KLHL23;STAM;ACADSB;EIF2S1;COQ3;CENPF;KIF18A;CENPK;TRIP13;UBE2K;CKLF;MAD2L1;LIMS1;CDKN3;TJP2;LAMTOR5"
"6","hsa-miR-92a-3p","111/1404",5.77036888730805e-07,0.000129345037981659,0.00134907548886945,0.140400213377342,-9.33455693115381,134.094267401114,"C5ORF24;GEMIN2;ARID4B;THUMPD1;SMC3;IPO5;CCAR1;CDC20;EFTUD2;KIAA1109;SNRPD1;KHSRP;NEK2;UBAP2L;KPNA2;MORC3;DYRK1A;ALG14;RECQL;FBXW2;TUFM;MED7;TOM1L1;ZFYVE16;TFAM;SNRPE;GEMIN6;KIF20A;ZNF277;NUP205;DNMT1;CBFB;COX18;NMD3;FBXO45;UBR1;HNRNPLL;NCAPH;ORC5;CCNB1;ORC6;PPCS;FOPNL;EVI5;CPSF6;EIF2B2;SLC33A1;GOT2;ZWINT;HNRNPM;KIF18B;CNIH1;GGCX;RHEB;DMXL1;CDK1;CPEB2;FAF1;NCAPG2;ETFA;C1ORF174;DNPH1;MRPL3;EDRF1;XPO1;C21ORF91;MRPL9;ENOPH1;GABPA;RABGGTB;RANGAP1;RAD23B;DDAH1;TMEM33;ESRP1;RASA1;MCM3;PFDN2;KIF2C;DTL;GTF2A1;RRN3;C2ORF69;HEATR1;HMGCR;MFF;TANK;AURKB;AURKA;GGA2;TWISTNB;VPS54;IARS2;NUP43;E2F3;ZNF622;CCT7;RRM1;NPM1;PPIL1;PLEKHA1;YIPF4;HIPK1;NLE1;PRC1;GLOD4;NBR1;RLIM;HDGF;OCIAD2;CDKN3"
"7","hsa-miR-215-5p","81/755",4.38586685059805e-11,3.19510400066068e-08,5.898556251711e-07,0.000429709822937146,-5.1762713755591,123.454324553106,"ATF1;GPSM2;WDR47;ERCC6L;FEN1;UBE2D2;KIF14;BUB1B;MCM10;TTF2;BRCA1;SMC4;KIF15;CDC20;PSMD6;EDRF1;NOB1;SNRPD1;NUF2;DLGAP5;CEP55;ZNF443;TMPO;RFC4;BORA;DST;CKAP2L;VPS13C;DYRK1A;RECQL;KIF23;FBXW2;ASPM;MRPL50;MCM3;DEPDC1;TRIM59;MCM6;KIF20A;DTL;USP14;TMED10;UBA5;RNF219;TTK;HMMR;CENPA;NCAPH;ANAPC10;ORC4;BLOC1S6;CAND1;PSMB5;RACGAP1;ZNHIT3;USP1;ECT2;METTL9;AASDHPPT;DNAJC19;PLK4;NAA50;STIL;CPSF6;ZNF184;AGL;KLHL23;STAM;ACADSB;COQ3;CENPF;KIF18A;CENPK;TRIP13;UBE2K;CKLF;MAD2L1;LIMS1;CDKN3;TJP2;LAMTOR5"
"8","hsa-miR-26b-5p","131/1872",2.96529765545215e-05,0.0024688221051393,0.0241062155769085,0.337741998650871,-10.7587758695132,112.170438274137,"ZNF451;MTCH2;ERCC6L;UBE3C;PHAX;CAAP1;SMC4;SNRPD1;MPC2;RUVBL1;KPNA2;ALG9;TBCCD1;DYRK1A;RECQL;PUS7;FBXO11;THOC7;EBNA1BP2;RFX7;KIAA0368;KCTD14;ADNP;UQCRC2;ASF1B;ZCCHC8;SLBP;CDCA3;STXBP3;UBR3;NMD3;DYNC2LI1;ORC6;RACGAP1;SMYD2;MCMBP;NAE1;ECT2;NAA50;NUS1;RABGAP1L;ACBD5;STIL;HSPA4;CPSF2;SUCO;NUP153;ACADSB;LSM3;ZWINT;CHERP;MRPL22;QDPR;HNRNPM;COQ2;NAT1;KIF4A;CDK2;MANSC1;TRMT11;UBE2K;RCOR1;EZH2;MRPS15;FAF1;NCAPG2;FAM208B;MAGT1;BRCA1;FOXM1;C7ORF55-LUC7L2;ACADM;TK1;JARID2;RRP15;TSFM;EED;DIS3;VPS13C;TSC22D2;LRRC40;TFB2M;ASPM;DNAJC2;WRAP73;NDUFS8;PTRH2;MCM3;CKS2;DEPDC1;SDE2;DTL;LUC7L2;SKIV2L2;GTF2A1;USP14;STOML2;FH;NDUFB5;NIP7;DCTN4;MRPS34;TTK;UQCR11;TYMS;HSPA13;HSPD1;CRYZ;ATAD2B;REPIN1;PDSS2;VPS54;POLR2H;ZNF468;CCT7;METTL9;SMNDC1;E2F7;MAP4K3;GADD45GIP1;MDH1;PLEKHA1;AGL;DONSON;HIPK1;PSMC6;DNAJA2;OCIAD2;SPC25;MAD2L1;METAP2"
"9","hsa-miR-30a-5p","72/733",2.35494561955238e-08,8.37119540388048e-06,3.96703528813206e-05,0.0142982079358711,-5.67188382670667,99.6218926632405,"ATF1;UBE3C;PAK1IP1;DOCK7;CPOX;JADE3;THUMPD1;KIF11;ADO;PRPF19;AFF4;CDC20;XPO1;ZXDB;RBM34;RRP15;ALG9;EED;WDR74;WDR75;SARS;RAD23B;DNAJC2;DYNC1LI1;DBF4;TFDP1;DDAH1;MTF2;PSME4;ANKRA2;DTL;DNMT1;TMED10;CBFB;NIP7;DCTN4;IREB2;ATL2;MGST2;FBXO45;TANK;CORO1C;PPP1R2;CAND1;DHX33;POLR2B;PNPO;PLXNA1;LRRC8B;SEC24B;NOP14;UTP6;FAHD1;NIFK;CBX3;FANCL;KIDINS220;CPSF3;SLC33A1;RPP40;WDR12;LARP4;PAICS;MZT1;FANCF;GGCT;YRDC;HNRNPM;POLR3E;HDGF;NDUFAF1;TOMM5"
"10","hsa-miR-186-5p","73/749",2.58547558802074e-08,8.37119540388048e-06,4.41605598568427e-05,0.0142982079358711,-5.4674216122839,95.5200724413905,"TOP2A;SRP19;MRPS15;SETD2;SLC4A1AP;TSEN15;KIF14;RAPH1;ZC3H8;BRCA1;KIF11;FOXM1;CCAR1;PTTG1;FPGT;KHSRP;NEK2;KIF21A;DLGAP5;COG8;SUPT16H;VPS13C;TSC22D2;COG2;HAUS6;MRPL45;CKAP5;TUFM;ILF3;POLR1B;TCP1;DEPDC1;SDE2;TRIM59;PHIP;CD46;NDUFB6;COX17;ATL2;MFF;METTL21A;FAM117B;ORC5;SCFD1;BLOC1S6;CAND1;PPCS;PTPMT1;POLR2D;PLXNA1;BUB1;AASDHPPT;CCT4;SNX6;SEC24B;MDH1;CBX3;PTGES3;NDUFA2;TBCA;ZWINT;CHERP;SRPK1;AIMP1;CCT6A;YRDC;NASP;RLIM;NMT1;HDGF;HNRNPC;UBE2K;RAN"
